Month,Index points
May 17,2.4
May 16,2.0
May 15,1.7
May 14,1.7
May 13,1.7
May 12,1.8
May 11,2.0
May 10,2.9
May 9,2.8
May 8,2.5
May 7,2.5
May 6,2.2
May 5,2.3
May 4,2.4
May 3,3.2
May 2,3.0
May 1,2.9
Apr 30,2.7
Apr 29,2.7
Apr 28,2.7
Apr 27,2.8
Apr 26,3.5
Apr 25,3.3
Apr 24,3.2
Apr 23,3.0
Apr 22,2.9
Apr 21,2.9
Apr 20,3.0
Apr 19,3.7
Apr 18,3.5
Apr 17,3.3
Apr 16,3.3
Apr 15,3.3
Apr 14,3.4
Apr 13,3.3
Apr 12,3.9
Apr 11,3.6
Apr 10,3.5
Apr 9,3.6
Apr 8,3.6
Apr 7,3.6
Apr 6,3.6
Apr 5,4.1
Apr 4,4.0
Apr 3,3.8
Apr 2,3.9
Apr 1,3.9
Mar 31,3.9
Mar 30,3.8
Mar 29,3.7
Mar 28,3.4
Mar 27,2.5
Mar 26,2.4
Mar 25,3.1
Mar 24,3.1
Mar 23,3.2
Mar 22,3.5
Mar 21,3.0
Mar 20,2.1
Mar 19,2.1
Mar 18,1.6
Mar 17,1.4
Mar 16,1.2
Mar 15,2.5
Mar 14,1.9
Mar 13,0.5
Mar 12,0.5
Mar 11,0.5
Mar 10,0.5
Mar 9,2.2
Mar 8,2.3
Mar 7,1.7
Mar 6,0.5
Mar 5,0.4
Mar 4,0.5
