Month,Month-on-month CPI change
Feb 10,0.7%
Jan 10,0%
Dec 09,-0.6%
Nov 09,-0.1%
Oct 09,0.1%
Sep 09,0.5%
Aug 09,0.3%
Jul 09,-1.1%
Jun 09,-0.4%
May 09,0.1%
Apr 09,0.2%
Mar 09,1%
Feb 09,0.7%
Jan 09,0.3%
Dec 08,-0.7%
Nov 08,-0.4%
Oct 08,-0.2%
Sep 08,0.4%
Aug 08,0.2%
Jul 08,0.2%
Jun 08,-0.2%
May 08,0.4%
Apr 08,0.4%
Mar 08,1%
Feb 08,0.7%
Jan 08,0.3%
Dec 07,-0.4%
Nov 07,0.1%
Oct 07,0%
Sep 07,0.6%
Aug 07,0.2%
Jul 07,-0.5%
Jun 07,-0.4%
May 07,0.1%
Apr 07,0.5%
Mar 07,1.1%
Feb 07,0.5%
Jan 07,0.1%
Dec 06,-0.4%
Nov 06,-0.2%
Oct 06,-0.3%
Sep 06,0.4%
Aug 06,0.5%
Jul 06,-0.2%
Jun 06,-0.4%
May 06,0.1%
Apr 06,0.5%
Mar 06,0.8%
Feb 06,0.4%
Jan 06,-0.4%
Dec 05,-0.5%
Nov 05,-0.3%
Oct 05,-0.1%
Sep 05,0.9%
Aug 05,0.5%
Jul 05,-0.2%
Jun 05,-0.3%
May 05,-0.1%
Apr 05,0.2%
Mar 05,0.9%
Feb 05,0.6%
Jan 05,0.4%
Dec 04,-0.9%
Nov 04,-0.3%
Oct 04,0%
Sep 04,0.9%
Aug 04,0.3%
Jul 04,-0.1%
Jun 04,-0.6%
May 04,0.2%
Apr 04,0.3%
Mar 04,0.9%
Feb 04,0.4%
Jan 04,0%
Dec 03,-0.6%
Nov 03,-0.3%
Oct 03,-0.3%
Sep 03,1%
Aug 03,0.3%
Jul 03,0.1%
Jun 03,-0.5%
May 03,-0.1%
Apr 03,0.1%
Mar 03,1%
Feb 03,0.6%
Jan 03,0.3%
Dec 02,-0.3%
Nov 02,-0.3%
Oct 02,-0.2%
Sep 02,1.1%
Aug 02,0.3%
Jul 02,-0.1%
Jun 02,-0.3%
May 02,0%
Apr 02,0.5%
Mar 02,0.9%
Feb 02,0.5%
Jan 02,0.7%
Dec 01,-0.3%
Nov 01,-0.1%
Oct 01,-0.1%
Sep 01,1.2%
Aug 01,0.4%
Jul 01,-0.1%
Jun 01,-0.4%
May 01,0.3%
Apr 01,0.6%
Mar 01,0.9%
Feb 01,0.9%
Jan 01,0.9%
Dec 00,-0.6%
Nov 00,0%
Oct 00,0.2%
Sep 00,1.2%
Aug 00,0.4%
Jul 00,-0.3%
Jun 00,-0.1%
May 00,0.3%
Apr 00,0.2%
Mar 00,0.9%
Feb 00,0.6%
Jan 00,-0.2%
Dec 99,-0.3%
Nov 99,0.1%
Oct 99,0.1%
Sep 99,0.5%
Aug 99,0.5%
Jul 99,-0.1%
Jun 99,-0.4%
May 99,0%
Apr 99,0.2%
Mar 99,0.9%
Feb 99,0.5%
Jan 99,0.1%
Dec 98,-0.3%
Nov 98,0%
Oct 98,0.2%
Sep 98,0.8%
Aug 98,0%
Jul 98,0.2%
Jun 98,-0.4%
May 98,-0.1%
Apr 98,0.3%
Mar 98,0.8%
Feb 98,0.6%
Jan 98,-0.3%
Dec 97,-0.3%
Nov 97,0%
Oct 97,0.1%
Sep 97,0.9%
Aug 97,0.3%
Jul 97,0.3%
Jun 97,-0.5%
May 97,0.2%
Apr 97,0.1%
Mar 97,0.8%
Feb 97,0.2%
Jan 97,0.1%
Dec 96,-0.1%
Nov 96,-0.1%
Oct 96,0.2%
Sep 96,0.9%
Aug 96,-0.1%
Jul 96,0.2%
Jun 96,-0.4%
May 96,-0.2%
Apr 96,0.3%
Mar 96,0.9%
Feb 96,0.4%
Jan 96,0%
