Month,Daily new cases
"Oct 14, 2020",7332
"Oct 13, 2020",5898
"Oct 12, 2020",4619
"Oct 11, 2020",5456
"Oct 10, 2020",5724
"Oct 9, 2020",5372
"Oct 8, 2020",4458
"Oct 7, 2020",3678
"Oct 6, 2020",2677
"Oct 5, 2020",2257
"Oct 4, 2020",2578
"Oct 3, 2020",2844
"Oct 2, 2020",2499
"Oct 1, 2020",2548
"Sep 30, 2020",1851
"Sep 29, 2020",1648
"Sep 28, 2020",1494
"Sep 27, 2020",1766
"Sep 26, 2020",1869
"Sep 25, 2020",1912
"Sep 24, 2020",1786
"Sep 23, 2020",1640
"Sep 22, 2020",1391
"Sep 21, 2020",1350
"Sep 20, 2020",1587
"Sep 19, 2020",1637
"Sep 18, 2020",1907
"Sep 17, 2020",1583
"Sep 16, 2020",1452
"Sep 15, 2020",1229
"Sep 14, 2020",1008
"Sep 13, 2020",1456
"Sep 12, 2020",1501
"Sep 11, 2020",1616
"Sep 10, 2020",1597
"Sep 9, 2020",1430
"Sep 8, 2020",1369
"Sep 7, 2020",1150
"Sep 6, 2020",1297
"Sep 5, 2020",1693
"Sep 4, 2020",1732
"Sep 3, 2020",1397
"Sep 2, 2020",1326
"Sep 1, 2020",975
"Aug 31 , 2020",996
"Aug 30 , 2020",1365
"Aug 29 , 2020",1444
"Aug 28, 2020",1460
"Aug 27 , 2020",1409
"Aug 26 , 2020",1366
"Aug 25 , 2020",876
"Aug 24 , 2020",953
"Aug 23 , 2020",1209
"Aug 22 , 2020",1071
"Aug 21 , 2020",947
"Aug 20 , 2020",840
"Aug 19 , 2020",642
"Aug 18, 2020",401
"Aug 17, 2020",320
"Aug 16, 2020",477
"Aug 15, 2020",629
"Aug 14, 2020",574
"Aug 13, 2020",522
"Aug 12, 2020",476
"Aug 11, 2020",412
"Aug 10, 2020",259
"Aug 9, 2020",463
"Aug 8, 2020",347
"Aug 7, 2020",552
"Aug 6, 2020",401
"Aug 5, 2020",384
"Aug 4, 2020",190
"Aug 3, 2020",159
"Aug 2 , 2020",238
"Aug 1 , 2020",295
"Jul 31 , 2020",379
"Jul 30 , 2020",382
"Jul 29 , 2020",288
"Jul 28 , 2020",202
"Jul 27 , 2020",168
"Jul 26 , 2020",254
"Jul 25 , 2020",274
"Jul 24 , 2020",252
"Jul 23, 2020",306
"Jul 22, 2020",280
"Jul 21 , 2020",128
"Jul 20 , 2020",190
"Jul 19, 2020",218
"Jul 18 , 2020",249
"Jul 17 , 2020",231
"Jul 16 , 2020",230
"Jul 15 , 2020",162
"Jul 14 , 2020",114
"Jul 13 , 2020",169
"Jul 12 , 2020",234
"Jul 11 , 2020",188
"Jul 10 , 2020",276
"Jul 9 , 2020",214
"Jul 8, 2020",193
"Jul 7, 2020",137
"Jul 6, 2020",208
"Jul 5, 2020",192
"Jul 4, 2020",235
"Jul 3, 2020",223
"Jul 2, 2020",201
"Jul 1, 2020",182
"Jun 30, 2020",142
"Jun 29, 2020",126
"Jun 28, 2020",174
"Jun 27, 2020",175
"Jun 26, 2020",255
"Jun 25, 2020",296
"Jun 24, 2020",577
"Jun 23, 2020",113
"Jun 22, 2020",221
"Jun 21, 2020",224
"Jun 20, 2020",264
"Jun 19, 2020",-148
"Jun 18, 2020",331
"Jun 17, 2020",328
"Jun 16, 2020",210
"Jun 15, 2020",301
"Jun 14, 2020",338
"Jun 13, 2020",346
"Jun 12, 2020",163
"Jun 11, 2020",379
"Jun 10, 2020",202
"Jun 9, 2020",283
"Jun 8, 2020",280
"Jun 7, 2020",197
"Jun 6, 2020",270
"Jun 5, 2020",518
"Jun 4, 2020",177
"Jun 3, 2020",321
"Jun 2, 2020",318
"Jun 1, 2020",200
"May 31, 2020",333
"May 30, 2020",416
"May 29, 2020",516
"May 28, 2020",593
"May 27, 2020",584
"May 26, 2020",397
"May 25, 2020",300
"May 24, 2020",531
"May 23, 2020",669
"May 22, 2020",652
"May 21, 2020",642
"May 20, 2020",665
"May 19, 2020",813
"May 18, 2020",425
"May 17, 2020",675
"May 16, 2020",875
"May 15, 2020",789
"May 14, 2020",992
"May 13, 2020",888
"May 12, 2020",1402
"May 11, 2020",744
"May 10, 2020",802
"May 9, 2020",1083
"May 8, 2020",1327
"May 7, 2020",1401
"May 6, 2020",1444
"May 5, 2020",1071
"May 4, 2020",1221
"May 3, 2020",1389
"May 2, 2020",1900
"May 1, 2020",1965
"Apr 30, 2020",1872
"Apr 29, 2020",2086
"Apr 28, 2020",2091
"Apr 27, 2020",1739
"Apr 26, 2020",2324
"Apr 25, 2020",2357
"Apr 24, 2020",3021
"Apr 23, 2020",2646
"Apr 22, 2020",3370
"Apr 21, 2020",2729
"Apr 20, 2020",2256
"Apr 19, 2020",3047
"Apr 18, 2020",3491
"Apr 17, 2020",3493
"Apr 16, 2020",3786
"Apr 15, 2020",2667
"Apr 14, 2020",2972
"Apr 13, 2020",3153
"Apr 12, 2020",4092
"Apr 11, 2020",4694
"Apr 10, 2020",3951
"Apr 9, 2020",4204
"Apr 8, 2020",3836
"Apr 7, 2020",3039
"Apr 6, 2020",3599
"Apr 5, 2020",4316
"Apr 4, 2020",4805
"Apr 3, 2020",4585
"Apr 2, 2020",4668
"Apr 1, 2020",4782
"Mar 31, 2020",4053
"Mar 30, 2020",4050
"Mar 29, 2020",5217
"Mar 28, 2020",5974
"Mar 27, 2020",5909
"Mar 26, 2020",6153
"Mar 25, 2020",5210
"Mar 24, 2020",5249
"Mar 23, 2020",4789
"Mar 22, 2020",5560
"Mar 21, 2020",6557
"Mar 20, 2020",5986
"Mar 19, 2020",5322
"Mar 18, 2020",4207
"Mar 17, 2020",3526
"Mar 16, 2020",3233
"Mar 15, 2020",3590
"Mar 14, 2020",3497
"Mar 13, 2020",2547
"Mar 12, 2020",2651
"Mar 11, 2020",2313
"Mar 10, 2020",977
"Mar 9, 2020",1797
"Mar 8, 2020",1429
"Mar 7, 2020",1247
"Mar 6, 2020",778
"Mar 5, 2020",769
"Mar 4, 2020",587
"Mar 3, 2020",466
"Mar 2, 2020",335
"Mar 1, 2020",573
"Feb 29, 2020",239
"Feb 28, 2020",234
"Feb 27, 2020",185
"Feb 26, 2020",147
"Feb 25, 2020",94
"Feb 24, 2020",72
"Feb 23, 2020",78
"Feb 22, 2020",58
