Month,Fatality rate
"Jun 29, 2020",14.11%
"Jun 28, 2020",14.02%
"Jun 27, 2020",13.96%
"Jun 26, 2020",14%
"Jun 25, 2020",13.99%
"Jun 24, 2020",14%
"Jun 23, 2020",13.87%
"Jun 22, 2020",13.94%
"Jun 21, 2020",13.92%
"Jun 20, 2020",13.95%
"Jun 19, 2020",13.91%
"Jun 18, 2020",13.92%
"Jun 17, 2020",13.9%
"Jun 16, 2020",13.85%
"Jun 15, 2020",13.81%
"Jun 14, 2020",13.81%
"Jun 13, 2020",13.75%
"Jun 12, 2020",13.69%
"Jun 11, 2020",13.69%
"Jun 10, 2020",13.68%
"Jun 9, 2020",13.69%
"Jun 8, 2020",13.65%
"Jun 7, 2020",13.62%
"Jun 6, 2020",13.65%
"Jun 5, 2020",13.65%
"Jun 4, 2020",13.63%
"Jun 3, 2020",13.58%
"Jun 2, 2020",13.56%
"Jun 1, 2020",13.54%
"May 31, 2020",13.57%
"May 30, 2020",13.55%
"May 29, 2020",13.47%
"May 28, 2020",13.33%
"May 27, 2020",13.29%
"May 26, 2020",13.23%
"May 25, 2020",13.07%
"May 24, 2020",12.99%
"May 23, 2020",12.98%
"May 22, 2020",12.94%
"May 21, 2020",12.99%
"May 20, 2020",13.06%
"May 19, 2020",13.13%
"May 18, 2020",13.06%
"May 17, 2020",12.85%
"May 16, 2020",12.89%
"May 15, 2020",12.93%
"May 14, 2020",12.89%
"May 13, 2020",12.87%
"May 12, 2020",12.83%
"May 11, 2020",12.81%
"May 10, 2020",12.65%
"May 9, 2020",12.6%
"May 8, 2020",12.33%
"May 7, 2020",12.15%
"May 6, 2020",11.98%
"May 5, 2020",11.84%
"May 4, 2020",11.56%
"May 3, 2020",11.34%
"May 2, 2020",11.38%
"May 1, 2020",11.28%
"Apr 30, 2020",11.2%
"Apr 29, 2020",11%
"Apr 28, 2020",10.98%
"Apr 27, 2020",10.84%
"Apr 26, 2020",10.88%
"Apr 25, 2020",10.72%
"Apr 24, 2020",10.49%
"Apr 23, 2020",10.46%
"Apr 22, 2020",10.37%
"Apr 21, 2020",10.15%
"Apr 20, 2020",10.03%
"Apr 19, 2020",9.86%
"Apr 18, 2020",9.37%
"Apr 17, 2020",8.89%
"Apr 16, 2020",8.59%
"Apr 15, 2020",8.48%
"Apr 14, 2020",8.06%
"Apr 13, 2020",7.47%
"Apr 12, 2020",7.02%
"Apr 11, 2020",6.48%
"Apr 10, 2020",6.47%
"Apr 9, 2020",6.73%
"Apr 8, 2020",6.48%
"Apr 7, 2020",5.72%
"Apr 6, 2020",5.1%
"Apr 5, 2020",4.63%
"Apr 4, 2020",4.71%
"Apr 3, 2020",4.2%
"Apr 2, 2020",3.58%
"Apr 1, 2020",3.8%
"Mar 31, 2020",3.25%
"Mar 30, 2020",3.35%
"Mar 29, 2020",2.9%
"Mar 28, 2020",3.2%
"Mar 27, 2020",3.33%
"Mar 26, 2020",3.83%
"Mar 25, 2020",4.42%
"Mar 24, 2020",4.81%
"Mar 23, 2020",4.79%
"Mar 22, 2020",4.58%
"Mar 21, 2020",3.88%
"Mar 20, 2020",4.7%
"Mar 19, 2020",1.36%
"Mar 18, 2020",1.72%
"Mar 17, 2020",2%
"Mar 16, 2020",2.56%
"Mar 15, 2020",3.12%
