Month,Weekly hours of work in millions
Jul 88,878.3
Jun 88,876.2
May 88,874.0
Apr 88,871.9
Mar 88,869.4
Feb 88,866.9
Jan 88,863.9
Dec 87,860.8
Nov 87,857.9
Oct 87,855.0
Sep 87,852.3
Aug 87,849.5
Jul 87,846.3
Jun 87,843.3
May 87,840.5
Apr 87,838.1
Mar 87,836.4
Feb 87,835.0
Jan 87,833.8
Dec 86,832.9
Nov 86,832.1
Oct 86,831.1
Sep 86,829.9
Aug 86,828.8
Jul 86,828.1
Jun 86,827.4
May 86,827.1
Apr 86,827.1
Mar 86,827.2
Feb 86,827.4
Jan 86,827.3
Dec 85,827.7
Nov 85,827.9
Oct 85,827.6
Sep 85,827.6
Aug 85,827.5
Jul 85,827.0
Jun 85,826.6
May 85,826.3
Apr 85,825.9
Mar 85,825.0
Feb 85,824.0
Jan 85,823.1
Dec 84,821.9
Nov 84,820.5
Oct 84,819.1
Sep 84,817.7
Aug 84,816.2
Jul 84,814.8
Jun 84,813.4
May 84,811.7
Apr 84,810.0
Mar 84,808.2
Feb 84,806.5
Jan 84,804.8
Dec 83,802.8
Nov 83,801.0
Oct 83,798.6
Sep 83,796.1
Aug 83,793.8
Jul 83,792.0
Jun 83,790.8
May 83,790.5
Apr 83,791.1
Mar 83,791.7
Feb 83,792.9
Jan 83,794.5
Dec 82,796.3
Nov 82,798.2
Oct 82,800.2
Sep 82,802.2
Aug 82,804.2
Jul 82,805.7
Jun 82,807.0
May 82,808.5
Apr 82,809.4
Mar 82,810.2
Feb 82,810.6
Jan 82,811.5
Dec 81,812.7
Nov 81,814.4
Oct 81,816.2
Sep 81,817.8
Aug 81,819.5
Jul 81,821.5
Jun 81,823.7
May 81,826.5
Apr 81,829.6
Mar 81,832.8
Feb 81,836.4
Jan 81,840.3
Dec 80,844.6
Nov 80,848.7
Oct 80,853.2
Sep 80,857.4
Aug 80,861.6
Jul 80,865.3
Jun 80,868.2
May 80,870.7
Apr 80,873.1
Mar 80,875.1
Feb 80,877.1
Jan 80,878.7
Dec 79,879.8
Nov 79,880.3
Oct 79,880.5
Sep 79,880.6
Aug 79,880.5
Jul 79,880.1
Jun 79,879.6
May 79,879.2
Apr 79,878.8
Mar 79,878.6
Feb 79,878.3
Jan 79,877.6
Dec 78,876.6
Nov 78,874.9
Oct 78,873.4
Sep 78,872.0
Aug 78,871.2
Jul 78,870.6
Jun 78,870.2
May 78,869.8
Apr 78,869.5
Mar 78,869.0
Feb 78,868.4
Jan 78,868.1
Dec 77,867.8
Nov 77,867.7
Oct 77,867.6
Sep 77,867.3
Aug 77,867.2
Jul 77,866.7
Jun 77,866.7
May 77,866.2
Apr 77,866.0
Mar 77,865.6
Feb 77,864.9
Jan 77,864.3
Dec 76,863.4
Nov 76,862.4
Oct 76,861.6
Sep 76,861.0
Aug 76,860.6
Jul 76,860.3
Jun 76,860.1
May 76,860.2
Apr 76,860.2
Mar 76,860.8
Feb 76,861.5
Jan 76,862.7
Dec 75,863.6
Nov 75,864.7
Oct 75,865.9
Sep 75,867.4
Aug 75,868.9
Jul 75,870.1
Jun 75,871.4
May 75,873.1
Apr 75,874.8
Mar 75,876.9
Feb 75,879.0
Jan 75,881.4
Dec 74,883.5
Nov 74,885.3
Oct 74,887.1
Sep 74,888.1
Aug 74,888.7
Jul 74,889.0
Jun 74,889.6
May 74,890.0
Apr 74,890.9
Mar 74,891.6
Feb 74,892.8
Jan 74,893.6
Dec 73,893.9
Nov 73,894.1
Oct 73,894.0
Sep 73,893.7
Aug 73,893.4
Jul 73,893.8
Jun 73,894.2
May 73,894.1
Apr 73,893.1
Mar 73,890.6
Feb 73,887.7
Jan 73,884.4
Dec 72,881.9
Nov 72,879.8
Oct 72,878.3
Sep 72,876.7
Aug 72,875.0
Jul 72,873.7
Jun 72,873.1
May 72,872.0
Apr 72,870.7
Mar 72,868.7
Feb 72,866.1
Jan 72,863.5
Dec 71,861.7
Nov 71,860.8
Oct 71,860.8
Sep 71,861.3
Aug 71,862.3
Jul 71,862.6
Jun 71,862.8
May 71,862.5
Apr 71,862.7
Mar 71,864.3
