Month,Inflation rate
Jan 93,2.2%
Dec 92,2.6%
Nov 92,2.6%
Oct 92,2.9%
Sep 92,3%
Aug 92,3%
Jul 92,3.6%
Jun 92,3.8%
May 92,4.3%
Apr 92,4.7%
Mar 92,7.1%
Feb 92,6.9%
Jan 92,7%
Dec 91,7.2%
Nov 91,7.1%
Oct 91,6.8%
Sep 91,7.1%
Aug 91,7.9%
Jul 91,8.3%
Jun 91,8.4%
May 91,8.2%
Apr 91,8.4%
Mar 91,6.9%
Feb 91,7%
Jan 91,7.1%
Dec 90,7.6%
Nov 90,7.8%
Oct 90,8.1%
Sep 90,8.1%
Aug 90,7.7%
Jul 90,6.8%
Jun 90,6.9%
May 90,6.8%
Apr 90,6.4%
Mar 90,6%
Feb 90,5.9%
Jan 90,5.7%
Dec 89,5.5%
Nov 89,5.5%
Oct 89,5.5%
Sep 89,5.2%
Aug 89,5%
Jul 89,5.2%
Jun 89,5.2%
May 89,5.3%
Apr 89,5.3%
Mar 89,5%
Feb 89,5%
Jan 89,4.9%
