Date (dd-mm-yyyy),Emerging Markets Bond Index (EMBI+)
26/02/2019,239
25/02/2019,240
22/02/2019,241
21/02/2019,242
20/02/2019,241
19/02/2019,241
18/02/2019,241
15/02/2019,241
14/02/2019,240
13/02/2019,242
12/2/2019,244
11/2/2019,250
8/2/2019,249
7/2/2019,245
6/2/2019,239
5/2/2019,232
4/2/2019,234
1/2/2019,237
31/01/2019,238
30/01/2019,240
29/01/2019,244
28/01/2019,240
25/01/2019,239
24/01/2019,246
23/01/2019,247
22/01/2019,252
21/01/2019,245
18/01/2019,245
17/01/2019,255
16/01/2019,255
15/01/2019,255
14/01/2019,258
11/1/2019,258
10/1/2019,254
9/1/2019,250
8/1/2019,254
7/1/2019,256
4/1/2019,264
3/1/2019,278
2/1/2019,275
31/12/2018,276
28/12/2018,272
27/12/2018,274
26/12/2018,273
24/12/2018,276
21/12/2018,273
20/12/2018,268
19/12/2018,270
18/12/2018,265
17/12/2018,260
14/12/2018,261
13/12/2018,258
12/12/2018,261
11/12/2018,270
10/12/2018,276
7/12/2018,274
6/12/2018,277
5/12/2018,274
4/12/2018,274
3/12/2018,267
30/11/2018,270
29/11/2018,272
28/11/2018,272
27/11/2018,280
26/11/2018,276
23/11/2018,274
22/11/2018,271
21/11/2018,271
20/11/2018,273
19/11/2018,267
16/11/2018,263
15/11/2018,261
14/11/2018,263
13/11/2018,262
12/11/2018,254
9/11/2018,254
8/11/2018,251
7/11/2018,247
6/11/2018,249
5/11/2018,247
2/11/2018,248
1/11/2018,254
31/10/2018,260
30/10/2018,263
29/10/2018,267
26/10/2018,266
25/10/2018,264
24/10/2018,269
23/10/2018,260
22/10/2018,260
19/10/2018,262
18/10/2018,264
17/10/2018,255
16/10/2018,256
15/10/2018,261
12/10/2018,266
11/10/2018,272
10/10/2018,268
9/10/2018,260
8/10/2018,272
5/10/2018,272
4/10/2018,278
3/10/2018,273
2/10/2018,285
1/10/2018,296
28/09/2018,293
27/09/2018,291
26/09/2018,294
25/09/2018,295
24/09/2018,293
21/09/2018,287
20/09/2018,309
19/09/2018,328
18/09/2018,335
17/09/2018,337
14/09/2018,334
13/09/2018,334
12/9/2018,332
11/9/2018,336
10/9/2018,329
7/9/2018,323
6/9/2018,332
5/9/2018,338
4/9/2018,349
3/9/2018,345
31/08/2018,345
30/08/2018,343
29/08/2018,335
28/08/2018,330
27/08/2018,329
24/08/2018,332
23/08/2018,332
22/08/2018,323
21/08/2018,311
20/08/2018,308
17/08/2018,305
16/08/2018,302
15/08/2018,306
14/08/2018,300
13/08/2018,306
10/8/2018,301
9/8/2018,285
8/8/2018,277
7/8/2018,275
6/8/2018,272
3/8/2018,270
2/8/2018,273
1/8/2018,271
31/07/2018,267
30/07/2018,266
27/07/2018,264
26/07/2018,267
25/07/2018,271
24/07/2018,276
23/07/2018,277
20/07/2018,280
19/07/2018,297
18/07/2018,292
17/07/2018,295
16/07/2018,295
13/07/2018,298
12/7/2018,299
11/7/2018,301
10/7/2018,296
9/7/2018,303
6/7/2018,312
5/7/2018,319
4/7/2018,327
3/7/2018,327
2/7/2018,331
29/06/2018,332
28/06/2018,332
27/06/2018,332
26/06/2018,320
25/06/2018,323
22/06/2018,318
21/06/2018,325
20/06/2018,333
19/06/2018,345
18/06/2018,343
15/06/2018,333
14/06/2018,334
13/06/2018,330
12/6/2018,332
11/6/2018,330
8/6/2018,325
7/6/2018,330
6/6/2018,311
5/6/2018,304
4/6/2018,300
1/6/2018,309
31/05/2018,307
30/05/2018,295
29/05/2018,297
28/05/2018,271
25/05/2018,271
24/05/2018,268
23/05/2018,265
22/05/2018,265
21/05/2018,270
18/05/2018,274
17/05/2018,261
16/05/2018,257
15/05/2018,260
14/05/2018,255
11/5/2018,254
10/5/2018,252
9/5/2018,264
8/5/2018,269
7/5/2018,262
4/5/2018,261
3/5/2018,263
2/5/2018,256
1/5/2018,250
30/04/2018,250
27/04/2018,249
26/04/2018,244
25/04/2018,243
24/04/2018,242
23/04/2018,243
20/04/2018,243
19/04/2018,245
18/04/2018,244
17/04/2018,247
16/04/2018,248
13/04/2018,245
12/4/2018,244
11/4/2018,246
10/4/2018,246
9/4/2018,247
6/4/2018,247
5/4/2018,239
4/4/2018,244
3/4/2018,243
2/4/2018,251
29/03/2018,248
28/03/2018,250
27/03/2018,251
26/03/2018,248
23/03/2018,252
22/03/2018,250
21/03/2018,246
20/03/2018,246
19/03/2018,249
16/03/2018,244
15/03/2018,247
14/03/2018,245
13/03/2018,243
12/3/2018,235
9/3/2018,233
8/3/2018,242
7/3/2018,239
6/3/2018,235
5/3/2018,237
2/3/2018,240
1/3/2018,243
28/02/2018,236
27/02/2018,229
26/02/2018,231
23/02/2018,236
22/02/2018,238
21/02/2018,233
20/02/2018,235
16/02/2018,228
15/02/2018,233
14/02/2018,249
13/02/2018,255
12/2/2018,245
9/2/2018,256
8/2/2018,241
7/2/2018,226
6/2/2018,235
5/2/2018,243
2/2/2018,229
1/2/2018,227
31/01/2018,227
30/01/2018,224
29/01/2018,224
26/01/2018,222
25/01/2018,225
24/01/2018,226
23/01/2018,233
22/01/2018,231
19/01/2018,231
18/01/2018,231
17/01/2018,228
16/01/2018,226
15/01/2018,225
12/1/2018,225
11/1/2018,223
10/1/2018,222
9/1/2018,218
8/1/2018,222
5/1/2018,221
4/1/2018,225
3/1/2018,228
2/1/2018,234
29/12/2017,240
28/12/2017,239
27/12/2017,240
26/12/2017,237
22/12/2017,235
21/12/2017,233
20/12/2017,231
19/12/2017,234
18/12/2017,238
15/12/2017,244
14/12/2017,245
13/12/2017,243
12/12/2017,239
11/12/2017,239
8/12/2017,240
7/12/2017,242
6/12/2017,238
5/12/2017,236
4/12/2017,242
1/12/2017,244
30/11/2017,241
29/11/2017,240
28/11/2017,239
27/11/2017,242
24/11/2017,243
23/11/2017,246
22/11/2017,246
21/11/2017,247
20/11/2017,248
17/11/2017,246
16/11/2017,251
15/11/2017,260
14/11/2017,256
13/11/2017,251
10/11/2017,253
9/11/2017,255
8/11/2017,253
7/11/2017,253
6/11/2017,247
3/11/2017,249
2/11/2017,245
1/11/2017,244
31/10/2017,243
30/10/2017,239
27/10/2017,238
26/10/2017,242
25/10/2017,234
24/10/2017,234
23/10/2017,233
20/10/2017,233
19/10/2017,236
18/10/2017,236
17/10/2017,240
16/10/2017,242
13/10/2017,244
12/10/2017,245
11/10/2017,247
10/10/2017,248
9/10/2017,244
6/10/2017,244
5/10/2017,241
4/10/2017,245
3/10/2017,245
2/10/2017,246
29/09/2017,247
28/09/2017,253
27/09/2017,256
26/09/2017,256
25/09/2017,257
22/09/2017,253
21/09/2017,255
20/09/2017,254
19/09/2017,252
18/09/2017,252
15/09/2017,255
14/09/2017,256
13/09/2017,257
12/9/2017,260
11/9/2017,259
8/9/2017,264
7/9/2017,265
6/9/2017,267
5/9/2017,268
4/9/2017,265
1/9/2017,265
31/08/2017,272
30/08/2017,272
29/08/2017,274
28/08/2017,273
25/08/2017,270
24/08/2017,269
23/08/2017,274
22/08/2017,276
21/08/2017,279
18/08/2017,277
17/08/2017,279
16/08/2017,271
15/08/2017,269
14/08/2017,276
11/8/2017,281
10/8/2017,281
9/8/2017,269
8/8/2017,262
7/8/2017,263
4/8/2017,262
3/8/2017,264
2/8/2017,268
1/8/2017,267
31/07/2017,268
28/07/2017,271
27/07/2017,268
26/07/2017,269
25/07/2017,272
24/07/2017,270
21/07/2017,264
20/07/2017,266
19/07/2017,271
18/07/2017,273
17/07/2017,273
14/07/2017,274
13/07/2017,277
12/7/2017,277
11/7/2017,282
10/7/2017,286
7/7/2017,293
6/7/2017,297
5/7/2017,291
3/7/2017,286
30/06/2017,289
29/06/2017,294
28/06/2017,290
27/06/2017,298
26/06/2017,290
23/06/2017,294
22/06/2017,298
21/06/2017,302
20/06/2017,299
19/06/2017,289
16/06/2017,286
15/06/2017,286
14/06/2017,281
13/06/2017,282
12/6/2017,286
9/6/2017,285
8/6/2017,285
7/6/2017,288
6/6/2017,285
5/6/2017,283
2/6/2017,283
1/6/2017,284
31/05/2017,284
30/05/2017,284
29/05/2017,286
26/05/2017,283
25/05/2017,286
24/05/2017,281
23/05/2017,280
22/05/2017,288
19/05/2017,282
18/05/2017,300
17/05/2017,258
16/05/2017,250
15/05/2017,251
12/5/2017,255
11/5/2017,255
10/5/2017,257
9/5/2017,264
8/5/2017,262
5/5/2017,262
4/5/2017,264
3/5/2017,256
2/5/2017,258
1/5/2017,260
28/04/2017,263
27/04/2017,264
26/04/2017,268
25/04/2017,263
24/04/2017,263
21/04/2017,272
20/04/2017,275
19/04/2017,273
18/04/2017,275
17/04/2017,270
13/04/2017,271
12/4/2017,271
11/4/2017,272
10/4/2017,267
7/4/2017,271
6/4/2017,269
5/4/2017,263
4/4/2017,265
3/4/2017,270
31/03/2017,270
30/03/2017,274
29/03/2017,275
28/03/2017,278
27/03/2017,279
24/03/2017,278
23/03/2017,280
22/03/2017,280
21/03/2017,277
20/03/2017,269
17/03/2017,272
16/03/2017,274
15/03/2017,282
14/03/2017,291
13/03/2017,286
10/3/2017,280
9/3/2017,290
8/3/2017,287
7/3/2017,274
6/3/2017,272
3/3/2017,273
2/3/2017,280
1/3/2017,275
28/02/2017,286
27/02/2017,277
24/02/2017,277
23/02/2017,272
22/02/2017,277
21/02/2017,279
20/02/2017,282
17/02/2017,282
16/02/2017,280
15/02/2017,271
14/02/2017,266
13/02/2017,268
10/2/2017,272
9/2/2017,280
8/2/2017,284
7/2/2017,287
6/2/2017,277
3/2/2017,276
2/2/2017,281
1/2/2017,285
31/01/2017,289
30/01/2017,291
27/01/2017,284
26/01/2017,296
25/01/2017,296
24/01/2017,293
23/01/2017,295
20/01/2017,294
19/01/2017,296
18/01/2017,291
17/01/2017,282
16/01/2017,288
13/01/2017,288
12/1/2017,298
11/1/2017,305
10/1/2017,305
9/1/2017,302
6/1/2017,301
5/1/2017,302
4/1/2017,311
3/1/2017,325
2/1/2017,328
