Year,Cumulative number of cases
4/16/2020,30081
4/15/2020,28364
4/14/2020,27046
4/13/2020,25663
4/12/2020,24365
4/11/2020,23301
4/10/2020,22133
4/9/2020,20748
4/8/2020,19274
4/7/2020,17883
4/6/2020,16653
4/5/2020,15496
4/4/2020,13882
4/3/2020,12519
4/2/2020,11268
4/1/2020,9595
3/31/2020,8536
3/30/2020,7424
3/29/2020,6255
3/28/2020,5386
3/27/2020,4675
3/26/2020,4018
3/25/2020,3385
3/24/2020,1959
3/23/2020,1646
3/22/2020,1430
3/21/2020,1302
3/20/2020,971
3/19/2020,846
3/18/2020,569
3/17/2020,424
3/16/2020,324
3/15/2020,249
3/14/2020,193
3/13/2020,176
3/12/2020,138
3/11/2020,103
3/9/2020,77
3/8/2020,62
3/7/2020,57
3/6/2020,51
3/5/2020,45
3/3/2020,33
3/1/2020,24
2/29/2020,15
2/27/2020,13
2/26/2020,12
2/25/2020,11
2/24/2020,10
2/21/2020,9
2/16/2020,8
2/8/2020,7
1/31/2020,4
