Month,RPI rate
Jun 98,3.7%
May 98,4.2%
Apr 98,4%
Mar 98,3.5%
Feb 98,3.4%
Jan 98,3.3%
Dec 97,3.6%
Nov 97,3.7%
Oct 97,3.7%
Sep 97,3.6%
Aug 97,3.5%
Jul 97,3.3%
Jun 97,2.9%
May 97,2.6%
Apr 97,2.4%
Mar 97,2.6%
Feb 97,2.7%
Jan 97,2.8%
Dec 96,2.5%
Nov 96,2.7%
Oct 96,2.7%
Sep 96,2.1%
Aug 96,2.1%
Jul 96,2.2%
Jun 96,2.1%
May 96,2.2%
Apr 96,2.4%
Mar 96,2.7%
Feb 96,2.7%
Jan 96,2.9%
Dec 95,3.2%
Nov 95,3.1%
Oct 95,3.2%
Sep 95,3.9%
Aug 95,3.6%
Jul 95,3.5%
Jun 95,3.5%
May 95,3.4%
Apr 95,3.3%
Mar 95,3.5%
Feb 95,3.4%
Jan 95,3.3%
Dec 94,2.9%
Nov 94,2.6%
Oct 94,2.4%
Sep 94,2.2%
Aug 94,2.4%
Jul 94,2.3%
Jun 94,2.6%
May 94,2.6%
Apr 94,2.6%
Mar 94,2.3%
Feb 94,2.4%
Jan 94,2.5%
Dec 93,1.9%
Nov 93,1.4%
Oct 93,1.4%
Sep 93,1.8%
Aug 93,1.7%
Jul 93,1.4%
Jun 93,1.2%
May 93,1.3%
Apr 93,1.3%
Mar 93,1.9%
Feb 93,1.8%
Jan 93,1.7%
Dec 92,2.6%
Nov 92,3%
Oct 92,3.6%
Sep 92,3.6%
Aug 92,3.6%
Jul 92,3.7%
Jun 92,3.9%
May 92,4.3%
Apr 92,4.3%
Mar 92,4%
Feb 92,4.1%
Jan 92,4.1%
Dec 91,4.5%
Nov 91,4.3%
Oct 91,3.7%
Sep 91,4.1%
Aug 91,4.7%
Jul 91,5.5%
Jun 91,5.8%
May 91,5.8%
Apr 91,6.4%
Mar 91,8.2%
Feb 91,8.9%
Jan 91,9%
Dec 90,9.3%
Nov 90,9.7%
Oct 90,10.9%
Sep 90,10.9%
Aug 90,10.6%
Jul 90,9.8%
Jun 90,9.8%
May 90,9.7%
Apr 90,9.4%
Mar 90,8.1%
Feb 90,7.5%
Jan 90,7.7%
Dec 89,7.7%
Nov 89,7.7%
Oct 89,7.3%
Sep 89,7.6%
Aug 89,7.3%
Jul 89,8.2%
Jun 89,8.3%
May 89,8.3%
Apr 89,8%
Mar 89,7.9%
Feb 89,7.8%
Jan 89,7.5%
Dec 88,6.8%
Nov 88,6.4%
Oct 88,6.4%
Sep 88,5.9%
Aug 88,5.7%
Jul 88,4.8%
Jun 88,4.6%
May 88,4.2%
Apr 88,3.9%
Mar 88,3.5%
Feb 88,3.3%
Jan 88,3.3%
Dec 87,3.7%
Nov 87,4.1%
Oct 87,4.5%
Sep 87,4.2%
Aug 87,4.4%
Jul 87,4.4%
Jun 87,4.2%
May 87,4.1%
Apr 87,4.2%
Mar 87,4%
Feb 87,3.9%
Jan 87,3.9%
Dec 86,3.7%
Nov 86,3.5%
Oct 86,3%
Sep 86,3%
Aug 86,2.4%
Jul 86,2.4%
Jun 86,2.5%
May 86,2.8%
Apr 86,3%
Mar 86,4.2%
Feb 86,5.1%
Jan 86,5.5%
Dec 85,5.7%
Nov 85,5.5%
Oct 85,5.4%
Sep 85,5.9%
Aug 85,6.2%
Jul 85,6.9%
Jun 85,7%
May 85,7%
Apr 85,6.9%
Mar 85,6.1%
Feb 85,5.4%
Jan 85,5%
Dec 84,4.6%
Nov 84,4.9%
Oct 84,5%
Sep 84,4.7%
Aug 84,5%
Jul 84,4.5%
Jun 84,5.1%
May 84,5.1%
Apr 84,5.2%
Mar 84,5.2%
Feb 84,5.1%
Jan 84,5.1%
Dec 83,5.3%
Nov 83,4.8%
Oct 83,5%
Sep 83,5.1%
Aug 83,4.6%
Jul 83,4.2%
Jun 83,3.7%
May 83,3.7%
Apr 83,4%
Mar 83,4.6%
Feb 83,5.3%
Jan 83,4.9%
Dec 82,5.4%
Nov 82,6.3%
Oct 82,6.8%
Sep 82,7.3%
Aug 82,8%
Jul 82,8.7%
Jun 82,9.2%
May 82,9.5%
Apr 82,9.4%
Mar 82,10.4%
Feb 82,11%
Jan 82,12%
Dec 81,12%
Nov 81,12%
Oct 81,11.7%
Sep 81,11.4%
Aug 81,11.5%
Jul 81,10.9%
Jun 81,11.3%
May 81,11.7%
Apr 81,12%
Mar 81,12.6%
Feb 81,12.5%
Jan 81,13%
Dec 80,15.1%
Nov 80,15.3%
Oct 80,15.4%
Sep 80,15.9%
Aug 80,16.3%
Jul 80,16.9%
Jun 80,21%
May 80,21.9%
Apr 80,21.8%
Mar 80,19.8%
Feb 80,19.1%
Jan 80,18.4%
Dec 79,17.2%
Nov 79,17.4%
Oct 79,17.2%
Sep 79,16.5%
Aug 79,15.8%
Jul 79,15.6%
Jun 79,11.4%
May 79,10.3%
Apr 79,10.1%
Mar 79,9.8%
Feb 79,9.6%
Jan 79,9.3%
Dec 78,8.4%
Nov 78,8.1%
Oct 78,7.8%
Sep 78,7.8%
Aug 78,8%
Jul 78,7.8%
Jun 78,7.4%
May 78,7.7%
Apr 78,7.9%
Mar 78,9.1%
Feb 78,9.5%
Jan 78,9.9%
Dec 77,12.1%
Nov 77,13%
Oct 77,14.1%
Sep 77,15.6%
Aug 77,16.5%
Jul 77,17.6%
Jun 77,17.7%
May 77,17.1%
Apr 77,17.5%
Mar 77,16.7%
Feb 77,16.2%
Jan 77,16.6%
Dec 76,15.1%
Nov 76,15%
Oct 76,14.7%
Sep 76,14.3%
Aug 76,13.8%
Jul 76,12.9%
Jun 76,13.8%
May 76,15.4%
Apr 76,18.9%
Mar 76,21.2%
Feb 76,22.9%
Jan 76,23.4%
Dec 75,24.9%
Nov 75,25.2%
Oct 75,25.9%
Sep 75,26.6%
Aug 75,26.9%
Jul 75,26.3%
Jun 75,26.1%
May 75,25%
Apr 75,21.7%
Mar 75,21.2%
Feb 75,19.9%
Jan 75,19.9%
Dec 74,19.1%
Nov 74,18.3%
Oct 74,17.1%
Sep 74,17.1%
Aug 74,16.9%
Jul 74,17.1%
Jun 74,16.5%
May 74,16%
Apr 74,15.2%
Mar 74,13.5%
Feb 74,13.2%
Jan 74,12%
Dec 73,10.6%
Nov 73,10.3%
Oct 73,9.9%
Sep 73,9.3%
Aug 73,8.9%
Jul 73,9.4%
Jun 73,9.3%
May 73,9.5%
Apr 73,9.2%
Mar 73,8.2%
Feb 73,7.9%
Jan 73,7.7%
Dec 72,7.7%
Nov 72,7.6%
Oct 72,7.9%
Sep 72,7%
Aug 72,6.6%
Jul 72,5.8%
Jun 72,6.1%
May 72,6.1%
Apr 72,6.3%
Mar 72,7.6%
Feb 72,8.1%
Jan 72,8.2%
Dec 71,9%
Nov 71,9.2%
Oct 71,9.4%
Sep 71,9.9%
Aug 71,10.3%
Jul 71,10.1%
Jun 71,10.3%
May 71,9.8%
Apr 71,9.4%
Mar 71,8.8%
Feb 71,8.5%
Jan 71,8.5%
Dec 70,7.9%
Nov 70,7.9%
Oct 70,7.4%
Sep 70,7%
Aug 70,6.8%
Jul 70,6.7%
Jun 70,5.9%
May 70,6.1%
Apr 70,5.6%
Mar 70,5.1%
Feb 70,4.9%
Jan 70,5%
Dec 69,4.7%
Nov 69,5.4%
Oct 69,5.4%
Sep 69,5.1%
Aug 69,4.9%
Jul 69,5.3%
Jun 69,5.3%
May 69,5.3%
Apr 69,5.5%
Mar 69,6.3%
Feb 69,6.2%
Jan 69,6.2%
Dec 68,5.9%
Nov 68,5.2%
Oct 68,5.6%
Sep 68,5.9%
Aug 68,5.7%
Jul 68,5.3%
Jun 68,4.6%
May 68,4.6%
Apr 68,4.4%
Mar 68,3.4%
Feb 68,3%
Jan 68,2.6%
Dec 67,2.5%
Nov 67,1.9%
Oct 67,2%
Sep 67,1.5%
Aug 67,1.4%
Jul 67,2.2%
Jun 67,2.4%
May 67,2.2%
Apr 67,3%
Mar 67,3.5%
Feb 67,3.7%
Jan 67,3.7%
Dec 66,3.7%
Nov 66,4%
Oct 66,3.8%
Sep 66,3.6%
Aug 66,3.9%
Jul 66,3.5%
Jun 66,3.9%
May 66,3.9%
Apr 66,3.6%
Mar 66,4.3%
Feb 66,4.5%
Jan 66,4.4%
Dec 65,4.5%
Nov 65,4.4%
Oct 65,4.8%
Sep 65,4.8%
Aug 65,4.7%
Jul 65,4.9%
Jun 65,4.9%
May 65,5%
Apr 65,5.6%
Mar 65,4.5%
Feb 65,4.5%
Jan 65,4.6%
Dec 64,4.8%
Nov 64,4.6%
Oct 64,4.1%
Sep 64,4.4%
Aug 64,4.7%
Jul 64,4%
Jun 64,3.4%
May 64,3%
Apr 64,2%
Mar 64,1.4%
Feb 64,1.2%
Jan 64,1.9%
Dec 63,1.9%
Nov 63,2.2%
Oct 63,2.3%
Sep 63,1.8%
Aug 63,1.4%
Jul 63,0.8%
Jun 63,1%
May 63,1.7%
Apr 63,2.1%
Mar 63,3.2%
Feb 63,3.5%
Jan 63,2.7%
Dec 62,2.6%
Nov 62,2.3%
Oct 62,2.9%
Sep 62,3.3%
Aug 62,3.2%
Jul 62,5.1%
Jun 62,5.5%
May 62,5.7%
Apr 62,5.6%
Mar 62,4.8%
Feb 62,4.7%
Jan 62,4.6%
Dec 61,4.4%
Nov 61,4.5%
Oct 61,3.9%
Sep 61,4.5%
Aug 61,4.8%
Jul 61,3.2%
Jun 61,3.3%
May 61,3%
Apr 61,2.7%
Mar 61,2.7%
Feb 61,2.2%
Jan 61,2.2%
Dec 60,1.8%
Nov 60,1.7%
Oct 60,2%
Sep 60,1.7%
Aug 60,1%
Jul 60,1.9%
Jun 60,1.5%
May 60,1.1%
Apr 60,0.7%
Mar 60,-0.5%
Feb 60,-0.4%
Jan 60,-0.5%
Dec 59,0%
Nov 59,0.2%
Oct 59,-0.2%
Sep 59,0.3%
Aug 59,0.9%
Jul 59,0.5%
Jun 59,-0.8%
May 59,-0.1%
Apr 59,-0.1%
Mar 59,1.8%
Feb 59,2.5%
Jan 59,2.1%
Dec 58,1.8%
Nov 58,1.9%
Oct 58,2.1%
Sep 58,2.2%
Aug 58,1.8%
Jul 58,1.8%
Jun 58,4.3%
May 58,4.4%
Apr 58,4.9%
Mar 58,4.1%
Feb 58,3.2%
Jan 58,3.5%
Dec 57,4.6%
Nov 57,4.5%
Oct 57,4.3%
Sep 57,3.9%
Aug 57,4%
Jul 57,4.5%
Jun 57,3.2%
May 57,2%
Apr 57,1.8%
Mar 57,2.8%
Feb 57,4.3%
Jan 57,4.4%
Dec 56,3%
Nov 56,2.7%
Oct 56,3.9%
Sep 56,4.4%
Aug 56,5.2%
Jul 56,4.3%
Jun 56,5%
May 56,7.3%
Apr 56,7.3%
Mar 56,6.4%
Feb 56,5.1%
Jan 56,5.1%
Dec 55,5.8%
Nov 55,6.4%
Oct 55,5.2%
Sep 55,4.6%
Aug 55,3.8%
Jul 55,3.8%
Jun 55,5.2%
May 55,3.7%
Apr 55,3.6%
Mar 55,3.4%
Feb 55,4.4%
Jan 55,4.2%
Dec 54,4%
Nov 54,3%
Oct 54,2.8%
Sep 54,2.4%
Aug 54,2.4%
Jul 54,2.3%
Jun 54,0.7%
May 54,0.7%
Apr 54,0.6%
Mar 54,1.1%
Feb 54,0.9%
Jan 54,1.3%
Dec 53,1.1%
Nov 53,2.1%
Oct 53,1.7%
Sep 53,2.6%
Aug 53,2.6%
Jul 53,2.7%
Jun 53,2.6%
May 53,3.7%
Apr 53,4.1%
Mar 53,4.8%
Feb 53,4.6%
Jan 53,4.4%
Dec 52,6.4%
Nov 52,6.3%
Oct 52,6.9%
Sep 52,6.7%
Aug 52,7.6%
Jul 52,8.8%
Jun 52,10.6%
May 52,9.1%
Apr 52,11.8%
Mar 52,11.8%
Feb 52,12%
Jan 52,13%
Dec 51,12%
Nov 51,11.9%
Oct 51,11.9%
Sep 51,12.3%
Aug 51,12.2%
Jul 51,11.3%
Jun 51,9.6%
May 51,8.7%
Apr 51,6.3%
Mar 51,5%
Feb 51,4.6%
Jan 51,3.9%
Dec 50,3.2%
Nov 50,2.9%
Oct 50,2.5%
Sep 50,2%
Aug 50,1.7%
Jul 50,2.2%
Jun 50,2.3%
May 50,3.3%
Apr 50,4.9%
Mar 50,4.2%
Feb 50,3.7%
Jan 50,3.6%
Dec 49,3.5%
Nov 49,3.3%
Oct 49,3.6%
Sep 49,3.2%
Aug 49,3.1%
Jul 49,3%
Jun 49,1.3%
May 49,2.6%
Apr 49,0.6%
Mar 49,2.3%
Feb 49,2.9%
Jan 49,4.6%
Dec 48,4.9%
Nov 48,5.1%
Oct 48,7%
Sep 48,7.6%
Aug 48,7.9%
Jul 48,7.2%
Jun 48,9.7%
