Month,Stock price in euros
"Jan 16, 2020",16.39
"Jan 15, 2020",16.39
"Jan 14, 2020",16.54
"Jan 13, 2020",16.34
"Jan 10, 2020",16.62
"Jan 9, 2020",16.79
"Jan 8, 2020",16.55
"Jan 7, 2020",16.33
"Jan 6, 2020",16.13
"Jan 3, 2020",16.33
"Jan 2, 2020",16.56
"Dec 31, 2019",16.22
"Dec 30, 2019",16.21
"Dec 27, 2019",16.25
"Dec 24, 2019",16.28
"Dec 23, 2019",16.32
"Dec 20, 2019",16.33
"Dec 19, 2019",16.26
"Dec 18, 2019",16.25
"Dec 17, 2019",16.36
"Dec 16, 2019",16.14
"Dec 13, 2019",16.12
"Dec 12, 2019",15.87
"Dec 11, 2019",15.24
"Dec 10, 2019",15.25
"Dec 9, 2019",15.3
"Dec 6, 2019",15.24
"Dec 5, 2019",15.18
"Dec 4, 2019",15.16
"Dec 3, 2019",14.98
"Dec 2, 2019",15.23
"Nov 29, 2019",15.49
"Nov 28, 2019",15.7
"Nov 27, 2019",15.76
"Nov 26, 2019",15.73
"Nov 25, 2019",15.72
"Nov 22, 2019",16.1
"Nov 21, 2019",15.95
"Nov 20, 2019",15.99
"Nov 19, 2019",16.21
"Nov 18, 2019",16.37
"Nov 15, 2019",16.65
"Nov 14, 2019",16.5
"Nov 13, 2019",16.76
"Nov 12, 2019",17.42
"Nov 11, 2019",17.31
"Nov 8, 2019",17.3
"Nov 7, 2019",17.45
"Nov 6, 2019",17.25
"Nov 5, 2019",17.35
"Nov 4, 2019",17.22
"Nov 1, 2019",16.9
"Oct 31, 2019",16.69
"Oct 30, 2019",16.74
"Oct 29, 2019",16.97
"Oct 28, 2019",16.93
"Oct 25, 2019",16.98
"Oct 24, 2019",16.98
"Oct 23, 2019",17.17
"Oct 22, 2019",16.91
"Oct 21, 2019",16.76
"Oct 18, 2019",16.56
"Oct 17, 2019",16.75
"Oct 16, 2019",16.77
"Oct 15, 2019",16.55
"Oct 14, 2019",16.3
"Oct 11, 2019",16.5
"Oct 10, 2019",16.05
"Oct 9, 2019",15.64
"Oct 8, 2019",15.83
"Oct 7, 2019",15.93
"Oct 4, 2019",15.84
"Oct 3, 2019",15.82
"Oct 2, 2019",15.63
"Oct 1, 2019",15.78
"Sep 30, 2019",16.18
"Sep 27, 2019",16.13
"Sep 26, 2019",15.89
"Sep 25, 2019",18.09
"Sep 24, 2019",18.26
"Sep 23, 2019",18.18
"Sep 20, 2019",18.69
"Sep 19, 2019",18.5
"Sep 18, 2019",18.16
"Sep 17, 2019",18.15
"Sep 16, 2019",18.66
"Sep 13, 2019",18.57
"Sep 12, 2019",18.09
"Sep 11, 2019",18.07
"Sep 10, 2019",17.85
"Sep 9, 2019",17.35
"Sep 6, 2019",16.61
"Sep 5, 2019",16.59
"Sep 4, 2019",16.08
"Sep 3, 2019",15.88
"Sep 2, 2019",16.01
"Aug 30, 2019",16.19
"Aug 29, 2019",16.05
"Aug 28, 2019",15.96
"Aug 27, 2019",16.02
"Aug 26, 2019",15.88
"Aug 23, 2019",15.71
"Aug 22, 2019",15.98
"Aug 21, 2019",15.99
"Aug 20, 2019",16.13
"Aug 19, 2019",16.5
"Aug 16, 2019",16.54
"Aug 15, 2019",16.15
"Aug 14, 2019",16.35
"Aug 13, 2019",16.36
"Aug 12, 2019",15.89
"Aug 9, 2019",15.95
"Aug 8, 2019",16.69
"Aug 7, 2019",16.61
"Aug 6, 2019",16.56
"Aug 5, 2019",16.73
"Aug 2, 2019",17.07
"Aug 1, 2019",17.72
