Month,EUR/GBP exchange rate
Nov 2006,0.67
Oct 2006,0.67
Sep 2006,0.68
Aug 2006,0.68
Jul 2006,0.69
Jun 2006,0.69
May 2006,0.68
Apr 2006,0.69
Mar 2006,0.69
Feb 2006,0.68
Jan 2006,0.69
Dec 2005,0.68
Nov 2005,0.68
Oct 2005,0.68
Sep 2005,0.68
Aug 2005,0.69
Jul 2005,0.69
Jun 2005,0.67
May 2005,0.68
Apr 2005,0.68
Mar 2005,0.69
Feb 2005,0.69
Jan 2005,0.7
Dec 2004,0.7
Nov 2004,0.7
Oct 2004,0.69
Sep 2004,0.68
Aug 2004,0.67
Jul 2004,0.67
Jun 2004,0.66
May 2004,0.67
Apr 2004,0.67
Mar 2004,0.67
Feb 2004,0.68
Jan 2004,0.69
Dec 2003,0.7
Nov 2003,0.69
Oct 2003,0.7
Sep 2003,0.7
Aug 2003,0.7
Jul 2003,0.7
Jun 2003,0.7
May 2003,0.71
Apr 2003,0.69
Mar 2003,0.68
Feb 2003,0.67
Jan 2003,0.66
Dec 2002,0.64
Nov 2002,0.64
Oct 2002,0.63
Sep 2002,0.63
Aug 2002,0.64
Jul 2002,0.64
Jun 2002,0.64
May 2002,0.63
Apr 2002,0.61
Mar 2002,0.62
Feb 2002,0.61
Jan 2002,0.62
Dec 2001,0.62
Nov 2001,0.62
Oct 2001,0.62
Sep 2001,0.62
Aug 2001,0.63
Jul 2001,0.61
Jun 2001,0.61
May 2001,0.61
Apr 2001,0.62
Mar 2001,0.63
Feb 2001,0.63
Jan 2001,0.63
Dec 2000,0.61
Nov 2000,0.6
Oct 2000,0.59
Sep 2000,0.61
Aug 2000,0.61
Jul 2000,0.62
Jun 2000,0.63
May 2000,0.6
Apr 2000,0.6
Mar 2000,0.61
Feb 2000,0.61
Jan 2000,0.62
Dec 1999,0.63
Nov 1999,0.64
Oct 1999,0.65
Sep 1999,0.65
Aug 1999,0.66
Jul 1999,0.66
Jun 1999,0.65
May 1999,0.66
Apr 1999,0.67
Mar 1999,0.67
Feb 1999,0.69
Jan 1999,0.7
