Month,Index points
Jun 22,1.0
Jun 21,2.5
Jun 20,2.1
Jun 19,1.0
Jun 18,1.0
Jun 17,1.0
Jun 16,1.0
Jun 15,1.0
Jun 14,2.5
Jun 13,2.2
Jun 12,2.1
Jun 11,1.0
Jun 10,1.1
Jun 9,1.1
Jun 8,1.2
Jun 7,2.6
Jun 6,2.2
Jun 5,1.2
Jun 4,1.3
Jun 3,1.3
Jun 2,1.3
Jun 1,1.3
May 31,2.8
May 30,2.2
May 29,1.3
May 28,1.4
May 27,1.4
May 26,1.5
May 25,1.6
May 24,2.8
May 23,2.5
May 22,1.6
May 21,1.7
May 20,1.7
May 19,1.7
May 18,1.7
May 17,2.9
May 16,2.6
May 15,1.7
May 14,1.8
May 13,1.8
May 12,1.8
May 11,2.8
May 10,3.1
May 9,2.9
May 8,2.0
May 7,2.0
May 6,2.0
May 5,2.8
May 4,2.8
May 3,3.2
May 2,3.0
May 1,3.0
Apr 30,2.1
Apr 29,2.2
Apr 28,2.2
Apr 27,2.3
Apr 26,3.4
Apr 25,3.1
Apr 24,2.4
Apr 23,2.5
Apr 22,2.5
Apr 21,2.5
Apr 20,2.6
Apr 19,3.6
Apr 18,3.3
Apr 17,2.6
Apr 16,2.6
Apr 15,2.6
Apr 14,2.6
Apr 13,2.6
Apr 12,3.7
Apr 11,3.4
Apr 10,2.7
Apr 9,2.8
Apr 8,2.9
Apr 7,2.9
Apr 6,3.0
Apr 5,4.0
Apr 4,3.8
Apr 3,3.4
Apr 2,3.5
Apr 1,3.4
Mar 31,3.0
Mar 30,2.8
Mar 29,3.4
Mar 28,2.8
Mar 27,1.2
Mar 26,1.2
Mar 25,1.1
Mar 24,1.2
Mar 23,1.2
Mar 22,2.9
Mar 21,2.3
Mar 20,1.0
Mar 19,1.0
Mar 18,0.9
Mar 17,0.7
Mar 16,0.7
