Month,Stock price in euros
"Jan 17, 2020",51.07
"Jan 16, 2020",50.68
"Jan 15, 2020",50.52
"Jan 14, 2020",50.22
"Jan 13, 2020",50.26
"Jan 10, 2020",50.3
"Jan 9, 2020",50.16
"Jan 8, 2020",49.82
"Jan 7, 2020",50.51
"Jan 6, 2020",50.96
"Jan 3, 2020",51.36
"Jan 2, 2020",51.38
"Dec 31, 2019",51.23
"Dec 30, 2019",51.46
"Dec 27, 2019",51.93
"Dec 24, 2019",51.45
"Dec 23, 2019",51.82
"Dec 20, 2019",51.68
"Dec 19, 2019",51.18
"Dec 18, 2019",50.95
"Dec 17, 2019",51.45
"Dec 16, 2019",54.99
"Dec 13, 2019",54.18
"Dec 12, 2019",53.77
"Dec 11, 2019",54.0
"Dec 10, 2019",54.41
"Dec 9, 2019",54.47
"Dec 6, 2019",54.38
"Dec 5, 2019",53.51
"Dec 4, 2019",53.84
"Dec 3, 2019",53.37
"Dec 2, 2019",53.26
"Nov 29, 2019",53.8
"Nov 28, 2019",53.51
"Nov 27, 2019",53.39
"Nov 26, 2019",53.22
"Nov 25, 2019",52.49
"Nov 22, 2019",52.65
"Nov 21, 2019",52.71
"Nov 20, 2019",53.23
"Nov 19, 2019",53.54
"Nov 18, 2019",53.67
"Nov 15, 2019",53.48
"Nov 14, 2019",53.7
"Nov 13, 2019",54.15
"Nov 12, 2019",53.93
"Nov 11, 2019",54.04
"Nov 8, 2019",54.36
"Nov 7, 2019",53.91
"Nov 6, 2019",54.2
"Nov 5, 2019",52.99
"Nov 4, 2019",52.5
"Nov 1, 2019",52.7
"Oct 31, 2019",52.95
"Oct 30, 2019",52.95
"Oct 29, 2019",52.49
"Oct 28, 2019",52.19
"Oct 25, 2019",53.24
"Oct 24, 2019",53.0
"Oct 23, 2019",53.14
"Oct 22, 2019",53.71
"Oct 21, 2019",53.51
"Oct 18, 2019",54.07
"Oct 17, 2019",54.45
"Oct 16, 2019",54.01
"Oct 15, 2019",53.07
"Oct 14, 2019",53.4
"Oct 11, 2019",53.61
"Oct 10, 2019",54.11
"Oct 9, 2019",54.25
"Oct 8, 2019",54.14
"Oct 7, 2019",54.75
"Oct 4, 2019",54.23
"Oct 3, 2019",54.1
"Oct 2, 2019",54.1
"Oct 1, 2019",55.19
"Sep 30, 2019",55.15
"Sep 27, 2019",55.04
"Sep 26, 2019",55.02
"Sep 25, 2019",54.39
"Sep 24, 2019",54.69
"Sep 23, 2019",54.35
"Sep 20, 2019",53.8
"Sep 19, 2019",54.47
"Sep 18, 2019",54.64
"Sep 17, 2019",54.71
"Sep 16, 2019",53.96
"Sep 13, 2019",54.43
"Sep 12, 2019",55.0
"Sep 11, 2019",54.69
"Sep 10, 2019",54.48
"Sep 9, 2019",55.48
"Sep 6, 2019",56.78
"Sep 5, 2019",56.89
"Sep 4, 2019",57.56
"Sep 3, 2019",57.39
"Sep 2, 2019",56.93
"Aug 30, 2019",56.44
"Aug 29, 2019",55.63
"Aug 28, 2019",55.36
"Aug 27, 2019",55.14
"Aug 26, 2019",54.34
"Aug 23, 2019",54.14
"Aug 22, 2019",54.39
"Aug 21, 2019",54.94
"Aug 20, 2019",54.4
"Aug 19, 2019",54.35
"Aug 16, 2019",53.34
"Aug 15, 2019",52.57
"Aug 14, 2019",52.18
"Aug 13, 2019",51.27
"Aug 12, 2019",51.3
"Aug 9, 2019",50.8
"Aug 8, 2019",50.83
"Aug 7, 2019",50.75
"Aug 6, 2019",50.47
"Aug 5, 2019",50.92
"Aug 2, 2019",51.91
"Aug 1, 2019",52.78
