Month,Index points
Mar 23,1.2
Mar 22,3.5
Mar 21,2.9
Mar 20,1.0
Mar 19,1.0
Mar 18,0.9
Mar 17,0.9
Mar 16,0.9
Mar 15,3.3
Mar 14,2.8
Mar 13,0.7
Mar 12,0.7
Mar 11,0.7
Mar 10,0.6
Mar 9,0.8
Mar 8,3.0
Mar 7,2.5
Mar 6,0.7
Mar 5,0.7
Mar 4,0.7
