Month,Number of deaths
"Sep 27, 2020",35835
"Sep 26, 2020",35818
"Sep 25, 2020",35801
"Sep 24, 2020",35781
"Sep 23, 2020",35758
"Sep 22, 2020",35738
"Sep 21, 2020",35724
"Sep 20, 2020",35707
"Sep 19, 2020",35692
"Sep 18, 2020",35668
"Sep 17, 2020",35658
"Sep 16, 2020",35645
"Sep 15, 2020",35633
"Sep 14, 2020",35624
"Sep 13, 2020",35610
"Sep 12, 2020",35603
"Sep 11, 2020",35597
"Sep 10, 2020",35587
"Sep 9, 2020",35577
"Sep 8, 2020",35563
"Sep 7, 2020",35553
"Sep 6, 2020",35541
"Sep 5, 2020",35533
"Sep 4, 2020",35518
"Sep 3, 2020",35507
"Sep 2, 2020",35497
"Sep 1, 2020",35491
"Aug 31 , 2020",35483
"Aug 30 , 2020",35477
"Aug 29, 2020",35473
"Aug 28 , 2020",35472
"Aug 27 , 2020",35463
"Aug 26 , 2020",35458
"Aug 25 , 2020",35445
"Aug 24 , 2020",35441
"Aug 23 , 2020",35437
"Aug 22 , 2020",35430
"Aug 21 , 2020",35427
"Aug 20 , 2020",35418
"Aug 19 , 2020",35412
"Aug 18 , 2020",35405
"Aug 17, 2020",35400
"Aug 16, 2020",35396
"Aug 15, 2020",35392
"Aug 14, 2020",35234
"Aug 13, 2020",35231
"Aug 12, 2020",35225
"Aug 11, 2020",35215
"Aug 10, 2020",35209
"Aug 9, 2020",35205
"Aug 8, 2020",35203
"Aug 7, 2020",35190
"Aug 6, 2020",35187
"Aug 5, 2020",35181
"Aug 4, 2020",35171
"Aug 3, 2020",35166
"Aug 2 , 2020",35154
"Aug 1 , 2020",35146
"Jul 31 , 2020",35141
"Jul 30 , 2020",35132
"Jul 29 , 2020",35129
"Jul 28 , 2020",35123
"Jul 27 , 2020",35112
"Jul 26 , 2020",35107
"Jul 25 , 2020",35102
"Jul 24 , 2020",35097
"Jul 23 , 2020",35092
"Jul 22 , 2020",35082
"Jul 21 , 2020",35073
"Jul 20, 2020",35058
"Jul 19 , 2020",35045
"Jul 18 , 2020",35042
"Jul 17 , 2020",35028
"Jul 16 , 2020",35017
"Jul 15 , 2020",34997
"Jul 14 , 2020",34984
"Jul 13 , 2020",34967
"Jul 12 , 2020",34954
"Jul 11 , 2020",34945
"Jul 10 , 2020",34938
"Jul 9 , 2020",34926
"Jul 8, 2020",34914
"Jul 7, 2020",34899
"Jul 6, 2020",34869
"Jul 5, 2020",34861
"Jul 4, 2020",34854
"Jul 3, 2020",34833
"Jul 2, 2020",34818
"Jul 1, 2020",34788
"Jun 30, 2020",34767
"Jun 29, 2020",34744
"Jun 28, 2020",34738
"Jun 27, 2020",34716
"Jun 26, 2020",34708
"Jun 25, 2020",34678
"Jun 24, 2020",34644
"Jun 23, 2020",34675
"Jun 22, 2020",34657
"Jun 21, 2020",34634
"Jun 20, 2020",34610
"Jun 19, 2020",34561
"Jun 18, 2020",34514
"Jun 17, 2020",34448
"Jun 16, 2020",34405
"Jun 15, 2020",34371
"Jun 14, 2020",34345
"Jun 13, 2020",34301
"Jun 12, 2020",34223
"Jun 11, 2020",34167
"Jun 10, 2020",34114
"Jun 9, 2020",34043
"Jun 8, 2020",33963
"Jun 7, 2020",33899
"Jun 6, 2020",33846
"Jun 5, 2020",33774
"Jun 4, 2020",33689
"Jun 3, 2020",33601
"Jun 2, 2020",33530
"Jun 1, 2020",33475
"May 31, 2020",33415
"May 30, 2020",33340
"May 29, 2020",33229
"May 28, 2020",33142
"May 27, 2020",33072
"May 26, 2020",32955
"May 25, 2020",32877
"May 24, 2020",32785
"May 23, 2020",32735
"May 22, 2020",32616
"May 21, 2020",32486
"May 20, 2020",32330
"May 19, 2020",32169
"May 18, 2020",32007
"May 17, 2020",31908
"May 16, 2020",31763
"May 15, 2020",31610
"May 14, 2020",31368
"May 13, 2020",31106
"May 12, 2020",30911
"May 11, 2020",30739
"May 10, 2020",30560
"May 9, 2020",30395
"May 8, 2020",30201
"May 7, 2020",29958
"May 6, 2020",29684
"May 5, 2020",29315
"May 4, 2020",29079
"May 3, 2020",28884
"May 2, 2020",28710
"May 1, 2020",28236
"Apr 30, 2020",27967
"Apr 29, 2020",27682
"Apr 28, 2020",27359
"Apr 27, 2020",26977
"Apr 26, 2020",26644
"Apr 25, 2020",26384
"Apr 24, 2020",25969
"Apr 23, 2020",25549
"Apr 22, 2020",25085
"Apr 21, 2020",24648
"Apr 20, 2020",24114
"Apr 19, 2020",23660
"Apr 18, 2020",23227
"Apr 17, 2020",22745
"Apr 16, 2020",22170
"Apr 15, 2020",21645
"Apr 14, 2020",21067
"Apr 13, 2020",20465
"Apr 12, 2020",19899
"Apr 11, 2020",19468
"Apr 10, 2020",18849
"Apr 9, 2020",18279
"Apr 8, 2020",17669
"Apr 7, 2020",17127
"Apr 6, 2020",16523
"Apr 5, 2020",15887
"Apr 4, 2020",15362
"Apr 3, 2020",14681
"Apr 2, 2020",13915
"Apr 1, 2020",13155
"Mar 31, 2020",12428
"Mar 30, 2020",11591
"Mar 29, 2020",10779
"Mar 28, 2020",10023
"Mar 27, 2020",9150
"Mar 26, 2020",8165
"Mar 25, 2020",7503
"Mar 24, 2020",6820
"Mar 23, 2020",6077
"Mar 22, 2020",5476
"Mar 21, 2020",4825
"Mar 20, 2020",4035
"Mar 19, 2020",3405
"Mar 18, 2020",2978
"Mar 17, 2020",2503
"Mar 16, 2020",2158
"Mar 15, 2020",1809
"Mar 14, 2020",1441
"Mar 13, 2020",1266
"Mar 12, 2020",1016
"Mar 11, 2020",827
"Mar 10, 2020",631
"Mar 9, 2020",463
"Mar 8, 2020",366
"Mar 7, 2020",233
"Mar 6, 2020",197
"Mar 5, 2020",148
"Mar 4, 2020",107
"Mar 3, 2020",79
"Mar 2, 2020",52
"Mar 1, 2020",31
"Feb 29, 2020",29
"Feb 28, 2020",21
"Feb 27, 2020",17
"Feb 26, 2020",12
"Feb 25, 2020",11
"Feb 24, 2020",7
