Month,Number of active cases
"Jul 24 , 2020",12301
"Jul 23 , 2020",12404
"Jul 22 , 2020",12322
"Jul 21 , 2020",12248
"Jul 20, 2020",12404
"Jul 19 , 2020",12440
"Jul 18 , 2020",12368
"Jul 17 , 2020",12456
"Jul 16 , 2020",12473
"Jul 15 , 2020",12493
"Jul 14 , 2020",12919
"Jul 13 , 2020",13157
"Jul 12 , 2020",13179
"Jul 11 , 2020",13303
"Jul 10 , 2020",13428
"Jul 9 , 2020",13459
"Jul 8, 2020",13595
"Jul 7, 2020",14242
"Jul 6, 2020",14709
"Jul 5, 2020",14642
"Jul 4, 2020",14621
"Jul 3, 2020",14884
"Jul 2, 2020",15060
"Jul 1, 2020",15255
"Jun 30, 2020",15563
"Jun 29, 2020",16496
"Jun 28, 2020",16681
"Jun 27, 2020",16836
"Jun 26, 2020",17638
"Jun 25, 2020",18303
"Jun 24, 2020",18655
"Jun 23, 2020",19573
"Jun 22, 2020",20637
"Jun 21, 2020",20972
"Jun 20, 2020",21212
"Jun 19, 2020",21543
"Jun 18, 2020",23101
"Jun 17, 2020",23925
"Jun 16, 2020",24569
"Jun 15, 2020",25909
"Jun 14, 2020",26274
"Jun 13, 2020",27485
"Jun 12, 2020",28997
"Jun 11, 2020",30637
"Jun 10, 2020",31710
"Jun 9, 2020",32872
"Jun 8, 2020",34730
"Jun 7, 2020",35262
"Jun 6, 2020",35877
"Jun 5, 2020",36976
"Jun 4, 2020",38429
"Jun 3, 2020",39297
"Jun 2, 2020",39893
"Jun 1, 2020",41367
"May 31, 2020",42097
"May 30, 2020",43691
"May 29, 2020",46175
"May 28, 2020",47986
"May 27, 2020",50966
"May 26, 2020",52942
"May 25, 2020",55300
"May 24, 2020",56549
"May 23, 2020",57752
"May 22, 2020",59322
"May 21, 2020",60960
"May 20, 2020",62752
"May 19, 2020",65129
"May 18, 2020",66553
"May 17, 2020",68351
"May 16, 2020",70187
"May 15, 2020",72070
"May 14, 2020",76440
"May 13, 2020",78457
"May 12, 2020",81266
"May 11, 2020",82488
"May 10, 2020",83324
"May 9, 2020",84842
"May 8, 2020",87961
"May 7, 2020",89624
"May 6, 2020",91528
"May 5, 2020",98467
"May 4, 2020",99980
"May 3, 2020",100179
"May 2, 2020",100704
"May 1, 2020",100943
"Apr 30, 2020",101551
"Apr 29, 2020",104657
"Apr 28, 2020",105205
"Apr 27, 2020",105813
"Apr 26, 2020",106103
"Apr 25, 2020",105847
"Apr 24, 2020",106527
"Apr 23, 2020",106848
"Apr 22, 2020",107699
"Apr 21, 2020",107709
"Apr 20, 2020",108237
"Apr 19, 2020",108257
"Apr 18, 2020",107771
"Apr 17, 2020",106962
"Apr 16, 2020",106607
"Apr 15, 2020",105418
"Apr 14, 2020",104291
"Apr 13, 2020",103616
"Apr 12, 2020",102253
"Apr 11, 2020",100269
"Apr 10, 2020",98273
"Apr 9, 2020",96877
"Apr 8, 2020",95262
"Apr 7, 2020",94067
"Apr 6, 2020",93187
"Apr 5, 2020",91246
"Apr 4, 2020",88274
"Apr 3, 2020",85388
"Apr 2, 2020",83049
"Apr 1, 2020",80572
"Mar 31, 2020",77635
"Mar 30, 2020",75528
"Mar 29, 2020",73880
"Mar 28, 2020",70065
"Mar 27, 2020",66414
"Mar 26, 2020",62031
"Mar 25, 2020",57521
"Mar 24, 2020",54030
"Mar 23, 2020",50418
"Mar 22, 2020",46638
"Mar 21, 2020",42681
"Mar 20, 2020",37860
"Mar 19, 2020",33190
"Mar 18, 2020",28710
"Mar 17, 2020",26062
"Mar 16, 2020",23073
"Mar 15, 2020",20603
"Mar 14, 2020",17750
"Mar 13, 2020",14955
"Mar 12, 2020",12839
"Mar 11, 2020",10590
"Mar 10, 2020",8514
"Mar 9, 2020",7985
"Mar 8, 2020",6387
"Mar 7, 2020",5061
"Mar 6, 2020",3916
"Mar 5, 2020",3296
"Mar 4, 2020",2706
"Mar 3, 2020",2263
"Mar 2, 2020",1835
"Mar 1, 2020",1577
"Feb 29, 2020",1049
"Feb 28, 2020",822
"Feb 27, 2020",593
"Feb 26, 2020",455
"Feb 25, 2020",310
"Feb 24, 2020",221
"Feb 23, 2020",152
"Feb 22, 2020",75
"Feb 21, 2020",19
"Feb 20, 2020",4
"Feb 19, 2020",3
"Feb 18, 2020",3
"Feb 17, 2020",3
"Feb 16, 2020",3
"Feb 15, 2020",3
