Month,Number of COVID-19 patients in ICU
"Jul 28 , 2020",40
"Jul 27 , 2020",45
"Jul 26 , 2020",44
"Jul 25 , 2020",41
"Jul 24 , 2020",46
"Jul 23 , 2020",49
"Jul 22 , 2020",48
"Jul 21 , 2020",49
"Jul 20, 2020",47
"Jul 19 , 2020",49
"Jul 18 , 2020",50
"Jul 17 , 2020",50
"Jul 16 , 2020",53
"Jul 15 , 2020",57
"Jul 14 , 2020",60
"Jul 13 , 2020",65
"Jul 12 , 2020",68
"Jul 11 , 2020",67
"Jul 10 , 2020",65
"Jul 9 , 2020",69
"Jul 8, 2020",71
"Jul 7, 2020",70
"Jul 6, 2020",72
"Jul 5, 2020",74
"Jul 4, 2020",71
"Jul 3, 2020",79
"Jul 2, 2020",82
"Jul 1, 2020",87
"Jun 30, 2020",93
"Jun 29, 2020",96
"Jun 28, 2020",98
"Jun 27, 2020",97
"Jun 26, 2020",105
"Jun 25, 2020",103
"Jun 24, 2020",107
"Jun 23, 2020",115
"Jun 22, 2020",127
"Jun 21, 2020",148
"Jun 20, 2020",152
"Jun 19, 2020",161
"Jun 18, 2020",168
"Jun 17, 2020",163
"Jun 16, 2020",177
"Jun 15, 2020",207
"Jun 14, 2020",209
"Jun 13, 2020",220
"Jun 12, 2020",227
"Jun 11, 2020",236
"Jun 10, 2020",249
"Jun 9, 2020",263
"Jun 8, 2020",283
"Jun 7, 2020",287
"Jun 6, 2020",293
"Jun 5, 2020",316
"Jun 4, 2020",338
"Jun 3, 2020",353
"Jun 2, 2020",408
"Jun 1, 2020",424
"May 31, 2020",435
"May 30, 2020",450
"May 29, 2020",475
"May 28, 2020",489
"May 27, 2020",505
"May 26, 2020",521
"May 25, 2020",541
"May 24, 2020",553
"May 23, 2020",572
"May 22, 2020",595
"May 21, 2020",640
"May 20, 2020",676
"May 19, 2020",716
"May 18, 2020",749
"May 17, 2020",772
"May 16, 2020",775
"May 15 , 2020",808
"May 14 , 2020",855
"May 13 , 2020",893
"May 12 , 2020",952
"May 11 , 2020",999
"May 10 , 2020",1027
"May 9 , 2020",1034
"May 8 , 2020",1168
"May 7 , 2020",1311
"May 6, 2020",1333
"May 5 , 2020",1427
"May 4 , 2020",1479
"May 3 , 2020",1501
"May 2 , 2020",1539
"May 1 , 2020",1578
"Apr 30 , 2020",1694
"Apr 29 , 2020",1795
"Apr 28 , 2020",1863
"Apr 27 , 2020",1956
"Apr 26 , 2020",2009
"Apr 25, 2020",2102
"Apr 24, 2020",2173
"Apr 23 , 2020",2267
"Apr 22 , 2020",2384
"Apr 21 , 2020",2471
"Apr 20 , 2020",2573
"Apr 19 , 2020",2635
"Apr 18 , 2020",2733
"Apr 17 , 2020",2812
"Apr 16 , 2020",2936
"Apr 15 , 2020",3079
"Apr 14 , 2020",3186
"Apr 13, 2020",3260
"Apr 12 , 2020",3343
"Apr 11 , 2020",3381
"Apr 10 , 2020",3497
"Apr 9 , 2020",3605
"Apr 8 , 2020",3693
"Apr 7 , 2020",3792
"Apr 6 , 2020",3898
"Apr 5 , 2020",3977
"Apr 4 , 2020",3994
"Apr 3 , 2020",4068
"Apr 2 , 2020",4053
"Apr 1 , 2020",4035
"Mar 31 , 2020",4023
"Mar 30 , 2020",3981
"Mar 29 , 2020",3906
"Mar 28 , 2020",3856
"Mar 27 , 2020",3732
"Mar 26 , 2020",3612
"Mar 25 , 2020",3489
"Mar 24 , 2020",3396
"Mar 23 , 2020",3204
"Mar 22 , 2020",3009
"Mar 21 , 2020",2857
"Mar 20 , 2020",2655
"Mar 19 , 2020",2498
"Mar 18 , 2020",2257
"Mar 17 , 2020",2060
"Mar 16 , 2020",1851
"Mar 15 , 2020",1672
"Mar 14 , 2020",1518
"Mar 13 , 2020",1328
"Mar 12 , 2020",1153
"Mar 11 , 2020",1028
"Mar 10 , 2020",877
"Mar 9 , 2020",733
"Mar 8, 2020",650
"Mar 7 , 2020",567
"Mar 6 , 2020",462
"Mar 5 , 2020",351
"Mar 4 , 2020",295
"Mar 3 , 2020",229
"Mar 2 , 2020",166
"Mar 1 , 2020",140
"Feb 29 , 2020",105
"Feb 28 , 2020",64
"Feb 27 , 2020",56
"Feb 26, 2020",36
"Feb 25 , 2020",35
"Feb 24 , 2020",26
