Month,Number of tests
"Jun 23, 2020",258861
"Jun 22, 2020",258115
"Jun 21, 2020",256326
"Jun 20, 2020",253100
"Jun 19, 2020",249391
"Jun 18, 2020",245598
"Jun 17, 2020",242139
"Jun 16, 2020",236828
"Jun 15, 2020",235377
"Jun 14, 2020",233742
"Jun 13, 2020",230139
"Jun 12, 2020",226669
"Jun 11, 2020",222247
"Jun 10, 2020",217689
"Jun 9, 2020",214468
"Jun 8, 2020",210749
"Jun 7, 2020",210202
"Jun 6, 2020",206853
"Jun 5, 2020",202606
"Jun 4, 2020",195894
"Jun 3, 2020",191572
"Jun 2, 2020",189969
"Jun 1, 2020",187965
"May 31, 2020",185980
"May 30, 2020",183562
"May 29, 2020",180152
"May 28, 2020",174011
"May 27, 2020",169960
"May 26, 2020",166263
"May 25, 2020",164619
"May 24, 2020",162925
"May 23, 2020",159260
"May 22, 2020",155801
"May 21, 2020",147511
"May 20, 2020",142729
"May 19, 2020",138697
"May 18, 2020",137242
"May 17, 2020",135137
"May 16, 2020",131429
"May 15, 2020",127237
"May 14, 2020",123258
"May 13, 2020",118500
"May 12, 2020",114719
"May 10, 2020",108257
"May 9, 2020",103258
"May 8, 2020",99058
"May 7, 2020",94036
"May 6, 2020",86743
"May 5, 2020",85557
"May 4, 2020",83958
"May 3, 2020",82010
"May 2, 2020",79551
"May 1, 2020",76331
"Apr 30, 2020",72951
"Apr 29, 2020",70300
"Apr 28, 2020",67172
"Apr 27, 2020",65625
"Apr 26, 2020",63505
"Apr 25, 2020",60801
"Apr 24, 2020",58251
"Apr 23, 2020",55390
"Apr 22, 2020",52702
"Apr 21, 2020",50052
"Apr 20, 2020",48057
"Apr 19, 2020",46353
"Apr 18, 2020",43901
"Apr 17, 2020",41590
"Apr 16, 2020",38489
"Apr 15, 2020",37326
"Apr 14, 2020",35825
"Apr 13, 2020",34819
"Apr 12, 2020",33532
"Apr 11, 2020",31961
"Apr 10, 2020",29948
"Apr 9, 2020",27826
"Apr 8, 2020",25748
"Apr 7, 2020",23746
"Apr 6, 2020",22282
"Apr 5, 2020",21250
"Apr 4, 2020",19424
"Apr 3, 2020",17769
"Apr 2, 2020",16401
"Apr 1, 2020",15208
"Mar 31, 2020",14146
"Mar 30, 2020",13301
"Mar 29, 2020",12148
"Mar 28, 2020",10303
"Mar 27, 2020",9275
"Mar 26, 2020",8005
"Mar 25, 2020",6817
"Mar 24, 2020",6113
"Mar 23, 2020",5515
"Mar 22, 2020",4445
"Mar 21, 2020",3477
"Mar 20, 2020",3007
"Mar 19, 2020",2322
"Mar 18, 2020",1803
"Mar 17, 2020",1587
"Mar 16, 2020",1470
"Mar 15, 2020",1236
"Mar 14, 2020",1014
"Mar 13, 2020",858
"Mar 12, 2020",730
"Mar 11, 2020",602
"Mar 10, 2020",531
"Mar 9, 2020",362
"Mar 8, 2020",362
"Mar 7, 2020",319
"Mar 6, 2020",269
"Mar 5, 2020",230
"Mar 4, 2020",230
