Month,Number of patients
"Jul 05, 2020",24
"Jul 04, 2020",26
"Jul 03, 2020",27
"Jul 02, 2020",29
"Jul 01, 2020",29
"Jun 30, 2020",32
"Jun 29, 2020",35
"Jun 28, 2020",30
"Jun 27, 2020",29
"Jun 26, 2020",31
"Jun 25, 2020",36
"Jun 24, 2020",33
"Jun 23, 2020",32
"Jun 22, 2020",37
"Jun 21, 2020",38
"Jun 20, 2020",39
"Jun 19, 2020",37
"Jun 18, 2020",38
"Jun 17, 2020",39
"Jun 16, 2020",60
"Jun 15, 2020",58
"Jun 14, 2020",55
"Jun 13, 2020",54
"Jun 12, 2020",63
"Jun 11, 2020",63
"Jun 10, 2020",71
"Jun 09, 2020",73
"Jun 08, 2020",79
"Jun 07, 2020",75
"Jun 06, 2020",81
"Jun 05, 2020",85
"Jun 04, 2020",97
"Jun 03, 2020",100
"Jun 02, 2020",99
"Jun 01, 2020",103
"May 31, 2020",98
"May 30, 2020",100
"May 29, 2020",106
"May 28, 2020",110
"May 27, 2020",107
"May 26, 2020",112
"May 25, 2020",116
"May 24, 2020",115
"May 23, 2020",118
"May 22, 2020",119
"May 21, 2020",122
"May 20, 2020",127
"May 19, 2020",141
"May 18, 2020",144
"May 17, 2020",133
"May 16, 2020",140
"May 15, 2020",137
"May 14, 2020",147
"May 13, 2020",164
"May 12, 2020",177
"May 11, 2020",198
"May 10, 2020",196
"May 09, 2020",194
"May 08, 2020",205
"May 07, 2020",199
"May 06, 2020",209
"May 05, 2020",228
"May 04, 2020",252
"May 03, 2020",243
"May 02, 2020",232
"May 01, 2020",249
"Apr 30, 2020",255
"Apr 29, 2020",267
"Apr 28, 2020",284
"Apr 27, 2020",310
"Apr 26, 2020",285
"Apr 25, 2020",290
"Apr 24, 2020",320
"Apr 23, 2020",319
"Apr 22, 2020",324
"Apr 21, 2020",335
"Apr 20, 2020",336
"Apr 19, 2020",319
"Apr 18, 2020",317
"Apr 17, 2020",350
"Apr 16, 2020",353
"Apr 15, 2020",362
"Apr 14, 2020",380
"Apr 13, 2020",388
"Apr 12, 2020",396
"Apr 11, 2020",408
"Apr 10, 2020",401
"Apr 09, 2020",433
"Apr 08, 2020",453
"Apr 07, 2020",472
"Apr 06, 2020",497
"Apr 05, 2020",498
"Apr 04, 2020",503
"Apr 03, 2020",516
"Apr 02, 2020",531
"Apr 01, 2020",535
"Mar 31, 2020",529
"Mar 30, 2020",533
"Mar 29, 2020",499
"Mar 28, 2020",459
"Mar 27, 2020",430
"Mar 26, 2020",386
"Mar 25, 2020",350
"Mar 24, 2020",301
"Mar 23, 2020",254
"Mar 22, 2020",232
"Mar 21, 2020",206
"Mar 20, 2020",186
"Mar 19, 2020",153
"Mar 18, 2020",129
"Mar 17, 2020",82
"Mar 16, 2020",62
"Mar 15, 2020",28
"Mar 14, 2020",23
"Mar 13, 2020",23
"Mar 12, 2020",19
