Month,"Number of unemployed people (in 1,000s)"
Nov 78,1435
Oct 78,1449
Sep 78,1455
Aug 78,1459
Jul 78,1459
Jun 78,1463
May 78,1466
Apr 78,1469
Mar 78,1474
Feb 78,1484
Jan 78,1493
Dec 77,1499
Nov 77,1502
Oct 77,1498
Sep 77,1493
Aug 77,1481
Jul 77,1467
Jun 77,1452
May 77,1441
Apr 77,1437
Mar 77,1436
Feb 77,1436
Jan 77,1435
Dec 76,1432
Nov 76,1431
Oct 76,1432
Sep 76,1430
Aug 76,1425
Jul 76,1419
Jun 76,1413
May 76,1405
Apr 76,1392
Mar 76,1379
Feb 76,1363
Jan 76,1343
Dec 75,1319
Nov 75,1286
Oct 75,1252
Sep 75,1221
Aug 75,1193
Jul 75,1162
Jun 75,1126
May 75,1089
Apr 75,1055
Mar 75,1029
Feb 75,1007
Jan 75,989
Dec 74,976
Nov 74,969
Oct 74,965
Sep 74,958
Aug 74,951
Jul 74,941
Jun 74,937
May 74,933
Apr 74,931
Mar 74,923
Feb 74,904
Jan 74,892
Dec 73,888
Nov 73,901
Oct 73,913
Sep 73,927
Aug 73,943
Jul 73,957
Jun 73,968
May 73,977
Apr 73,987
Mar 73,1002
Feb 73,1024
Jan 73,1049
Dec 72,1070
Nov 72,1085
Oct 72,1092
Sep 72,1100
Aug 72,1107
Jul 72,1122
Jun 72,1140
May 72,1155
Apr 72,1161
Mar 72,1155
Feb 72,1149
Jan 72,1143
Dec 71,1133
Nov 71,1113
Oct 71,1090
Sep 71,1076
Aug 71,1068
Jul 71,1062
Jun 71,1045
May 71,1023
Apr 71,998
Mar 71,980
