Month,"Number of people employed (in 1,000s)"
Jul 97,26050
Jun 97,26078
May 97,26020
Apr 97,26005
Mar 97,25960
Feb 97,25902
Jan 97,25836
Dec 96,25781
Nov 96,25757
Oct 96,25693
Sep 96,25640
Aug 96,25634
Jul 96,25584
Jun 96,25589
May 96,25582
Apr 96,25558
Mar 96,25555
Feb 96,25558
Jan 96,25562
Dec 95,25549
Nov 95,25454
Oct 95,25432
Sep 95,25413
Aug 95,25399
Jul 95,25347
Jun 95,25317
May 95,25288
Apr 95,25254
Mar 95,25220
Feb 95,25183
Jan 95,25136
Dec 94,25149
Nov 94,25147
Oct 94,25126
Sep 94,25128
Aug 94,25088
Jul 94,25086
Jun 94,25028
May 94,25030
Apr 94,25031
Mar 94,24997
Feb 94,24948
Jan 94,24903
Dec 93,24899
Nov 93,24900
Oct 93,24893
Sep 93,24893
Aug 93,24854
Jul 93,24872
Jun 93,24872
May 93,24860
Apr 93,24824
Mar 93,24847
Feb 93,24839
Jan 93,24869
Dec 92,24905
Nov 92,24963
Oct 92,25000
Sep 92,25051
Aug 92,25061
Jul 92,25071
Jun 92,25122
May 92,25158
Apr 92,25208
Mar 92,25243
Feb 92,25274
Jan 92,25315
Dec 91,25370
Nov 91,25430
Oct 91,25501
Sep 91,25572
Aug 91,25647
Jul 91,25723
Jun 91,25803
May 91,25897
Apr 91,25977
Mar 91,26056
Feb 91,26135
Jan 91,26199
Dec 90,26263
Nov 90,26317
Oct 90,26361
Sep 90,26405
Aug 90,26439
Jul 90,26448
Jun 90,26447
May 90,26434
Apr 90,26421
Mar 90,26411
Feb 90,26410
Jan 90,26400
Dec 89,26390
Nov 89,26365
Oct 89,26334
Sep 89,26309
Aug 89,26284
Jul 89,26269
Jun 89,26248
May 89,26225
Apr 89,26180
Mar 89,26117
Feb 89,26038
Jan 89,25965
Dec 88,25897
Nov 88,25838
Oct 88,25780
Sep 88,25722
Aug 88,25653
Jul 88,25595
Jun 88,25541
May 88,25484
Apr 88,25428
Mar 88,25368
Feb 88,25302
Jan 88,25232
Dec 87,25157
Nov 87,25081
Oct 87,25006
Sep 87,24936
Aug 87,24855
Jul 87,24780
Jun 87,24695
May 87,24622
Apr 87,24560
Mar 87,24516
Feb 87,24496
Jan 87,24472
Dec 86,24447
Nov 86,24423
Oct 86,24388
Sep 86,24369
Aug 86,24340
Jul 86,24310
Jun 86,24291
May 86,24280
Apr 86,24272
Mar 86,24262
Feb 86,24257
Jan 86,24247
Dec 85,24242
Nov 85,24235
Oct 85,24221
Sep 85,24201
Aug 85,24182
Jul 85,24162
Jun 85,24147
May 85,24125
Apr 85,24111
Mar 85,24084
Feb 85,24058
Jan 85,24031
Dec 84,24007
Nov 84,23972
Oct 84,23939
Sep 84,23901
Aug 84,23875
Jul 84,23849
Jun 84,23815
May 84,23777
Apr 84,23734
Mar 84,23693
Feb 84,23652
Jan 84,23608
Dec 83,23558
Nov 83,23505
Oct 83,23446
Sep 83,23376
Aug 83,23307
Jul 83,23243
Jun 83,23212
May 83,23187
Apr 83,23190
Mar 83,23206
Feb 83,23225
Jan 83,23256
Dec 82,23294
Nov 82,23338
Oct 82,23386
Sep 82,23430
Aug 82,23468
Jul 82,23510
Jun 82,23546
May 82,23581
Apr 82,23600
Mar 82,23624
Feb 82,23642
Jan 82,23672
Dec 81,23713
Nov 81,23758
Oct 81,23798
Sep 81,23842
Aug 81,23881
Jul 81,23920
Jun 81,23971
May 81,24022
Apr 81,24076
Mar 81,24135
Feb 81,24193
Jan 81,24257
Dec 80,24316
Nov 80,24385
Oct 80,24449
Sep 80,24518
Aug 80,24583
Jul 80,24629
Jun 80,24659
May 80,24687
Apr 80,24706
Mar 80,24730
Feb 80,24744
Jan 80,24756
Dec 79,24759
Nov 79,24754
Oct 79,24739
Sep 79,24726
Aug 79,24713
Jul 79,24694
Jun 79,24674
May 79,24655
Apr 79,24638
Mar 79,24637
Feb 79,24631
Jan 79,24618
Dec 78,24586
Nov 78,24551
Oct 78,24516
Sep 78,24488
Aug 78,24467
Jul 78,24453
Jun 78,24444
May 78,24439
Apr 78,24429
Mar 78,24418
Feb 78,24408
Jan 78,24393
Dec 77,24384
Nov 77,24381
Oct 77,24379
Sep 77,24381
Aug 77,24373
Jul 77,24371
Jun 77,24374
May 77,24377
Apr 77,24375
Mar 77,24378
Feb 77,24382
Jan 77,24374
Dec 76,24367
Nov 76,24359
Oct 76,24357
Sep 76,24355
Aug 76,24359
Jul 76,24359
Jun 76,24364
May 76,24373
Apr 76,24378
Mar 76,24395
Feb 76,24412
Jan 76,24429
Dec 75,24446
Nov 75,24463
Oct 75,24484
Sep 75,24496
Aug 75,24513
Jul 75,24524
Jun 75,24534
May 75,24544
Apr 75,24555
Mar 75,24576
Feb 75,24592
Jan 75,24613
Dec 74,24635
Nov 74,24644
Oct 74,24647
Sep 74,24636
Aug 74,24620
Jul 74,24592
Jun 74,24575
May 74,24564
Apr 74,24563
Mar 74,24563
Feb 74,24569
Jan 74,24575
Dec 73,24580
Nov 73,24573
Oct 73,24561
Sep 73,24554
Aug 73,24548
Jul 73,24552
Jun 73,24564
May 73,24565
Apr 73,24541
Mar 73,24488
Feb 73,24412
Jan 73,24346
Dec 72,24288
Nov 72,24253
Oct 72,24220
Sep 72,24192
Aug 72,24164
Jul 72,24154
Jun 72,24155
May 72,24158
Apr 72,24148
Mar 72,24115
Feb 72,24071
Jan 72,24032
Dec 71,24017
Nov 71,24015
Oct 71,24046
Sep 71,24085
Aug 71,24125
Jul 71,24153
Jun 71,24168
May 71,24171
Apr 71,24187
Mar 71,24219
