Month,Number of recoveries
"Aug 29 , 2020",207224
"Aug 28 , 2020",206902
"Aug 27 , 2020",206554
"Aug 26 , 2020",206329
"Aug 25 , 2020",206015
"Aug 24 , 2020",205662
"Aug 23 , 2020",205470
"Aug 22 , 2020",205203
"Aug 21 , 2020",204960
"Aug 20 , 2020",204686
"Aug 19 , 2020",204506
"Aug 18 , 2020",204142
"Aug 17, 2020",203968
"Aug 16, 2020",203786
"Aug 15, 2020",203540
"Aug 14, 2020",203326
"Aug 13, 2020",202923
"Aug 12, 2020",202697
"Aug 11, 2020",202461
"Aug 10, 2020",202248
"Aug 9, 2020",202098
"Aug 8, 2020",201947
"Aug 7, 2020",201642
"Aug 6, 2020",201323
"Aug 5, 2020",200976
"Aug 4, 2020",200766
"Aug 3, 2020",200589
"Aug 2 , 2020",200460
"Aug 1 , 2020",200229
"Jul 31 , 2020",199974
"Jul 30 , 2020",199796
"Jul 29 , 2020",199031
"Jul 28 , 2020",198756
"Jul 27 , 2020",198593
"Jul 26 , 2020",198466
"Jul 25 , 2020",198520
"Jul 24 , 2020",198192
"Jul 23 , 2020",197842
"Jul 22 , 2020",197628
"Jul 21 , 2020",197431
"Jul 20, 2020",197162
"Jul 19 , 2020",196949
"Jul 18 , 2020",196806
"Jul 17 , 2020",196483
"Jul 16 , 2020",196246
"Jul 15, 2020",196016
"Jul 14 , 2020",195441
"Jul 13 , 2020",195106
"Jul 12 , 2020",194928
"Jul 11 , 2020",194579
"Jul 10 , 2020",194273
"Jul 9 , 2020",193978
"Jul 8, 2020",193640
"Jul 7, 2020",192815
"Jul 6, 2020",192241
"Jul 5, 2020",192108
"Jul 4, 2020",191944
"Jul 3, 2020",191467
"Jul 2, 2020",191983
"Jul 1, 2020",190717
"Jun 30, 2020",190248
"Jun 29, 2020",189196
"Jun 28, 2020",188891
"Jun 27, 2020",188584
"Jun 26, 2020",187615
"Jun 25, 2020",186725
"Jun 24, 2020",186111
"Jun 23, 2020",184585
"Jun 22, 2020",183426
"Jun 21, 2020",182893
"Jun 20, 2020",182453
"Jun 19, 2020",181907
"Jun 18, 2020",180544
"Jun 17, 2020",179455
"Jun 16, 2020",178526
"Jun 15, 2020",177010
"Jun 14, 2020",176370
"Jun 13, 2020",174865
"Jun 12, 2020",173085
"Jun 11, 2020",171338
"Jun 10, 2020",169939
"Jun 9, 2020",168646
"Jun 8, 2020",166584
"Jun 7, 2020",165837
"Jun 6, 2020",165078
"Jun 5, 2020",163781
"Jun 4, 2020",161895
"Jun 3, 2020",160938
"Jun 2, 2020",160092
"Jun 1, 2020",158355
"May 31, 2020",157507
"May 30, 2020",155633
"May 29, 2020",152844
"May 28, 2020",150604
"May 27, 2020",147101
"May 26, 2020",144658
"May 25, 2020",141981
"May 24, 2020",140479
"May 23, 2020",138840
"May 22, 2020",136720
"May 21, 2020",134560
"May 20, 2020",132282
"May 19, 2020",129401
"May 18, 2020",127326
"May 17, 2020",125176
"May 16, 2020",122810
"May 15, 2020",120205
"May 14, 2020",115284
"May 13, 2020",112541
"May 12, 2020",109039
"May 11, 2020",106587
"May 10, 2020",105176
"May 9, 2020",103031
"May 8, 2020",99023
"May 7, 2020",96276
"May 6, 2020",93245
"May 5, 2020",85231
"May 4, 2020",82879
"May 3, 2020",81654
"May 2, 2020",79914
"May 1, 2020",78294
"Apr 30, 2020",75945
"Apr 29, 2020",71252
"Apr 28, 2020",68941
"Apr 27, 2020",66624
"Apr 26, 2020",64928
"Apr 25, 2020",63120
"Apr 24, 2020",60498
"Apr 23, 2020",57576
"Apr 22, 2020",54543
"Apr 21, 2020",51600
"Apr 20, 2020",48877
"Apr 19, 2020",47055
"Apr 18, 2020",44927
"Apr 17, 2020",42727
"Apr 16, 2020",40164
"Apr 15, 2020",38092
"Apr 14, 2020",37130
"Apr 13, 2020",35435
"Apr 12, 2020",34211
"Apr 11, 2020",32534
"Apr 10, 2020",30455
"Apr 9, 2020",28470
"Apr 8, 2020",26491
"Apr 7, 2020",24392
"Apr 6, 2020",22837
"Apr 5, 2020",21815
"Apr 4, 2020",20996
"Apr 3, 2020",19758
"Apr 2, 2020",18278
"Apr 1, 2020",16847
"Mar 31, 2020",15729
"Mar 30, 2020",14620
"Mar 29, 2020",13030
"Mar 28, 2020",12384
"Mar 27, 2020",10950
"Mar 26, 2020",10361
"Mar 25, 2020",9362
"Mar 24, 2020",8326
"Mar 23, 2020",7432
"Mar 22, 2020",7024
"Mar 21, 2020",6072
"Mar 20, 2020",5129
"Mar 19, 2020",4440
"Mar 18, 2020",4025
"Mar 17, 2020",2941
"Mar 16, 2020",2749
"Mar 15, 2020",2335
"Mar 14, 2020",1966
"Mar 13, 2020",1429
"Mar 12, 2020",1258
"Mar 11, 2020",1045
"Mar 10, 2020",1004
"Mar 9, 2020",724
"Mar 8, 2020",622
"Mar 7, 2020",589
"Mar 6, 2020",523
"Mar 5, 2020",414
"Mar 4, 2020",276
"Mar 3, 2020",160
"Mar 2, 2020",149
"Mar 1, 2020",46
"Feb 29, 2020",50
"Feb 28, 2020",45
"Feb 27, 2020",45
"Feb 26, 2020",3
"Feb 25, 2020",1
"Feb 24, 2020",1
