Month,Number of patients
Aug 7 '20,1595
Aug 6 '20,1479
Aug 5 '20,1350
Aug 4 '20,1234
Aug 3 '20,937
Aug 2 '20,1324
Aug 1 '20,1535
Jul 31 '20,1574
Jul 30 '20,1297
Jul 29 '20,1242
Jul 28 '20,968
Jul 27 '20,581
Jul 26 '20,830
Jul 25 '20,798
Jul 24 '20,766
Jul 23 '20,966
Jul 22 '20,792
Jul 21 '20,618
Jul 20 '20,407
Jul 19 '20,501
Jul 18 '20,655
Jul 17 '20,588
Jul 16 '20,619
Jul 15 '20,440
Jul 14 '20,327
Jul 13 '20,248
Jul 12 '20,391
Jul 11 '20,373
Jul 10 '20,420
Jul 9 '20,352
Jul 8 '20,203
Jul 7 '20,208
Jul 6 '20,172
Jul 5 '20,195
Jul 4 '20,268
Jul 3 '20,249
Jul 2 '20,194
Jul 1 '20,125
Jun 30 '20,132
Jun 29 '20,110
Jun 28 '20,111
Jun 27 '20,88
Jun 26 '20,99
Jun 25 '20,79
Jun 24 '20,89
Jun 23 '20,53
Jun 22 '20,40
Jun 21 '20,49
Jun 20 '20,65
Jun 19 '20,54
Jun 18 '20,68
Jun 17 '20,43
Jun 16 '20,42
Jun 15 '20,60
Jun 14 '20,62
Jun 13 '20,43
Jun 12 '20,57
Jun 11 '20,40
Jun 10 '20,36
Jun 9 '20,30
Jun 8 '20,22
Jun 7 '20,32
Jun 6 '20,45
Jun 5 '20,41
Jun 4 '20,45
Jun 3 '20,26
Jun 2 '20,51
Jun 1 '20,36
May 31 '20,32
May 30 '20,46
May 29 '20,64
May 28 '20,61
May 27 '20,37
May 26 '20,27
May 25 '20,20
May 24 '20,40
May 23 '20,29
May 22 '20,31
May 21 '20,43
May 20 '20,38
May 19 '20,31
May 18 '20,30
May 17 '20,30
May 16 '20,57
May 15 '20,52
May 14 '20,100
May 13 '20,54
May 12 '20,80
May 11 '20,50
May 10 '20,68
May 9 '20,108
May 8 '20,89
May 7 '20,96
May 6 '20,106
May 5 '20,120
May 4 '20,177
May 3 '20,204
May 2 '20,302
May 1 '20,266
Apr 30 '20,199
Apr 29 '20,227
Apr 28 '20,284
Apr 27 '20,189
Apr 26 '20,221
Apr 25 '20,374
Apr 24 '20,451
Apr 23 '20,445
Apr 22 '20,450
Apr 21 '20,374
Apr 20 '20,365
Apr 19 '20,372
Apr 18 '20,590
Apr 17 '20,253
Apr 16 '20,596
Apr 15 '20,511
Apr 14 '20,322
Apr 13 '20,333
Apr 12 '20,571
Apr 11 '20,676
Apr 10 '20,708
Apr 9 '20,572
Apr 8 '20,550
Apr 7 '20,377
Apr 6 '20,270
Apr 5 '20,386
Apr 4 '20,370
Apr 3 '20,337
Apr 2 '20,253
Apr 1 '20,224
Mar 31 '20,218
Mar 30 '20,74
Mar 29 '20,185
Mar 28 '20,194
Mar 27 '20,104
Mar 26 '20,96
Mar 25 '20,93
Mar 24 '20,65
Mar 23 '20,38
Mar 22 '20,42
Mar 21 '20,34
Mar 20 '20,53
Mar 19 '20,36
Mar 18 '20,39
Mar 17 '20,44
Mar 16 '20,15
Mar 15 '20,33
Mar 14 '20,62
Mar 13 '20,40
Mar 12 '20,55
Mar 11 '20,52
Mar 10 '20,54
Mar 9 '20,26
Mar 8 '20,33
Mar 7 '20,47
Mar 6 '20,59
Mar 5 '20,31
Mar 4 '20,33
Mar 3 '20,16
Mar 2 '20,14
Mar 1 '20,15
Feb 29 '20,9
Feb 28 '20,20
Feb 27 '20,24
Feb 26 '20,22
Feb 25 '20,8
Feb 24 '20,12
Feb 23 '20,12
Feb 22 '20,27
Feb 21 '20,11
Feb 20 '20,9
Feb 19 '20,10
Feb 18 '20,7
Feb 17 '20,7
Feb 16 '20,6
Feb 15 '20,12
Feb 14 '20,7
Feb 13 '20,4
