Month,Number of tests
"Sep 28, 2020",7065
"Sep 27, 2020",10073
"Sep 26, 2020",11782
"Sep 25, 2020",11116
"Sep 24, 2020",11945
"Sep 23, 2020",13461
"Sep 22, 2020",6010
"Sep 21, 2020",10022
"Sep 20, 2020",11877
"Sep 19, 2020",12504
"Sep 18, 2020",11546
"Sep 17, 2020",12381
"Sep 16, 2020",9827
"Sep 15, 2020",8653
"Sep 14, 2020",11314
"Sep 13, 2020",8834
"Sep 12, 2020",11841
"Sep 11, 2020",11637
"Sep 10, 2020",10104
"Sep 9, 2020",8335
"Sep 8, 2020",5722
"Sep 7, 2020",11424
"Sep 6, 2020",9765
"Sep 5, 2020",8097
"Sep 4, 2020",7091
"Sep 3, 2020",7516
"Sep 2, 2020",7589
"Sep 1, 2020",1792
"Aug 31, 2020",3880
"Aug 30, 2020",6380
"Aug 29, 2020",3245
"Aug 28, 2020",5846
"Aug 27, 2020",3732
"Aug 26, 2020",4625
"Aug 25, 2020",2181
"Aug 24, 2020",1480
"Aug 23, 2020",3352
"Aug 22, 2020",2968
"Aug 21, 2020",3700
"Aug 20, 2020",2479
"Aug 19, 2020",2324
"Aug 18, 2020",2923
"Aug 17, 2020",2998
"Aug 16, 2020",3142
"Aug 15, 2020",3189
"Aug 14, 2020",2897
"Aug 13, 2020",799
"Aug 12, 2020",1888
"Aug 11, 2020",2335
"Aug 10, 2020",2970
"Aug 9, 2020",2921
"Aug 8, 2020",2438
"Aug 7, 2020",1976
"Aug 6, 2020",1170
"Aug 5, 2020",1965
"Aug 4, 2020",2110
"Aug 3, 2020",3724
"Aug 2, 2020",2702
"Aug 1, 2020",3015
"Jul 31, 2020",3207
"Jul 30, 2020",1656
"Jul 29, 2020",2029
"Jul 28, 2020",2881
"Jul 27, 2020",3819
"Jul 26, 2020",3734
"Jul 25, 2020",3132
"Jul 24, 2020",2058
"Jul 23, 2020",860
"Jul 22, 2020",2224
"Jul 21, 2020",2713
"Jul 20, 2020",2384
"Jul 19, 2020",2117
"Jul 18, 2020",1447
"Jul 17, 2020",2827
"Jul 16, 2020",797
"Jul 15, 2020",1136
"Jul 14, 2020",1205
"Jul 13, 2020",1188
"Jul 12, 2020",2430
"Jul 11, 2020",909
"Jul 10, 2020",1710
"Jul 9, 2020",900
"Jul 8, 2020",493
"Jul 7, 2020",2082
"Jul 6, 2020",1880
"Jul 5, 2020",1938
"Jul 4, 2020",1940
"Jul 3, 2020",2805
"Jul 2, 2020",1048
"Jul 1, 2020",2703
"Jun 30, 2020",931
"Jun 29, 2020",3207
"Jun 28, 2020",1927
"Jun 27, 2020",3709
"Jun 26, 2020",2559
"Jun 25, 2020",746
"Jun 24, 2020",1789
"Jun 23, 2020",3226
"Jun 22, 2020",3709
"Jun 21, 2020",3793
"Jun 20, 2020",3459
"Jun 19, 2020",5311
"Jun 18, 2020",1451
"Jun 17, 2020",1635
"Jun 16, 2020",3603
"Jun 15, 2020",3470
"Jun 14, 2020",4422
"Jun 13, 2020",4558
"Jun 12, 2020",3221
"Jun 11, 2020",3719
"Jun 10, 2020",547
"Jun 9, 2020",3349
"Jun 8, 2020",4247
"Jun 7, 2020",6712
"Jun 6, 2020",4322
"Jun 5, 2020",1603
"Jun 4, 2020",2004
"Jun 3, 2020",1985
"Jun 2, 2020",1985
"Jun 1, 2020",2418
"May 31, 2020",3410
"May 30, 2020",6141
"May 29, 2020",4051
"May 28, 2020",3697
"May 27, 2020",1644
"May 26, 2020",1694
"May 25, 2020",3665
"May 24, 2020",3459
"May 23, 2020",8290
"May 22, 2020",4782
"May 21, 2020",4032
"May 20, 2020",1455
"May 19, 2020",2105
"May 18, 2020",3708
"May 17, 2020",4192
"May 16, 2020",3979
"May 15, 2020",4758
"May 14, 2020",3781
"May 13, 2020",2554
"May 12, 2020",3908
"May 11, 2020",4999
"May 10, 2020",4200
"May 9, 2020",4200
"May 8, 2020",5022
"May 7, 2020",7293
"May 6, 2020",1186
"May 5, 2020",1599
"May 4, 2020",1948
"May 3, 2020",2459
"May 2, 2020",3220
"May 1, 2020",3380
"Apr 30, 2020",2651
"Apr 29, 2020",3128
"Apr 28, 2020",1547
"Apr 27, 2020",2120
"Apr 26, 2020",2704
"Apr 25, 2020",2550
"Apr 24, 2020",2861
"Apr 23, 2020",2688
"Apr 22, 2020",2650
"Apr 21, 2020",1995
"Apr 20, 2020",1704
"Apr 19, 2020",2452
"Apr 18, 2020",2311
"Apr 17, 2020",3101
"Apr 16, 2020",1163
"Apr 15, 2020",1501
"Apr 14, 2020",1006
"Apr 13, 2020",1287
"Apr 12, 2020",1571
"Apr 11, 2020",2013
"Apr 10, 2020",2122
"Apr 9, 2020",2078
"Apr 8, 2020",2002
"Apr 7, 2020",1464
"Apr 6, 2020",1032
"Apr 5, 2020",1826
"Apr 4, 2020",1655
"Apr 3, 2020",1386
"Apr 2, 2020",1193
"Apr 1, 2020",1062
"Mar 31, 2020",845
"Mar 30, 2020",1153
"Mar 29, 2020",1845
"Mar 28, 2020",1028
"Mar 27, 2020",1270
"Mar 26, 2020",1188
"Mar 25, 2020",704
"Mar 24, 2020",598
"Mar 23, 2020",1072
"Mar 22, 2020",966
"Mar 21, 2020",470
"Mar 20, 2020",685
"Mar 19, 2020",519
"Mar 18, 2020",216
"Mar 17, 2020",117
"Mar 16, 2020",234
"Mar 15, 2020",222
"Mar 14, 2020",156
"Mar 13, 2020",128
"Mar 12, 2020",128
"Mar 11, 2020",71
"Mar 10, 2020",169
"Mar 8, 2020",43
"Mar 7, 2020",50
"Mar 6, 2020",39
"Mar 4, 2020",230
