Month,Number of tests
"Sep 8, 2020",1390
"Sep 7, 2020",1547
"Sep 6, 2020",1373
"Sep 5, 2020",1498
"Sep 4, 2020",1819
"Sep 3, 2020",1463
"Sep 2, 2020",1981
"Sep 1, 2020",1635
"Aug 31, 2020",1980
"Aug 30, 2020",1694
"Aug 29, 2020",1439
"Aug 28, 2020",1946
"Aug 27, 2020",1839
"Aug 26, 2020",2449
"Aug 25, 2020",2850
"Aug 24, 2020",2352
"Aug 23, 2020",1656
"Aug 22, 2020",1711
"Aug 21, 2020",2403
"Aug 20, 2020",3290
"Aug 19, 2020",2530
"Aug 18, 2020",3182
"Aug 17, 2020",2695
"Aug 16, 2020",2159
"Aug 15, 2020",3538
"Aug 14, 2020",3342
"Aug 13, 2020",2801
"Aug 12, 2020",3210
"Aug 11, 2020",3305
"Aug 10, 2020",3450
"Aug 9, 2020",3161
"Aug 8, 2020",2599
"Aug 7, 2020",3024
"Aug 6, 2020",3001
"Aug 5, 2020",2979
"Aug 4, 2020",1746
"Aug 3, 2020",3035
"Aug 2, 2020",3240
"Aug 1, 2020",3188
"Jul 31, 2020",2511
"Jul 30, 2020",2488
"Jul 29, 3030",1890
"Jul 28, 3030",1810
"Jul 27, 3030",1584
"Jul 26, 2020",1334
"Jul 25, 2020",1725
"Jul 24, 2020",1704
"Jul 23, 2020",1645
"Jul 22, 2020",2171
"Jul 21, 2020",877
"Jul 20, 2020",1634
"Jul 19, 2020",1229
"Jul 18, 2020",1450
"Jul 17, 2020",1649
"Jul 16, 2020",1167
"Jul 15, 2020",2055
"Jul 14, 2020",2170
"Jul 13, 2020",1964
"Jul 12, 2020",2149
"Jul 11, 2020",2103
"Jul 10, 2020",1467
"Jul 09, 2020",2300
"Jul 08, 2020",1472
"Jul 07, 2020",1909
"Jul 06, 2020",1504
"Jul 05, 2020",1964
"Jul 04, 2020",1951
"Jul 03, 2020",1887
"Jul 02, 2020",1944
"Jul 01, 2020",1003
"Jun 30, 2020",2041
"Jun 29, 2020",1880
"Jun 28, 2020",1615
"Jun 27, 2020",1140
"Jun 26, 2020",1273
"Jun 25, 2020",992
"Jun 24, 2020",558
"Jun 23, 2020",1499
"Jun 22, 2020",887
"Jun 21, 2020",779
"Jun 20, 2020",1025
"Jun 19, 2020",844
"Jun 18, 2020",741
"Jun 17, 2020",700
"Jun 16, 2020",1027
"Jun 15, 2020",876
"Jun 14, 2020",14
"Jun 13, 2020",60
"Jun 12, 2020",79
"Jun 11, 2020",69
"Jun 10, 2020",65
"Jun 09, 2020",41
"Jun 08, 2020",68
"Jun 07, 2020",7
"Jun 06, 2020",27
"Jun 05, 2020",538
"Jun 04, 2020",550
"Jun 03, 2020",325
"Jun 02, 2020",199
"Jun 01, 2020",18
"May 31, 2020",16
"May 30, 2020",97
"May 29, 2020",534
"May 28, 2020",350
"May 27, 2020",528
"May 26, 2020",526
"May 25, 2020",231
"May 24, 2020",12
"May 23, 2020",58
"May 22, 2020",491
"May 21, 2020",70
"May 20, 2020",597
"May 19, 2020",441
"May 18, 2020",305
"May 17, 2020",7
"May 16, 2020",133
"May 15, 2020",523
"May 14, 2020",593
"May 13, 2020",551
"May 12, 2020",284
"May 11, 2020",578
"May 10, 2020",18
"May 09, 2020",935
"May 08, 2020",515
"May 07, 2020",462
"May 06, 2020",620
"May 05, 2020",318
"May 04, 2020",868
"May 03, 2020",71
"May 02, 2020",404
"May 01, 2020",867
"Apr 30, 2020",722
"Apr 29, 2020",840
"Apr 28, 2020",508
"Apr 27, 2020",688
"Apr 26, 2020",25
"Apr 25, 2020",381
"Apr 24, 2020",685
"Apr 23, 2020",193
"Apr 22, 2020",625
"Apr 21, 2020",637
"Apr 20, 2020",688
"Apr 19, 2020",381
"Apr 18, 2020",1671
"Apr 17, 2020",1555
"Apr 16, 2020",1332
"Apr 15, 2020",818
"Apr 14, 2020",1047
"Apr 13, 2020",851
"Apr 12, 2020",235
"Apr 11, 2020",618
"Apr 10, 2020",510
"Apr 09, 2020",1502
"Apr 08, 2020",1676
"Apr 07, 2020",1955
"Apr 06, 2020",1112
"Apr 05, 2020",2486
"Apr 04, 2020",1754
"Apr 03, 2020",1445
"Apr 02, 2020",1265
"Apr 01, 2020",1414
"Mar 31, 2020",1612
"Mar 30, 2020",1420
"Mar 29, 2020",1000
"Mar 28, 2020",849
"Mar 27, 2020",1022
"Mar 26, 2020",998
"Mar 25, 2020",888
"Mar 24, 2020",967
"Mar 23, 2020",459
"Mar 22, 2020",183
"Mar 21, 2020",350
"Mar 20, 2020",579
"Mar 19, 2020",1311
"Mar 18, 2020",1828
"Mar 17, 2020",1400
"Mar 16, 2020",1707
"Mar 15, 2020",1075
"Mar 14, 2020",323
"Mar 13, 2020",357
"Mar 12, 2020",253
"Mar 11, 2020",149
"Mar 10, 2020",169
"Mar 09, 2020",98
"Mar 08, 2020",37
"Mar 07, 2020",58
"Mar 06, 2020",57
"Mar 05, 2020",62
"Mar 04, 2020",81
"Mar 03, 2020",45
"Mar 02, 2020",48
"Mar 01, 2020",22
"Feb 29, 2020",32
"Feb 28, 2020",13
"Feb 27, 2020",23
