Month,Number of users
"Sep 06, 2020",53364593
"Sep 05, 2020",53343526
"Sep 04, 2020",53307785
"Sep 03, 2020",53264938
"Sep 02, 2020",53236722
"Sep 01, 2020",53193624
"Aug 31, 2020",53172942
"Aug 30, 2020",53134626
"Aug 29, 2020",53092773
"Aug 28, 2020",53075277
"Aug 27, 2020",53033100
"Aug 26, 2020",53017708
"Aug 25, 2020",52980709
"Aug 24, 2020",52928509
"Aug 23, 2020",52905086
"Aug 22, 2020",52866757
"Aug 21, 2020",52845759
"Aug 20, 2020",52790178
"Aug 19, 2020",52748656
"Aug 18, 2020",52723143
"Aug 17, 2020",52679545
"Aug 16, 2020",52664855
"Aug 15, 2020",52602380
"Aug 14, 2020",52551477
"Aug 13, 2020",52532141
"Aug 12, 2020",52479010
"Aug 11, 2020",52443982
"Aug 10, 2020",52397682
"Aug 09, 2020",52353235
"Aug 08, 2020",52321780
"Aug 07, 2020",52281159
"Aug 06, 2020",52265582
"Aug 05, 2020",52217981
"Aug 04, 2020",52162047
"Aug 03, 2020",52135255
"Aug 02, 2020",52092347
"Aug 01, 2020",52071410
"Jul 31, 2020",52027242
"Jul 30, 2020",51961031
"Jul 29, 2020",51933930
"Jul 28, 2020",51874740
"Jul 27, 2020",51838178
"Jul 26, 2020",51769259
"Jul 25, 2020",51711047
"Jul 24, 2020",51682492
"Jul 23, 2020",51621718
"Jul 22, 2020",51592769
"Jul 21, 2020",51531460
"Jul 20, 2020",51479974
"Jul 19, 2020",51453168
"Jul 18, 2020",51412778
"Jul 17, 2020",51381463
"Jul 16, 2020",51328847
"Jul 15, 2020",51275890
"Jul 14, 2020",51249204
"Jul 13, 2020",51191262
"Jul 12, 2020",51162951
"Jul 11, 2020",51114667
"Jul 10, 2020",51072983
"Jul 09, 2020",51048695
"Jul 08, 2020",50985962
"Jul 07, 2020",50969947
"Jul 06, 2020",50922841
"Jul 05, 2020",50883886
"Jul 04, 2020",50849128
"Jul 03, 2020",50807793
"Jul 02, 2020",50790551
"Jul 01, 2020",50744373
"Jun 30, 2020",50681131
"Jun 29, 2020",50658095
"Jun 28, 2020",50611531
"Jun 27, 2020",50586619
"Jun 26, 2020",50544849
"Jun 25, 2020",50493134
"Jun 24, 2020",50472691
"Jun 23, 2020",50425787
"Jun 22, 2020",50408653
"Jun 21, 2020",50330643
"Jun 20, 2020",50285579
"Jun 19, 2020",50266762
"Jun 18, 2020",50229741
"Jun 17, 2020",50198891
"Jun 16, 2020",50152553
"Jun 15, 2020",50100072
"Jun 14, 2020",50074411
"Jun 13, 2020",50040130
"Jun 12, 2020",50019999
"Jun 11, 2020",49977636
"Jun 10, 2020",49927417
"Jun 09, 2020",49902586
"Jun 08, 2020",49861053
"Jun 07, 2020",49841267
"Jun 06, 2020",49793766
"Jun 05, 2020",49752400
"Jun 04, 2020",49727947
"Jun 03, 2020",49685422
"Jun 02, 2020",49670547
"Jun 01, 2020",49625835
"May 31, 2020",49592093
"May 30, 2020",49567665
"May 29, 2020",49534814
"May 28, 2020",49514712
"May 27, 2020",49477299
"May 26, 2020",49426707
"May 25, 2020",49399326
"May 24, 2020",49345089
"May 23, 2020",49324029
"May 22, 2020",49277711
"May 21, 2020",49212502
"May 20, 2020",49187869
"May 19, 2020",49137349
"May 18, 2020",49113120
"May 17, 2020",49049206
"May 16, 2020",48993306
"May 15, 2020",48958162
"May 14, 2020",48896393
"May 13, 2020",48863513
"May 12, 2020",48797754
"May 11, 2020",48729910
"May 10, 2020",48692339
"May 09, 2020",48596833
"May 08, 2020",48559037
"May 07, 2020",48457904
"May 06, 2020",48397755
"May 05, 2020",48373011
"May 04, 2020",48321491
"May 03, 2020",48305123
"May 02, 2020",48260410
"May 01, 2020",48204375
"Apr 30, 2020",48177765
"Apr 29, 2020",48126954
"Apr 28, 2020",48106471
"Apr 27, 2020",48066177
"Apr 26, 2020",48022351
"Apr 25, 2020",47999969
"Apr 24, 2020",47960512
"Apr 23, 2020",47940056
"Apr 22, 2020",47888302
"Apr 21, 2020",47848102
"Apr 20, 2020",47826032
"Apr 19, 2020",47784041
"Apr 18, 2020",47766528
"Apr 17, 2020",47718896
"Apr 16, 2020",47680568
"Apr 15, 2020",47658673
"Apr 14, 2020",47608982
"Apr 13, 2020",47599472
"Apr 12, 2020",47546055
"Apr 11, 2020",47507377
"Apr 10, 2020",47485935
"Apr 09, 2020",47442611
"Apr 08, 2020",47407422
"Apr 07, 2020",47363453
"Apr 06, 2020",47318103
"Apr 05, 2020",47299719
"Apr 04, 2020",47246268
"Apr 03, 2020",47229273
"Apr 02, 2020",47182415
"Apr 01, 2020",47141605
"Mar 31, 2020",47119552
"Mar 30, 2020",47079555
"Mar 29, 2020",47065538
"Mar 28, 2020",47018650
"Mar 27, 2020",46981608
"Mar 26, 2020",46960435
"Mar 25, 2020",46916457
"Mar 24, 2020",46891751
"Mar 23, 2020",46852372
"Mar 22, 2020",46807621
"Mar 21, 2020",46783958
"Mar 20, 2020",46734135
"Mar 19, 2020",46721606
"Mar 18, 2020",46687059
"Mar 17, 2020",46656942
"Mar 16, 2020",46627376
"Mar 15, 2020",46597964
"Mar 14, 2020",46585354
"Mar 13, 2020",46547238
"Mar 12, 2020",46501162
"Mar 11, 2020",46489183
"Mar 10, 2020",46459055
"Mar 09, 2020",46449125
"Mar 08, 2020",46419723
"Mar 07, 2020",46395508
"Mar 06, 2020",46380703
"Mar 05, 2020",46352991
"Mar 04, 2020",46341874
"Mar 03, 2020",46301596
"Mar 02, 2020",46278908
"Mar 01, 2020",46269405
"Feb 29, 2020",46244645
"Feb 28, 2020",46235497
"Feb 27, 2020",46192585
"Feb 26, 2020",46168931
"Feb 25, 2020",46153596
"Feb 24, 2020",46128902
"Feb 23, 2020",46109417
"Feb 22, 2020",46084962
"Feb 21, 2020",46058779
"Feb 20, 2020",46048457
"Feb 19, 2020",46008665
"Feb 18, 2020",45996296
"Feb 17, 2020",45966449
"Feb 16, 2020",45935320
"Feb 15, 2020",45923950
"Feb 14, 2020",45887470
"Feb 13, 2020",45871353
"Feb 12, 2020",45840572
"Feb 11, 2020",45811899
"Feb 10, 2020",45790139
"Feb 09, 2020",45758715
"Feb 08, 2020",45743857
"Feb 07, 2020",45717091
"Feb 06, 2020",45681753
"Feb 05, 2020",45666254
"Feb 04, 2020",45629234
"Feb 03, 2020",45615989
"Feb 02, 2020",45560812
"Feb 01, 2020",45515614
"Jan 30, 2020",45449711
"Jan 29, 2020",45424562
"Jan 28, 2020",45400163
"Jan 27, 2020",45382348
"Jan 26, 2020",45342388
"Jan 25, 2020",45330479
"Jan 24, 2020",45304737
"Jan 23, 2020",45277170
"Jan 21, 2020",45245218
"Jan 06, 2020",44818309
"Dec 22, 2019",44511642
"Dec 16, 2019",44366315
"Dec 15, 2019",44334112
"Dec 14, 2019",44284401
"Dec 13, 2019",44275601
"Dec 12, 2019",44215604
"Dec 11, 2019",44191771
"Dec 10, 2019",44156366
"Dec 09, 2019",44114786
"Dec 08, 2019",44090494
"Dec 07, 2019",44063902
"Dec 06, 2019",44046973
"Dec 05, 2019",44015479
"Dec 04, 2019",43969171
"Dec 03, 2019",43952690
"Dec 02, 2019",43916129
"Dec 01, 2019",43894096
"Nov 30, 2019",43868014
"Nov 29, 2019",43832183
"Nov 28, 2019",43814072
"Nov 27, 2019",43775853
"Nov 26, 2019",43757758
"Nov 25, 2019",43719529
"Nov 24, 2019",43691200
"Nov 23, 2019",43673397
"Nov 22, 2019",43629133
"Nov 21, 2019",43590972
"Nov 20, 2019",43540281
"Nov 19, 2019",43496329
"Nov 18, 2019",43469103
"Nov 17, 2019",43432543
"Nov 16, 2019",43405928
"Nov 15, 2019",43362660
"Nov 14, 2019",43340606
"Nov 13, 2019",43329451
"Nov 12, 2019",43290714
"Nov 11, 2019",43276453
"Nov 10, 2019",43255998
"Nov 09, 2019",43234112
"Nov 08, 2019",43223051
"Nov 07, 2019",43192066
"Nov 06, 2019",43171028
"Nov 05, 2019",43135749
"Nov 04, 2019",43113602
"Nov 03, 2019",43096329
"Nov 02, 2019",43079151
"Nov 01, 2019",43068083
"Oct 31, 2019",43041665
"Oct 30, 2019",43001793
"Oct 29, 2019",42988925
"Oct 28, 2019",42960046
"Oct 27, 2019",42930326
"Oct 26, 2019",42919695
"Oct 25, 2019",42883807
"Oct 24, 2019",42867855
"Oct 23, 2019",42840461
"Oct 22, 2019",42811391
"Oct 21, 2019",42782968
"Oct 20, 2019",42753917
"Oct 19, 2019",42744436
"Oct 18, 2019",42723564
"Oct 17, 2019",42696924
"Oct 16, 2019",42682592
"Oct 15, 2019",42657221
"Oct 14, 2019",42646165
"Oct 13, 2019",42620103
"Oct 12, 2019",42587356
"Oct 11, 2019",42573061
"Oct 10, 2019",42532981
"Oct 09, 2019",42517937
"Oct 08, 2019",42490195
"Oct 07, 2019",42459598
"Oct 06, 2019",42444892
"Oct 05, 2019",42426179
"Oct 04, 2019",42410916
"Oct 03, 2019",42383274
"Oct 02, 2019",42331656
"Oct 01, 2019",42324310
"Sep 30, 2019",42290501
"Sep 29, 2019",42277810
"Sep 28, 2019",42258154
"Sep 27, 2019",42232966
"Sep 26, 2019",42220428
"Sep 25, 2019",42192222
"Sep 24, 2019",42175142
"Sep 23, 2019",42152608
"Sep 22, 2019",42129293
"Sep 21, 2019",42115357
"Sep 20, 2019",42094530
"Sep 19, 2019",42083769
"Sep 18, 2019",42051065
"Sep 17, 2019",42022852
"Sep 16, 2019",42003731
"Sep 15, 2019",41975759
"Sep 14, 2019",41964046
"Sep 13, 2019",41941175
"Sep 12, 2019",41908663
"Sep 11, 2019",41889438
"Sep 10, 2019",41836598
"Sep 09, 2019",41824085
"Sep 08, 2019",41780635
"Sep 07, 2019",41761011
"Sep 06, 2019",41747915
"Sep 05, 2019",41716385
"Sep 04, 2019",41703335
"Sep 03, 2019",41668600
"Sep 02, 2019",41646706
"Sep 01, 2019",41634225
"Aug 31, 2019",41607742
"Aug 30, 2019",41592076
"Aug 29, 2019",41560675
"Aug 28, 2019",41537123
"Aug 27, 2019",41527053
"Aug 26, 2019",41494075
"Aug 25, 2019",41475558
"Aug 24, 2019",41446648
"Aug 23, 2019",41417686
"Aug 22, 2019",41398204
"Aug 21, 2019",41364598
"Aug 20, 2019",41350046
"Aug 19, 2019",41318338
"Aug 18, 2019",41293513
"Aug 17, 2019",41283032
"Aug 16, 2019",41259967
"Aug 15, 2019",41247827
"Aug 14, 2019",41223963
"Aug 13, 2019",41196100
"Aug 12, 2019",41183316
"Aug 11, 2019",41163965
"Aug 10, 2019",41154148
"Aug 09, 2019",41124397
"Aug 08, 2019",41102794
"Aug 07, 2019",41082395
"Aug 06, 2019",41046814
"Aug 05, 2019",41037416
"Aug 04, 2019",41004944
"Aug 03, 2019",40976607
"Aug 02, 2019",40962543
"Aug 01, 2019",40932463
"Jul 31, 2019",40912756
"Jul 30, 2019",40882285
"Jul 29, 2019",40845935
"Jul 28, 2019",40837155
"Jul 27, 2019",40798884
"Jul 26, 2019",40782340
"Jul 25, 2019",40757378
"Jul 24, 2019",40731162
"Jul 23, 2019",40701838
"Jul 22, 2019",40662060
"Jul 21, 2019",40649378
"Jul 20, 2019",40616475
"Jul 19, 2019",40565937
"Jul 18, 2019",40548548
"Jul 17, 2019",40510036
"Jul 16, 2019",40495727
"Jul 15, 2019",40468090
"Jul 14, 2019",40437295
"Jul 13, 2019",40416566
"Jul 12, 2019",40391193
"Jul 11, 2019",40376174
"Jul 10, 2019",40331604
"Jul 09, 2019",40291530
"Jul 08, 2019",40274329
"Jul 07, 2019",40248974
"Jul 06, 2019",40239382
"Jul 05, 2019",40211632
"Jul 04, 2019",40167671
"Jul 03, 2019",40147457
"Jul 02, 2019",40118376
"Jul 01, 2019",40102759
"Jun 30, 2019",40074020
"Jun 29, 2019",40043461
"Jun 28, 2019",40028293
"Jun 27, 2019",39976932
"Jun 26, 2019",39950040
"Jun 25, 2019",39905434
"Jun 24, 2019",39846905
"Jun 23, 2019",39828832
"Jun 22, 2019",39763959
"Jun 21, 2019",39736780
"Jun 20, 2019",39684115
"Jun 19, 2019",39612973
"Jun 18, 2019",39595836
"Jun 17, 2019",39542281
"Jun 16, 2019",39515478
"Jun 15, 2019",39484147
"Jun 14, 2019",39417837
"Jun 13, 2019",39393001
"Jun 12, 2019",39346519
"Jun 11, 2019",39320919
"Jun 10, 2019",39258189
"Jun 09, 2019",39228975
"Jun 08, 2019",39212746
"Jun 07, 2019",39167819
"Jun 06, 2019",39133717
"Jun 05, 2019",39088420
"Jun 04, 2019",39031297
"Jun 03, 2019",39002339
"Jun 02, 2019",38949291
"Jun 01, 2019",38919827
"May 31, 2019",38863173
"May 30, 2019",38799864
"May 29, 2019",38732673
"May 28, 2019",38653016
"May 27, 2019",38614230
"May 26, 2019",38546220
"May 25, 2019",38479143
"May 24, 2019",38435288
"May 23, 2019",38371156
"May 22, 2019",38331595
"May 21, 2019",38220876
"May 20, 2019",38139223
"May 19, 2019",38100124
"May 18, 2019",38021565
"May 17, 2019",37984542
"May 16, 2019",37897095
"May 15, 2019",37796874
"May 14, 2019",37737816
"May 13, 2019",37651694
"May 12, 2019",37606748
"May 11, 2019",37525865
"May 10, 2019",37453552
"May 09, 2019",37407949
"May 08, 2019",37290470
"May 07, 2019",37220274
"May 06, 2019",37102193
"May 05, 2019",36995377
"May 04, 2019",36928545
"May 03, 2019",36831277
"May 02, 2019",36772309
"May 01, 2019",36684160
"Apr 30, 2019",36566166
"Apr 29, 2019",36492141
"Apr 28, 2019",36382749
"Apr 27, 2019",36353202
"Apr 26, 2019",36206706
"Apr 25, 2019",36102750
"Apr 24, 2019",36036958
"Apr 23, 2019",35922952
"Apr 22, 2019",35874712
"Apr 21, 2019",35797760
"Apr 20, 2019",35741771
"Apr 19, 2019",35702989
"Apr 18, 2019",35615315
"Apr 17, 2019",35567392
"Apr 16, 2019",35517163
"Apr 15, 2019",35463346
"Apr 14, 2019",35442101
"Apr 13, 2019",35385785
"Apr 12, 2019",35360462
"Apr 11, 2019",35273143
"Apr 10, 2019",35179532
"Apr 09, 2019",35132330
"Apr 08, 2019",35018635
"Apr 07, 2019",34993614
"Apr 06, 2019",34947189
"Apr 05, 2019",34897352
"Apr 04, 2019",34880081
"Apr 03, 2019",34795309
"Apr 02, 2019",34742292
"Apr 01, 2019",34677285
"Mar 31, 2019",34648863
"Mar 30, 2019",34596866
"Mar 29, 2019",34555934
"Mar 28, 2019",34538449
"Mar 27, 2019",34501495
"Mar 26, 2019",34487434
"Mar 25, 2019",34446117
"Mar 24, 2019",34422472
"Mar 23, 2019",34414490
"Mar 22, 2019",34381875
"Mar 21, 2019",34369702
"Mar 20, 2019",34332751
"Mar 19, 2019",34302755
"Mar 18, 2019",34289076
"Mar 17, 2019",34228418
"Mar 16, 2019",34220643
"Mar 15, 2019",34193691
"Mar 14, 2019",34160884
"Mar 13, 2019",34147408
"Mar 12, 2019",34109774
"Mar 11, 2019",34093874
"Mar 10, 2019",34070536
"Mar 09, 2019",34039077
"Mar 08, 2019",34030077
"Mar 07, 2019",33983677
"Mar 06, 2019",33965310
"Mar 05, 2019",33935919
"Mar 04, 2019",33901620
"Mar 03, 2019",33895276
"Mar 02, 2019",33855840
"Mar 01, 2019",33819413
"Feb 28, 2019",33763329
"Feb 27, 2019",33685182
"Feb 26, 2019",33651665
"Feb 25, 2019",33598839
"Feb 24, 2019",33588036
"Feb 23, 2019",33544880
"Feb 22, 2019",33481781
"Feb 21, 2019",33436941
"Feb 20, 2019",33401216
"Feb 19, 2019",33382083
"Feb 18, 2019",33334229
"Feb 17, 2019",33302383
"Feb 16, 2019",33283619
"Feb 15, 2019",33253739
"Feb 14, 2019",33243904
"Feb 13, 2019",33202481
"Feb 12, 2019",33181316
"Feb 11, 2019",33157954
"Feb 10, 2019",33126439
"Feb 09, 2019",33113419
"Feb 08, 2019",33076705
"Feb 07, 2019",33032699
"Feb 06, 2019",33012933
"Feb 05, 2019",32982308
"Feb 04, 2019",32976665
"Feb 03, 2019",32938852
"Feb 02, 2019",32883937
"Feb 01, 2019",32865601
"Jan 31, 2019",32822187
"Jan 30, 2019",32808338
"Jan 29, 2019",32759063
"Jan 28, 2019",32721256
"Jan 27, 2019",32704263
"Jan 26, 2019",32664805
"Jan 25, 2019",32657809
"Jan 24, 2019",32619063
"Jan 23, 2019",32588796
"Jan 22, 2019",32573283
"Jan 21, 2019",32551555
"Jan 20, 2019",32527239
"Jan 19, 2019",32497585
"Jan 18, 2019",32469793
"Jan 17, 2019",32460799
"Jan 16, 2019",32378271
"Jan 15, 2019",32361063
"Jan 14, 2019",32325020
"Jan 13, 2019",32305283
"Jan 12, 2019",32274243
"Jan 11, 2019",32256440
"Jan 10, 2019",32237325
"Jan 09, 2019",32205068
"Jan 08, 2019",32178353
"Jan 07, 2019",32151304
"Jan 06, 2019",32131361
"Jan 05, 2019",32124379
"Jan 04, 2019",32050012
"Jan 03, 2019",31955907
"Jan 02, 2019",31931109
"Jan 01, 2019",31915864
"Dec 31, 2018",31906385
"Dec 30, 2018",31869983
"Dec 29, 2018",31842640
"Dec 28, 2018",31834894
"Dec 27, 2018",31810101
"Dec 26, 2018",31780906
"Dec 25, 2018",31753828
"Dec 24, 2018",31724753
"Dec 23, 2018",31710311
"Dec 22, 2018",31674618
"Dec 21, 2018",31658987
"Dec 20, 2018",31635631
"Dec 19, 2018",31611211
"Dec 18, 2018",31590097
"Dec 17, 2018",31553828
"Dec 16, 2018",31543382
"Dec 15, 2018",31506165
"Dec 14, 2018",31479846
"Dec 13, 2018",31470488
"Dec 12, 2018",31422703
"Dec 11, 2018",31405807
"Dec 10, 2018",31381899
"Dec 09, 2018",31363228
"Dec 08, 2018",31336330
"Dec 07, 2018",31302897
"Dec 06, 2018",31295678
"Dec 05, 2018",31262139
"Dec 04, 2018",31220187
"Dec 03, 2018",31206534
"Dec 02, 2018",31170693
"Dec 01, 2018",31156447
"Nov 30, 2018",31133195
"Nov 29, 2018",31094364
"Nov 28, 2018",31069280
"Nov 27, 2018",31019559
"Nov 26, 2018",30995269
"Nov 25, 2018",30936912
"Nov 24, 2018",30893557
"Nov 23, 2018",30875886
"Nov 22, 2018",30821283
"Nov 21, 2018",30793823
"Nov 20, 2018",30696672
"Nov 19, 2018",30638824
"Nov 18, 2018",30622107
"Nov 17, 2018",30571025
"Nov 16, 2018",30530642
"Nov 15, 2018",30456155
"Nov 14, 2018",30382233
"Nov 13, 2018",30361989
"Nov 12, 2018",30287594
"Nov 11, 2018",30252409
"Nov 10, 2018",30186893
"Nov 09, 2018",30123468
"Nov 08, 2018",30077554
"Nov 07, 2018",29973383
"Nov 06, 2018",29934993
"Nov 05, 2018",29897874
"Nov 04, 2018",29874133
"Nov 03, 2018",29858742
"Nov 02, 2018",29812097
"Nov 01, 2018",29790877
"Oct 31, 2018",29755726
"Oct 30, 2018",29714480
"Oct 29, 2018",29697548
"Oct 28, 2018",29669649
"Oct 27, 2018",29626751
"Oct 26, 2018",29603039
"Oct 25, 2018",29563282
"Oct 24, 2018",29550182
"Oct 23, 2018",29510311
"Oct 22, 2018",29474194
"Oct 21, 2018",29448174
"Oct 20, 2018",29413866
"Oct 19, 2018",29403288
"Oct 18, 2018",29353694
"Oct 17, 2018",29323774
"Oct 16, 2018",29302071
"Oct 15, 2018",29263528
"Oct 14, 2018",29250500
"Oct 13, 2018",29223051
"Oct 12, 2018",29189434
"Oct 11, 2018",29174757
"Oct 10, 2018",29135801
"Oct 09, 2018",29127362
"Oct 08, 2018",29098348
"Oct 07, 2018",29054029
"Oct 06, 2018",29035110
"Oct 05, 2018",28999266
"Oct 04, 2018",28985810
"Oct 03, 2018",28953426
"Oct 02, 2018",28923372
"Oct 01, 2018",28904902
"Sep 30, 2018",28869795
"Sep 29, 2018",28850285
"Sep 28, 2018",28821750
"Sep 27, 2018",28787814
"Sep 26, 2018",28757286
"Sep 25, 2018",28724040
"Sep 24, 2018",28709882
"Sep 23, 2018",28688022
"Sep 22, 2018",28651311
"Sep 21, 2018",28636779
"Sep 20, 2018",28606677
"Sep 19, 2018",28587322
"Sep 18, 2018",28547101
"Sep 17, 2018",28510991
"Sep 16, 2018",28493640
"Sep 15, 2018",28465338
"Sep 14, 2018",28445015
"Sep 13, 2018",28423952
"Sep 12, 2018",28389175
"Sep 11, 2018",28369956
"Sep 10, 2018",28347198
"Sep 09, 2018",28335693
"Sep 08, 2018",28300934
"Sep 07, 2018",28269613
"Sep 06, 2018",28254834
"Sep 05, 2018",28227517
"Sep 04, 2018",28204944
"Sep 03, 2018",28173304
"Sep 02, 2018",28138959
"Sep 01, 2018",28125272
"Aug 31, 2018",28093491
"Aug 30, 2018",28069963
"Aug 29, 2018",28042893
"Aug 28, 2018",28009857
"Aug 27, 2018",27992612
"Aug 26, 2018",27969117
"Aug 25, 2018",27953017
"Aug 24, 2018",27928102
"Aug 23, 2018",27899774
"Aug 22, 2018",27887945
"Aug 21, 2018",27862825
"Aug 20, 2018",27854758
"Aug 19, 2018",27811254
"Aug 18, 2018",27786902
"Aug 17, 2018",27772301
"Aug 16, 2018",27723977
"Aug 15, 2018",27707212
"Aug 14, 2018",27668860
"Aug 13, 2018",27628301
"Aug 12, 2018",27608109
"Aug 11, 2018",27550271
"Aug 10, 2018",27531582
"Aug 09, 2018",27435348
"Aug 08, 2018",27405577
"Aug 06, 2018",27274485
"Aug 01, 2018",27029819
"Jul 28, 2018",26821446
"Jul 24, 2018",26621015
"Jul 19, 2018",26402293
"Jul 15, 2018",26269542
"Jul 11, 2018",26143287
"Jul 07, 2018",26002911
"Jul 02, 2018",25817295
"Jun 28, 2018",25646590
"Jun 24, 2018",25528628
"Jun 20, 2018",25406196
"Jun 16, 2018",25330948
"Jun 11, 2018",25248022
"Jun 07, 2018",25170037
"Jun 02, 2018",25077722
"May 29, 2018",24987926
"May 25, 2018",24917053
"May 21, 2018",24840357
"May 16, 2018",24766914
"May 12, 2018",24695265
"May 07, 2018",24617482
"May 03, 2018",24533581
"Apr 25, 2018",24359095
"Apr 21, 2018",24282954
"Apr 16, 2018",24208592
"Apr 12, 2018",24134804
"Apr 08, 2018",24074017
"Apr 04, 2018",24003136
"Mar 30, 2018",23933319
"Mar 26, 2018",23855295
"Mar 22, 2018",23782053
"Mar 18, 2018",23708988
"Mar 13, 2018",23624840
"Mar 09, 2018",23541841
"Mar 05, 2018",23454702
"Feb 28, 2018",23360712
"Feb 24, 2018",23266988
"Feb 19, 2018",23173715
"Feb 15, 2018",23068639
"Feb 11, 2018",22983191
"Feb 07, 2018",22883357
"Feb 02, 2018",22775834
"Jan 29, 2018",22649022
"Jan 25, 2018",22518982
"Jan 21, 2018",22421059
"Jan 17, 2018",22258673
"Jan 13, 2018",22080990
"Jan 09, 2018",21915902
"Jan 05, 2018",21696080
"Dec 31, 2017",21506448
"Dec 27, 2017",21326723
"Dec 23, 2017",21127708
"Dec 19, 2017",20843609
"Dec 14, 2017",20538020
"Dec 10, 2017",20193317
"Dec 07, 2017",19859625
"Dec 03, 2017",19610796
"Nov 29, 2017",19336323
"Nov 25, 2017",19100508
"Nov 21, 2017",18948510
"Nov 17, 2017",18818280
"Nov 13, 2017",18685373
"Nov 09, 2017",18557651
"Nov 05, 2017",18390054
"Nov 01, 2017",18226988
"Oct 28, 2017",18059350
"Oct 24, 2017",17939646
"Oct 20, 2017",17785376
"Oct 15, 2017",17639093
"Oct 11, 2017",17497046
"Oct 08, 2017",17423034
"Oct 04, 2017",17332159
"Sep 30, 2017",17255044
"Sep 27, 2017",17191431
"Sep 24, 2017",17104249
"Sep 15, 2017",16896609
"Sep 12, 2017",16817240
"Sep 08, 2017",16710035
"Sep 04, 2017",16584713
"Aug 31, 2017",16461924
"Aug 26, 2017",16337365
"Aug 23, 2017",16253048
"Aug 19, 2017",16126574
"Aug 15, 2017",16003014
"Aug 10, 2017",15885221
"Aug 06, 2017",15783380
"Aug 01, 2017",15695040
"Jul 10, 2017",15198322
"Jul 05, 2017",15087440
"Jul 02, 2017",14992878
"Jun 27, 2017",14864429
"Jun 22, 2017",14759006
"Jun 15, 2017",14587846
