Month,Number of deaths
"Apr 10, 2020",16
"Apr 09, 2020",13
"Apr 08, 2020",15
"Apr 07, 2020",12
"Apr 06, 2020",17
"Apr 05, 2020",12
"Apr 04, 2020",15
"Apr 03, 2020",20
"Apr 02, 2020",18
"Apr 01, 2020",22
"Mar 31, 2020",15
"Mar 30, 2020",11
"Mar 29, 2020",8
"Mar 28, 2020",9
"Mar 27, 2020",12
"Mar 26, 2020",12
"Mar 25, 2020",6
"Mar 24, 2020",6
"Mar 23, 2020",6
"Mar 22, 2020",3
"Mar 21, 2020",3
"Mar 20, 2020",4
"Mar 19, 2020",5
"Mar 18, 2020",4
"Mar 17, 2020",1
"Mar 16, 2020",1
"Mar 15, 2020",2
"Mar 14, 2020",1
"Mar 13, 2020",0
"Mar 12, 2020",0
"Mar 11, 2020",1
