Year,2019-valued British pounds
1652,210.43
1651,189.33
1650,183.03
1649,176.85
1648,172.93
1647,189.71
1646,222.67
1645,233.43
1644,237.67
1643,233.19
1642,238.4
1641,226.03
1640,246.37
1639,231.19
1638,209.0
1637,217.2
1636,219.73
1635,225.36
1634,226.52
1633,229.86
1632,225.65
1631,206.75
1630,223.1
1629,261.01
1628,272.18
1627,269.21
1626,247.05
1625,246.99
1624,256.42
1623,246.84
1622,240.25
1621,273.66
1620,290.13
1619,272.24
1618,251.53
1617,251.17
1616,256.12
1615,260.23
1614,252.58
1613,248.94
1612,262.9
1611,276.42
1610,284.69
1609,251.66
1608,255.86
1607,296.93
1606,303.3
1605,305.97
1604,326.74
1603,332.86
1602,315.8
1601,305.14
1600,307.35
1599,318.53
1598,259.85
1597,235.44
1596,270.44
1595,286.59
1594,320.21
1593,369.25
1592,387.33
1591,347.41
1590,343.19
1589,386.99
1588,403.2
1587,336.22
1586,335.89
1585,398.49
1584,424.19
1583,423.12
1582,402.54
1581,399.58
1580,459.67
1579,430.66
1578,431.31
1577,399.53
1576,433.43
1575,441.3
1574,383.83
1573,447.67
1572,470.64
1571,518.61
1570,499.0
1569,489.27
1568,531.01
1567,534.02
1566,495.67
1565,512.7
1564,436.73
1563,453.4
1562,470.99
1561,470.0
1560,515.27
1559,536.93
1558,576.8
1557,396.91
1556,424.56
1555,516.53
1554,617.27
1553,607.83
1552,549.15
1551,487.15
1550,538.3
1549,683.93
1548,855.36
1547,842.84
1546,624.13
1545,673.94
1544,765.62
1543,817.96
1542,884.59
1541,856.44
1540,931.89
1539,977.76
1538,935.53
1537,821.51
1536,831.98
1535,864.54
1534,977.98
1533,862.4
1532,847.76
1531,862.23
1530,876.62
1529,877.36
1528,707.61
1527,992.55
1526,1120.38
1525,1098.92
1524,1000.31
1523,964.15
1522,959.63
1521,858.29
1520,916.09
1519,1038.36
1518,1040.66
1517,1162.03
1516,1012.35
1515,1090.58
1514,1091.29
1513,944.87
1512,1114.9
1511,1266.54
1510,1302.89
1509,1353.08
1508,1136.05
1507,1130.47
1506,1174.79
1505,1138.08
1504,1051.87
1503,1073.32
1502,999.85
1501,1038.75
1500,1226.05
1499,1154.17
1498,1178.63
1497,1101.61
1496,1334.39
1495,1223.66
1494,1192.93
1493,1191.84
1492,1101.47
1491,1068.86
1490,1133.84
1489,1119.36
1488,1141.99
1487,1112.2
1486,1160.4
1485,1153.51
1484,1013.69
1483,902.76
1482,1011.62
1481,1150.21
1480,1162.02
1479,1078.8
1478,1087.28
1477,1173.25
1476,1185.41
1475,1251.04
1474,1256.89
1473,1253.43
1472,1134.55
1471,1096.63
1470,1101.42
1469,1130.54
1468,1112.92
1467,1163.41
1466,1222.94
1465,1249.85
1464,1382.26
1463,1286.7
1462,1024.35
1461,1029.78
1460,1157.55
1459,1144.27
1458,1128.31
1457,1199.61
1456,1216.9
1455,1287.61
1454,1216.22
1453,1166.91
1452,1136.51
1451,1155.42
1450,1199.69
1449,1172.15
1448,1217.54
1447,1120.68
1446,1160.26
1445,1335.79
1444,1271.51
1443,1255.53
1442,1276.13
1441,1325.26
1440,1002.12
1439,834.29
1438,876.73
1437,1147.37
1436,1122.09
1435,1198.76
1434,1142.16
1433,1034.79
1432,1255.66
1431,1113.37
1430,993.5
1429,986.77
1428,1232.78
1427,1252.44
1426,1197.82
1425,1150.44
1424,1240.76
1423,1251.61
1422,1158.91
1421,1102.43
1420,1190.46
1419,1054.17
1418,1110.62
1417,965.5
1416,1051.83
1415,1182.28
1414,1196.52
1413,1161.23
1412,1167.51
1411,1080.17
1410,930.81
1409,1011.55
1408,1094.61
1407,1198.35
1406,1286.74
1405,1201.21
1404,1180.28
1403,1044.64
1402,922.01
1401,1037.16
1400,1109.25
1399,1139.22
1398,1085.9
1397,1062.36
1396,1247.97
1395,1256.93
1394,1295.73
1393,1336.17
1392,1157.05
1391,938.43
1390,1100.24
1389,1403.72
1388,1309.55
1387,1215.21
1386,1133.04
1385,1200.33
1384,1152.96
1383,1162.26
1382,1149.87
1381,1058.99
1380,1074.01
1379,1290.02
1378,1231.8
1377,1156.09
1376,903.89
1375,889.71
1374,1052.14
1373,922.18
1372,1011.52
1371,920.96
1370,681.05
1369,950.15
1368,948.85
1367,1037.79
1366,1059.19
1365,970.28
1364,883.39
1363,944.1
1362,1092.77
1361,1045.15
1360,1038.74
1359,1047.53
1358,990.42
1357,1001.02
1356,1035.1
1355,1086.7
1354,1133.51
1353,1073.88
1352,848.07
1351,965.51
1350,1150.1
1349,1375.46
1348,1094.41
1347,1092.11
1346,1338.64
1345,1407.87
1344,1243.92
1343,1390.92
1342,1358.91
1341,1422.63
1340,1212.72
1339,1579.81
1338,1446.55
1337,1306.67
1336,1223.62
1335,1279.78
1334,1269.39
1333,1196.76
1332,988.14
1331,1007.23
1330,1083.68
1329,1089.72
1328,1205.78
1327,1318.49
1326,1142.89
1325,969.51
1324,1044.55
1323,892.26
1322,768.19
1321,1035.93
1320,1108.95
1319,1247.5
1318,936.74
1317,696.72
1316,708.3
1315,1002.85
1314,1072.2
1313,1164.07
1312,1135.35
1311,927.8
1310,935.98
1309,986.63
1308,1142.01
1307,1269.99
1306,1213.21
1305,1229.33
1304,1372.39
1303,1315.35
1302,1243.86
1301,1187.35
1300,1119.42
1299,1147.38
1298,1146.39
1297,1238.76
1296,1067.29
1295,1012.89
1294,1057.3
1293,1232.04
1292,1237.5
1291,1157.09
1290,1355.22
1289,1577.04
1288,1705.0
1287,1395.71
1286,1256.07
1285,1357.76
1284,1139.89
1283,1147.91
1282,1105.47
1281,1277.22
1280,1192.69
1279,1350.08
1278,1246.84
1277,1078.81
1276,1221.9
1275,1089.75
1274,1065.82
1273,1210.64
1272,1004.61
1271,1055.46
1270,1330.79
1269,1303.0
1268,1554.19
1267,1327.81
1266,1425.39
1265,1434.16
1264,1486.53
1263,1512.98
1262,1360.28
1261,1378.6
1260,1461.37
1259,1303.2
1258,1244.26
1257,1223.5
1256,1418.21
1255,1805.83
1254,1855.79
1253,1417.82
1252,1629.77
1251,1675.72
1250,1564.38
1249,1712.3
1248,1266.08
1247,1250.07
1246,1654.61
1245,1905.25
1244,1851.14
1243,1798.56
1242,1747.48
1241,1697.84
1240,1649.62
1239,1602.77
1238,1557.24
1237,1513.01
1236,1667.87
1235,1620.4
1234,1634.11
1233,1647.94
1232,1549.58
1231,1521.49
1230,1493.91
1229,1466.83
1228,1440.23
1227,1414.12
1226,1414.31
1225,1279.04
1224,1914.17
1223,2111.84
1222,1783.17
1221,1505.66
1220,1685.7
1219,1472.1
1218,1426.01
1217,1663.0
1216,1925.4
1215,2047.53
1214,2177.4
1213,2104.04
1212,2033.14
1211,1782.57
1210,2000.43
1209,2051.99
