Month,Number of patients
"Sep 8, 2020",3
"Sep 7, 2020",4
"Sep 6, 2020",2
"Sep 5, 2020",0
"Sep 4, 2020",2
"Sep 3, 2020",2
"Sep 2, 2020",2
"Sep 1, 2020",1
"Aug 31, 2020",1
"Aug 30, 2020",0
"Aug 29, 2020",1
"Aug 28, 2020",2
"Aug 27, 2020",3
"Aug 26, 2020",2
"Aug 25, 2020",1
"Aug 24, 2020",3
"Aug 23, 2020",1
"Aug 22, 2020",2
"Aug 21, 2020",3
"Aug 20, 2020",3
"Aug 19, 2020",1
"Aug 18, 2020",1
"Aug 17, 2020",1
"Aug 16, 2020",2
"Aug 15, 2020",3
"Aug 14, 2020",1
"Aug 13, 2020",0
"Aug 12, 2020",0
"Aug 11, 2020",1
"Aug 10, 2020",3
"Aug 9, 2020",2
"Aug 8, 2020",3
"Aug 7, 2020",1
"Aug 6, 2020",1
"Aug 5, 2020",5
"Aug 4, 2020",1
"Aug 3, 2020",2
"Aug 2, 2020",1
"Aug 1, 2020",1
"Jul 31, 2020",5
"Jul 30, 2020",2
"Jul 29, 2020",0
"Jul 28, 2020",0
"Jul 27, 2020",1
"Jul 26, 2020",1
"Jul 25, 2020",0
"Jul 24, 2020",2
"Jul 23, 2020",0
"Jul 22, 2020",0
"Jul 21, 2020",0
"Jul 20, 2020",0
"Jul 19, 2020",0
"Jul 18, 2020",2
"Jul 17, 2020",1
"Jul 16, 2020",2
"Jul 15, 2020",1
"Jul 14, 2020",0
"Jul 13, 2020",2
"Jul 12, 2020",0
"Jul 11, 2020",1
"Jul 10, 2020",0
"Jul 09, 2020",0
"Jul 08, 2020",1
"Jul 07, 2020",0
"Jul 06, 2020",0
"Jul 05, 2020",1
"Jul 04, 2020",0
"Jul 03, 2020",1
"Jul 02, 2020",2
"Jul 01, 2020",0
"Jun 30, 2020",2
"Jun 29, 2020",0
"Jun 28, 2020",2
"Jun 27, 2020",2
"Jun 26, 2020",3
"Jun 25, 2020",1
"Jun 24, 2020",2
"Jun 23, 2020",1
"Jun 22, 2020",2
"Jun 21, 2020",0
"Jun 20, 2020",0
"Jun 19, 2020",1
"Jun 18, 2020",1
"Jun 17, 2020",3
"Jun 16, 2020",1
"Jun 15, 2020",1
"Jun 14, 2020",1
"Jun 13, 2020",0
"Jun 12, 2020",1
"Jun 11, 2020",2
"Jun 10, 2020",1
"Jun 09, 2020",2
"Jun 08, 2020",1
"Jun 07, 2020",0
"Jun 06, 2020",0
"Jun 05, 2020",1
"Jun 04, 2020",0
"Jun 03, 2020",0
"Jun 02, 2020",0
"Jun 01, 2020",1
"May 31, 2020",2
"May 30, 2020",0
"May 29, 2020",1
"May 28, 2020",2
"May 27, 2020",4
"May 26, 2020",1
"May 25, 2020",0
"May 24, 2020",0
"May 23, 2020",0
"May 22, 2020",1
"May 21, 2020",2
"May 20, 2020",1
"May 19, 2020",1
"May 18, 2020",4
"May 17, 2020",0
"May 16, 2020",0
"May 15, 2020",0
"May 14, 2020",2
"May 13, 2020",3
"May 12, 2020",3
"May 11, 2020",2
"May 10, 2020",1
"May 09, 2020",1
"May 08, 2020",2
"May 07, 2020",2
"May 06, 2020",4
"May 05, 2020",3
"May 04, 2020",2
"May 03, 2020",1
"May 02, 2020",2
"May 01, 2020",2
"Apr 30, 2020",2
"Apr 29, 2020",0
"Apr 28, 2020",7
"Apr 27, 2020",2
"Apr 26, 2020",6
"Apr 25, 2020",4
"Apr 24, 2020",8
"Apr 23, 2020",5
"Apr 22, 2020",8
"Apr 21, 2020",4
"Apr 20, 2020",5
"Apr 19, 2020",5
"Apr 18, 2020",9
"Apr 17, 2020",15
"Apr 16, 2020",4
"Apr 15, 2020",12
"Apr 14, 2020",11
"Apr 13, 2020",10
"Apr 12, 2020",9
"Apr 11, 2020",11
"Apr 10, 2020",6
"Apr 09, 2020",10
"Apr 08, 2020",22
"Apr 07, 2020",14
"Apr 06, 2020",19
"Apr 05, 2020",14
"Apr 04, 2020",27
"Apr 03, 2020",22
"Apr 02, 2020",37
"Apr 01, 2020",27
"Mar 31, 2020",38
"Mar 30, 2020",33
"Mar 29, 2020",24
"Mar 28, 2020",31
"Mar 27, 2020",35
"Mar 26, 2020",43
"Mar 25, 2020",57
"Mar 24, 2020",42
"Mar 23, 2020",37
"Mar 22, 2020",27
"Mar 21, 2020",23
"Mar 20, 2020",28
"Mar 19, 2020",30
"Mar 18, 2020",23
"Mar 17, 2020",13
"Mar 16, 2020",17
"Mar 15, 2020",8
"Mar 14, 2020",10
"Mar 13, 2020",7
"Mar 12, 2020",3
"Mar 11, 2020",5
"Mar 10, 2020",7
"Mar 09, 2020",3
