Year,Number of cumulative cases
8/31/20,5899504
8/30/20,5855521
8/29/20,5811519
8/28/20,5765325
8/27/20,5719841
8/26/20,5682811
8/25/20,5649928
8/24/20,5612163
8/23/20,5567217
8/22/20,5521257
8/21/20,5477305
8/20/20,5431046
8/19/20,5393138
8/18/20,5354013
8/17/20,5312940
8/16/20,5258565
8/15/20,5203206
8/14/20,5150407
8/13/20,5094500
8/12/20,5039709
8/11/20,4999815
8/10/20,4951851
8/9/20,4897958
8/8/20,4836930
8/7/20,4781612
8/6/20,4728239
8/5/20,4678610
8/4/20,4629459
8/3/20,4582276
8/2/20,4523888
8/1/20,4456389
7/31/20,4388566
7/30/20,4323160
7/29/20,4263531
7/28/20,4209509
7/27/20,4148011
7/26/20,4084043
7/25/20,4009808
7/24/20,3938094
7/23/20,3868453
7/22/20,3805524
7/21/20,3748248
7/20/20,3685460
7/19/20,3618497
7/18/20,3544143
7/17/20,3472659
7/16/20,3405494
7/15/20,3344783
7/14/20,3286063
7/13/20,3225950
7/12/20,3163581
7/11/20,3097300
7/10/20,3038325
7/9/20,2973695
7/8/20,2923432
7/7/20,2877238
7/6/20,2833552
7/5/20,2776366
7/4/20,2724433
7/3/20,2671220
7/2/20,2616949
7/1/20,2573393
6/30/20,2537636
6/29/20,2496628
6/28/20,2452048
6/27/20,2407590
6/26/20,2367064
6/25/20,2329463
6/24/20,2295272
6/23/20,2268753
6/22/20,2241178
6/21/20,2208829
6/20/20,2172212
6/19/20,2149166
6/18/20,2126027
6/17/20,2098106
6/16/20,2079592
6/15/20,2057838
6/14/20,2032524
6/13/20,2010391
6/12/20,1988646
6/11/20,1968331
6/10/20,1951096
6/9/20,1933560
6/8/20,1915712
6/7/20,1886794
6/6/20,1857872
6/5/20,1837803
6/4/20,1823220
6/3/20,1798330
6/2/20,1783638
6/1/20,1757522
5/31/20,1734040
5/30/20,1716078
5/29/20,1694864
5/28/20,1675258
5/27/20,1658896
5/26/20,1634010
5/25/20,1618757
5/24/20,1592599
5/23/20,1568448
5/22/20,1547973
5/21/20,1525186
5/20/20,1501876
5/19/20,1477459
5/18/20,1464232
5/17/20,1432265
5/16/20,1409452
5/15/20,1382362
5/14/20,1361522
5/13/20,1340098
5/12/20,1322054
5/11/20,1298287
5/10/20,1271645
5/9/20,1245775
5/8/20,1215571
5/7/20,1193452
5/6/20,1171185
5/5/20,1154985
5/4/20,1125719
5/3/20,1093880
5/2/20,1067127
5/1/20,1035353
4/30/20,1003974
4/29/20,983457
4/28/20,960916
4/27/20,931698
4/26/20,899281
4/25/20,860772
4/24/20,830053
4/23/20,800926
4/22/20,776907
4/21/20,751273
4/20/20,723605
4/19/20,695353
4/18/20,665330
4/17/20,632781
4/16/20,604070
4/15/20,578268
4/14/20,553822
4/13/20,524514
4/12/20,492881
4/11/20,461275
4/10/20,425889
4/9/20,395030
4/8/20,363321
4/7/20,333811
4/6/20,307318
4/5/20,273808
4/4/20,241703
4/3/20,213600
4/2/20,187302
4/1/20,163199
3/31/20,140640
3/30/20,122653
3/29/20,103321
3/28/20,85228
3/27/20,68334
3/26/20,68334
3/25/20,51914
3/24/20,51914
3/23/20,31573
3/22/20,15219
3/21/20,15219
3/20/20,15219
3/19/20,10442
3/18/20,7091
3/17/20,3540
3/16/20,1718
3/15/20,1718
3/14/20,1682
3/13/20,1268
3/12/20,991
3/11/20,700
3/10/20,700
3/9/20,476
3/8/20,217
3/7/20,217
3/6/20,217
3/5/20,133
3/4/20,133
3/3/20,112
3/2/20,68
3/1/20,66
2/29/20,66
2/28/20,66
2/27/20,63
2/26/20,63
2/25/20,57
2/24/20,57
2/23/20,39
2/22/20,39
2/21/20,38
2/20/20,19
2/19/20,19
2/18/20,19
2/17/20,19
2/16/20,19
2/15/20,19
2/14/20,19
2/13/20,19
2/12/20,17
2/11/20,17
2/10/20,16
2/9/20,16
2/8/20,16
2/7/20,16
2/6/20,16
2/5/20,15
2/4/20,15
2/3/20,15
2/2/20,12
2/1/20,12
1/31/20,11
1/30/20,10
1/29/20,9
1/28/20,9
1/27/20,9
1/26/20,9
1/25/20,6
1/24/20,6
1/23/20,5
1/22/20,5
1/21/20,5
1/20/20,5
