Year,Number of new cases
8/17/20,207879
8/16/20,216194
8/15/20,247320
8/14/20,303019
8/13/20,289706
8/12/20,277258
8/11/20,256499
8/10/20,227011
8/9/20,225393
8/8/20,258488
8/7/20,281429
8/6/20,285202
8/5/20,276523
8/4/20,256324
8/3/20,205695
8/2/20,231551
8/1/20,248926
7/31/20,290985
7/30/20,280432
7/29/20,291487
7/28/20,251958
7/27/20,225819
7/26/20,212973
7/25/20,254389
7/24/20,281211
7/23/20,282930
7/22/20,281278
7/21/20,233110
7/20/20,206392
7/19/20,213739
7/18/20,236350
7/17/20,242376
7/16/20,252118
7/15/20,231473
7/14/20,221733
7/13/20,190857
7/12/20,192586
7/11/20,217524
7/10/20,232582
7/9/20,227004
7/8/20,213780
7/7/20,211417
7/6/20,164498
7/5/20,183242
7/4/20,194008
7/3/20,201623
7/2/20,208923
7/1/20,217467
6/30/20,173973
6/29/20,154477
6/28/20,163462
6/27/20,177637
6/26/20,191300
6/25/20,178581
6/24/20,171061
6/23/20,165882
6/22/20,138342
6/21/20,128039
6/20/20,156638
6/19/20,179789
6/18/20,140334
6/17/20,143162
6/16/20,141921
6/15/20,119444
6/14/20,132476
6/13/20,135167
6/12/20,128648
6/11/20,137876
6/10/20,134895
6/9/20,124778
6/8/20,102590
6/7/20,111972
6/6/20,134124
6/5/20,131356
6/4/20,130728
6/3/20,114295
6/2/20,121418
6/1/20,95685
5/31/20,106622
5/30/20,136956
5/29/20,121091
5/28/20,118905
5/27/20,102792
5/26/20,93630
5/25/20,86839
5/24/20,94168
5/23/20,105081
5/22/20,106536
5/21/20,106600
5/20/20,101731
5/19/20,96781
5/18/20,89041
5/17/20,77842
5/16/20,94725
5/15/20,95750
5/14/20,96388
5/13/20,84888
5/12/20,84118
5/11/20,76931
5/10/20,75292
5/9/20,84790
5/8/20,90335
5/7/20,88778
5/6/20,89880
5/5/20,80348
5/4/20,77604
5/3/20,76545
5/2/20,79291
5/1/20,88266
4/30/20,83529
4/29/20,77036
4/28/20,75306
4/27/20,70039
4/26/20,71705
4/25/20,82267
4/24/20,84088
4/23/20,84354
4/22/20,81021
4/21/20,75613
4/20/20,75949
4/19/20,76693
4/18/20,77353
4/17/20,87712
4/16/20,95578
4/15/20,77098
4/14/20,83935
4/13/20,70756
4/12/20,119732
4/11/20,74341
4/10/20,85514
4/9/20,87021
4/8/20,83378
4/7/20,69827
4/6/20,73139
4/5/20,72588
4/4/20,58415
4/3/20,83424
4/2/20,83061
4/1/20,82862
3/31/20,76849
3/30/20,65278
3/29/20,59252
3/28/20,67246
3/27/20,65061
3/26/20,62830
3/25/20,51018
3/24/20,41160
3/23/20,42851
3/22/20,34831
3/21/20,32002
3/20/20,30777
3/19/20,27049
3/18/20,19559
3/17/20,15944
3/16/20,14810
3/15/20,11270
3/14/20,11073
3/13/20,14387
3/12/20,5790
3/11/20,7661
3/10/20,4822
3/9/20,4172
3/8/20,3949
3/7/20,4095
3/6/20,3913
3/5/20,2811
3/4/20,2308
3/3/20,2594
3/2/20,1983
3/1/20,2381
2/29/20,1890
2/28/20,1387
2/27/20,1360
2/26/20,977
2/25/20,853
2/24/20,564
2/23/20,380
2/22/20,1761
2/21/20,629
2/20/20,560
2/19/20,500
2/18/20,1882
2/17/20,2035
2/16/20,2184
2/15/20,2142
2/14/20,6527
2/13/20,15153
2/12/20,418
2/11/20,2042
2/10/20,2609
2/9/20,3030
2/8/20,2734
2/7/20,3593
2/6/20,3160
2/5/20,3745
2/4/20,4011
2/3/20,3100
2/2/20,4749
2/1/20,2111
1/31/20,1692
1/30/20,2068
1/29/20,589
1/28/20,2651
1/27/20,809
1/26/20,684
1/25/20,493
1/24/20,287
1/23/20,99
