Month,Number of downloads
"Jul 16, 2020",2600
"Jul 15, 2020",2628
"Jul 14, 2020",2513
"Jul 13, 2020",2463
"Jul 12, 2020",2480
"Jul 11, 2020",2516
"Jul 10, 2020",2303
"Jul 9, 2020",2426
"Jul 8, 2020",2503
"Jul 7, 2020",2509
"Jul 6, 2020",2824
"Jul 5, 2020",2885
"Jul 4, 2020",2504
"Jul 3, 2020",2196
"Jul 2, 2020",2049
"Jul 1, 2020",1915
"Jun 30, 2020",1985
"Jun 29, 2020",1866
"Jun 28, 2020",1795
"Jun 27, 2020",1764
"Jun 26, 2020",1561
"Jun 25, 2020",1671
"Jun 24, 2020",1717
"Jun 23, 2020",2140
"Jun 22, 2020",2357
"Jun 21, 2020",2313
"Jun 20, 2020",2450
"Jun 19, 2020",2195
"Jun 18, 2020",2555
"Jun 17, 2020",2609
"Jun 16, 2020",2798
"Jun 15, 2020",2703
"Jun 14, 2020",2561
"Jun 13, 2020",2441
"Jun 12, 2020",2409
"Jun 11, 2020",2173
"Jun 10, 2020",2212
"Jun 9, 2020",2395
"Jun 8, 2020",2409
"Jun 7, 2020",2948
"Jun 6, 2020",2902
"Jun 5, 2020",2662
"Jun 4, 2020",2817
"Jun 3, 2020",2667
"Jun 2, 2020",2745
"Jun 1, 2020",2883
"May 31, 2020",2845
"May 30, 2020",2658
"May 29, 2020",2318
"May 28, 2020",2366
"May 27, 2020",2720
"May 26, 2020",2906
"May 25, 2020",3421
"May 24, 2020",3461
"May 23, 2020",3046
"May 22, 2020",3024
"May 21, 2020",3017
"May 20, 2020",3206
"May 19, 2020",3365
"May 18, 2020",3438
"May 17, 2020",3438
"May 16, 2020",2752
"May 15, 2020",2688
"May 14, 2020",2667
"May 13, 2020",2832
"May 12, 2020",3137
"May 11, 2020",3297
"May 10, 2020",3400
"May 9, 2020",3262
"May 8, 2020",3266
"May 7, 2020",4112
"May 6, 2020",4933
"May 5, 2020",5220
"May 4, 2020",5255
"May 3, 2020",4770
"May 2, 2020",4285
"May 1, 2020",3883
"Apr 30, 2020",3881
"Apr 29, 2020",4065
"Apr 28, 2020",3630
"Apr 27, 2020",3373
"Apr 26, 2020",3375
"Apr 25, 2020",2963
"Apr 24, 2020",2738
"Apr 23, 2020",2866
"Apr 22, 2020",2990
"Apr 21, 2020",3181
"Apr 20, 2020",3373
"Apr 19, 2020",3386
"Apr 18, 2020",2879
"Apr 17, 2020",2817
"Apr 16, 2020",3029
"Apr 15, 2020",3378
"Apr 14, 2020",4181
"Apr 13, 2020",3647
"Apr 12, 2020",3201
"Apr 11, 2020",2781
"Apr 10, 2020",2335
"Apr 9, 2020",2438
"Apr 8, 2020",2492
"Apr 7, 2020",2879
"Apr 6, 2020",3314
"Apr 5, 2020",3573
"Apr 4, 2020",3659
"Apr 3, 2020",3691
"Apr 2, 2020",4229
"Apr 1, 2020",4622
"Mar 31, 2020",5194
"Mar 30, 2020",5603
"Mar 29, 2020",5932
"Mar 28, 2020",5066
"Mar 27, 2020",5324
"Mar 26, 2020",6157
"Mar 25, 2020",8216
"Mar 24, 2020",10203
"Mar 23, 2020",10090
"Mar 22, 2020",10040
"Mar 21, 2020",7874
"Mar 20, 2020",6045
"Mar 19, 2020",5508
"Mar 18, 2020",5323
"Mar 17, 2020",5690
"Mar 16, 2020",5188
"Mar 15, 2020",4152
"Mar 14, 2020",2984
"Mar 13, 2020",2378
"Mar 12, 2020",2831
"Mar 11, 2020",3263
"Mar 10, 2020",3407
"Mar 9, 2020",3640
"Mar 8, 2020",3595
"Mar 7, 2020",3328
"Mar 6, 2020",3171
"Mar 5, 2020",3602
"Mar 4, 2020",4086
"Mar 3, 2020",4604
"Mar 2, 2020",5164
"Mar 1, 2020",4824
"Feb 29, 2020",4973
"Feb 28, 2020",5029
"Feb 27, 2020",5155
"Feb 26, 2020",5475
"Feb 25, 2020",5433
"Feb 24, 2020",5122
"Feb 23, 2020",4192
"Feb 22, 2020",3289
"Feb 21, 2020",3071
"Feb 20, 2020",2938
"Feb 19, 2020",3145
"Feb 18, 2020",3692
"Feb 17, 2020",3779
"Feb 16, 2020",3593
"Feb 15, 2020",3353
"Feb 14, 2020",3181
"Feb 13, 2020",3453
"Feb 12, 2020",3753
"Feb 11, 2020",4064
"Feb 10, 2020",4621
"Feb 9, 2020",4135
"Feb 8, 2020",3794
"Feb 7, 2020",3534
"Feb 6, 2020",3685
"Feb 5, 2020",3651
"Feb 4, 2020",3477
"Feb 3, 2020",3760
"Feb 2, 2020",3775
"Feb 1, 2020",3312
"Jan 31, 2020",3067
"Jan 30, 2020",3205
"Jan 29, 2020",4014
"Jan 28, 2020",5397
"Jan 27, 2020",6156
"Jan 26, 2020",6056
"Jan 25, 2020",4745
"Jan 24, 2020",3728
"Jan 23, 2020",4659
"Jan 22, 2020",5258
"Jan 21, 2020",5519
"Jan 20, 2020",5833
"Jan 19, 2020",4983
"Jan 18, 2020",3818
"Jan 17, 2020",3461
"Jan 16, 2020",3517
"Jan 15, 2020",4000
"Jan 14, 2020",4596
"Jan 13, 2020",5324
"Jan 12, 2020",4725
"Jan 11, 2020",4392
"Jan 10, 2020",4276
"Jan 9, 2020",4676
"Jan 8, 2020",4975
"Jan 7, 2020",6174
"Jan 6, 2020",6882
"Jan 5, 2020",6865
"Jan 4, 2020",7047
"Jan 3, 2020",7246
"Jan 2, 2020",7523
"Jan 1, 2020",7370
"Dec 31, 2019",7233
"Dec 30, 2019",10576
"Dec 29, 2019",10952
"Dec 28, 2019",11607
"Dec 27, 2019",12674
"Dec 26, 2019",11283
"Dec 25, 2019",9767
"Dec 24, 2019",8912
"Dec 23, 2019",9537
"Dec 22, 2019",8700
"Dec 21, 2019",7352
"Dec 20, 2019",6308
"Dec 19, 2019",5661
"Dec 18, 2019",5535
"Dec 17, 2019",6011
"Dec 16, 2019",6097
"Dec 15, 2019",5831
"Dec 14, 2019",5419
"Dec 13, 2019",4887
"Dec 12, 2019",5069
"Dec 11, 2019",5844
"Dec 10, 2019",6872
"Dec 9, 2019",7134
"Dec 8, 2019",6671
"Dec 7, 2019",6192
"Dec 6, 2019",4819
"Dec 5, 2019",4638
"Dec 4, 2019",5461
"Dec 3, 2019",5946
"Dec 2, 2019",6092
"Dec 1, 2019",6037
"Nov 30, 2019",4687
"Nov 29, 2019",4751
"Nov 28, 2019",5521
"Nov 27, 2019",6427
"Nov 26, 2019",8349
"Nov 25, 2019",8320
"Nov 24, 2019",7756
"Nov 23, 2019",7414
"Nov 22, 2019",8262
"Nov 21, 2019",10049
"Nov 20, 2019",12835
"Nov 19, 2019",13103
"Nov 18, 2019",13286
"Nov 17, 2019",12773
"Nov 16, 2019",10794
"Nov 15, 2019",11507
"Nov 14, 2019",11838
"Nov 13, 2019",14043
"Nov 12, 2019",9155
"Nov 11, 2019",7327
"Nov 10, 2019",6758
"Nov 9, 2019",4763
"Nov 8, 2019",4387
"Nov 7, 2019",4529
"Nov 6, 2019",4670
"Nov 5, 2019",4751
"Nov 4, 2019",4874
"Nov 3, 2019",4670
"Nov 2, 2019",3896
"Nov 1, 2019",2869
"Oct 31, 2019",2857
"Oct 30, 2019",3369
"Oct 29, 2019",3606
"Oct 28, 2019",4078
"Oct 27, 2019",4455
"Oct 26, 2019",4477
"Oct 25, 2019",4789
"Oct 24, 2019",5065
"Oct 23, 2019",5237
"Oct 22, 2019",6299
"Oct 21, 2019",6576
"Oct 20, 2019",6587
"Oct 19, 2019",5627
"Oct 18, 2019",4996
"Oct 17, 2019",5475
"Oct 16, 2019",6258
"Oct 15, 2019",6826
"Oct 14, 2019",7322
"Oct 13, 2019",6984
"Oct 12, 2019",6506
"Oct 11, 2019",6595
"Oct 10, 2019",7236
"Oct 9, 2019",8396
"Oct 8, 2019",8522
"Oct 7, 2019",9850
"Oct 6, 2019",10617
"Oct 5, 2019",9203
"Oct 4, 2019",8818
"Oct 3, 2019",9304
"Oct 2, 2019",10515
"Oct 1, 2019",10572
"Sep 30, 2019",12406
"Sep 29, 2019",12819
"Sep 28, 2019",13353
"Sep 27, 2019",13341
"Sep 26, 2019",13582
"Sep 25, 2019",16264
"Sep 24, 2019",21453
"Sep 23, 2019",22519
"Sep 22, 2019",22539
"Sep 21, 2019",22555
"Sep 20, 2019",22534
"Sep 19, 2019",22500
"Sep 18, 2019",22510
"Sep 17, 2019",22510
"Sep 16, 2019",22519
"Sep 15, 2019",22539
"Sep 14, 2019",22555
"Sep 13, 2019",22534
"Sep 12, 2019",10239
"Sep 11, 2019",10239
"Sep 10, 2019",10235
