Month,Employment rate
Jan 92,69.6%
Dec 91,69.8%
Nov 91,69.9%
Oct 91,70.1%
Sep 91,70.3%
Aug 91,70.5%
Jul 91,70.7%
Jun 91,71%
May 91,71.2%
Apr 91,71.5%
Mar 91,71.7%
Feb 91,71.9%
Jan 91,72.1%
Dec 90,72.3%
Nov 90,72.4%
Oct 90,72.6%
Sep 90,72.7%
Aug 90,72.8%
Jul 90,72.8%
Jun 90,72.8%
May 90,72.8%
Apr 90,72.8%
Mar 90,72.8%
Feb 90,72.8%
Jan 90,72.8%
Dec 89,72.8%
Nov 89,72.7%
Oct 89,72.6%
Sep 89,72.6%
Aug 89,72.5%
Jul 89,72.5%
Jun 89,72.4%
May 89,72.4%
Apr 89,72.3%
Mar 89,72.1%
Feb 89,71.9%
Jan 89,71.7%
Dec 88,71.5%
Nov 88,71.4%
Oct 88,71.3%
Sep 88,71.1%
Aug 88,70.9%
Jul 88,70.8%
Jun 88,70.7%
May 88,70.5%
Apr 88,70.4%
Mar 88,70.2%
Feb 88,70%
Jan 88,69.9%
Dec 87,69.7%
Nov 87,69.5%
Oct 87,69.3%
Sep 87,69.1%
Aug 87,68.9%
Jul 87,68.7%
Jun 87,68.5%
May 87,68.3%
Apr 87,68.2%
Mar 87,68.1%
Feb 87,68%
Jan 87,68%
Dec 86,67.9%
Nov 86,67.9%
Oct 86,67.8%
Sep 86,67.8%
Aug 86,67.7%
Jul 86,67.6%
Jun 86,67.6%
May 86,67.6%
Apr 86,67.6%
Mar 86,67.6%
Feb 86,67.6%
Jan 86,67.5%
Dec 85,67.5%
Nov 85,67.5%
Oct 85,67.5%
Sep 85,67.5%
Aug 85,67.4%
Jul 85,67.4%
Jun 85,67.4%
May 85,67.3%
Apr 85,67.3%
Mar 85,67.3%
Feb 85,67.2%
Jan 85,67.1%
Dec 84,67.1%
Nov 84,67%
Oct 84,66.9%
Sep 84,66.8%
Aug 84,66.8%
Jul 84,66.7%
Jun 84,66.7%
May 84,66.6%
Apr 84,66.6%
Mar 84,66.5%
Feb 84,66.4%
Jan 84,66.4%
Dec 83,66.3%
Nov 83,66.2%
Oct 83,66%
Sep 83,65.9%
Aug 83,65.7%
Jul 83,65.6%
Jun 83,65.6%
May 83,65.6%
Apr 83,65.6%
Mar 83,65.7%
Feb 83,65.8%
Jan 83,65.9%
Dec 82,66.1%
Nov 82,66.3%
Oct 82,66.5%
Sep 82,66.6%
Aug 82,66.8%
Jul 82,66.9%
Jun 82,67.1%
May 82,67.2%
Apr 82,67.3%
Mar 82,67.4%
Feb 82,67.5%
Jan 82,67.6%
Dec 81,67.7%
Nov 81,67.9%
Oct 81,68.1%
Sep 81,68.2%
Aug 81,68.4%
Jul 81,68.5%
Jun 81,68.7%
May 81,68.9%
Apr 81,69.1%
Mar 81,69.3%
Feb 81,69.5%
Jan 81,69.7%
Dec 80,69.9%
Nov 80,70.2%
Oct 80,70.4%
Sep 80,70.7%
Aug 80,70.9%
Jul 80,71.1%
Jun 80,71.2%
May 80,71.3%
Apr 80,71.4%
Mar 80,71.5%
Feb 80,71.6%
Jan 80,71.7%
Dec 79,71.7%
Nov 79,71.8%
Oct 79,71.8%
Sep 79,71.8%
Aug 79,71.8%
Jul 79,71.8%
Jun 79,71.7%
May 79,71.7%
Apr 79,71.7%
Mar 79,71.8%
Feb 79,71.8%
Jan 79,71.8%
Dec 78,71.7%
Nov 78,71.6%
Oct 78,71.6%
Sep 78,71.5%
Aug 78,71.5%
Jul 78,71.5%
Jun 78,71.5%
May 78,71.5%
Apr 78,71.5%
Mar 78,71.5%
Feb 78,71.5%
Jan 78,71.5%
Dec 77,71.5%
Nov 77,71.5%
Oct 77,71.6%
Sep 77,71.6%
Aug 77,71.6%
Jul 77,71.6%
Jun 77,71.6%
May 77,71.7%
Apr 77,71.7%
Mar 77,71.8%
Feb 77,71.8%
Jan 77,71.8%
Dec 76,71.8%
Nov 76,71.8%
Oct 76,71.8%
Sep 76,71.9%
Aug 76,71.9%
Jul 76,71.9%
Jun 76,72%
May 76,72%
Apr 76,72%
Mar 76,72.1%
Feb 76,72.2%
Jan 76,72.3%
Dec 75,72.3%
Nov 75,72.4%
Oct 75,72.5%
Sep 75,72.6%
Aug 75,72.6%
Jul 75,72.7%
Jun 75,72.7%
May 75,72.7%
Apr 75,72.8%
Mar 75,72.9%
Feb 75,72.9%
Jan 75,73%
Dec 74,73.1%
Nov 74,73.1%
Oct 74,73.1%
Sep 74,73.1%
Aug 74,73.1%
Jul 74,73%
Jun 74,73%
May 74,72.9%
Apr 74,72.9%
Mar 74,72.9%
Feb 74,73%
Jan 74,73%
Dec 73,73%
Nov 73,73%
Oct 73,72.9%
Sep 73,72.9%
Aug 73,72.9%
Jul 73,72.9%
Jun 73,73%
May 73,73%
Apr 73,72.9%
Mar 73,72.8%
Feb 73,72.6%
Jan 73,72.4%
Dec 72,72.2%
Nov 72,72.1%
Oct 72,72%
Sep 72,72%
Aug 72,71.9%
Jul 72,71.9%
Jun 72,71.9%
May 72,71.9%
Apr 72,71.9%
Mar 72,71.8%
Feb 72,71.6%
Jan 72,71.5%
Dec 71,71.5%
Nov 71,71.5%
Oct 71,71.6%
Sep 71,71.7%
Aug 71,71.8%
Jul 71,71.9%
Jun 71,72%
May 71,72%
Apr 71,72.1%
Mar 71,72.2%
