Month,Number of tests
"Jun 06, 2020",947
"Jun 05, 2020",2928
"Jun 04, 2020",2916
"Jun 03, 2020",3129
"Jun 02, 2020",3844
"Jun 01, 2020",742
"May 31, 2020",638
"May 30, 2020",813
"May 29, 2020",2589
"May 28, 2020",2781
"May 27, 2020",3278
"May 26, 2020",3452
"May 25, 2020",4070
"May 24, 2020",898
"May 23, 2020",1039
"May 22, 2020",3342
"May 21, 2020",1144
"May 20, 2020",3947
"May 19, 2020",4656
"May 18, 2020",4405
"May 17, 2020",663
"May 16, 2020",1301
"May 15, 2020",4171
"May 14, 2020",4198
"May 13, 2020",4468
"May 12, 2020",4794
"May 11, 2020",4396
"May 10, 2020",1000
"May 09, 2020",1299
"May 08, 2020",3800
"May 07, 2020",3754
"May 06, 2020",4284
"May 05, 2020",4321
"May 04, 2020",4729
"May 03, 2020",1260
"May 02, 2020",1555
"May 01, 2020",1511
"Apr 30, 2020",4435
"Apr 29, 2020",3954
"Apr 28, 2020",4114
"Apr 27, 2020",4104
"Apr 26, 2020",973
"Apr 25, 2020",1132
"Apr 24, 2020",3281
"Apr 23, 2020",2975
"Apr 22, 2020",3346
"Apr 21, 2020",3581
"Apr 20, 2020",3776
"Apr 19, 2020",1143
"Apr 18, 2020",1175
"Apr 17, 2020",3131
"Apr 16, 2020",3110
"Apr 15, 2020",3429
"Apr 14, 2020",3368
"Apr 13, 2020",1317
"Apr 12, 2020",1245
"Apr 11, 2020",1419
"Apr 10, 2020",1354
"Apr 09, 2020",1331
"Apr 08, 2020",2276
"Apr 07, 2020",2969
"Apr 06, 2020",3530
"Apr 05, 2020",1117
"Apr 04, 2020",1386
"Apr 03, 2020",3557
"Apr 02, 2020",3560
"Apr 01, 2020",3936
"Mar 31, 2020",3446
"Mar 30, 2020",3172
"Mar 29, 2020",1243
"Mar 28, 2020",1801
"Mar 27, 2020",3291
"Mar 26, 2020",3185
"Mar 25, 2020",3344
"Mar 24, 2020",3528
"Mar 23, 2020",3564
"Mar 22, 2020",1288
"Mar 21, 2020",2507
"Mar 20, 2020",5119
"Mar 19, 2020",5983
"Mar 18, 2020",6827
"Mar 17, 2020",6586
"Mar 16, 2020",6263
"Mar 15, 2020",2870
"Mar 14, 2020",2761
"Mar 13, 2020",4054
"Mar 12, 2020",3017
"Mar 11, 2020",2085
"Mar 10, 2020",1686
"Mar 9, 2020",1484
"Mar 8, 2020",408
"Mar 7, 2020",315
"Mar 6, 2020",365
"Mar 5, 2020",374
"Mar 4, 2020",341
"Mar 3, 2020",380
"Mar 2, 2020",391
"Mar 1, 2020",235
"Feb 29, 2020",209
"Feb 28, 2020",290
"Feb 27, 2020",249
"Feb 26, 2020",148
"Feb 25, 2020",62
"Feb 24, 2020",12
