Month,Daily share of people with COVID-19 disease
Jun 26,1.4%
Jun 27,0.8%
Jun 28,4.45%
Jun 29,1.09%
Jun 30,1.52%
Jul 01,1.6%
Jul 02,0.93%
Jul 03,1.39%
Jul 04,1.2%
Jul 05,1.26%
Jul 06,1.24%
Jul 07,1.37%
Jul 08,1.1%
Jul 09,1.09%
Jul 10,0.87%
Jul 11,2.06%
Jul 12,1.9%
Jul 13,1.22%
Jul 14,1.04%
Jul 15,1.31%
Jul 16,1.34%
Jul 17,1.38%
Jul 18,1.85%
Jul 19,1.8%
Jul 20,1.97%
Jul 21,1.49%
Jul 22,1.54%
Jul 23,1.89%
Jul 24,2.23%
Jul 25,2.18%
Jul 26,1.79%
Jul 27,2.21%
Jul 28,1.71%
Jul 29,2.67%
Jul 30,1.87%
Jul 31,2.32%
Aug 01,2.3%
Aug 02,3.23%
Aug 03,2.63%
Aug 04,1.9%
Aug 05,2.53%
Aug 06,2.48%
Aug 07,3.85%
Aug 08,3.06%
Aug 09,4.15%
Aug 10,2.38%
Aug 11,2.97%
Aug 12,3.1%
Aug 13,3.11%
Aug 14,3.13%
Aug 15,3.58%
Aug 16,4.52%
Aug 17,2.91%
Aug 18,2.56%
Aug 19,3%
Aug 20,3.04%
Aug 21,3.5%
Aug 22,2.96%
Aug 23,3.27%
Aug 24,3.44%
Aug 25,2.52%
Aug 26,3.14%
Aug 27,3.07%
Aug 28,3.47%
Aug 29,3.32%
Aug 30,4.02%
Aug 31,1.87%
Sep 01,1.74%
Sep 02,3.9%
Sep 03,3.07%
Sep 04,2.22%
Sep 05,2.35%
Sep 06,2.93%
Sep 07,2.13%
Sep 08,1.8%
Sep 09,2.71%
Sep 10,3.19%
Sep 11,2.85%
Sep 12,3.46%
Sep 13,2.98%
Sep 14,3.23%
Sep 15,2.74%
Sep 16,3.77%
Sep 17,3.6%
Sep 18,5%
Sep 19,4.79%
Sep 20,6.12%
Sep 21,3.15%
Sep 22,4.42%
Sep 23,4.79%
Sep 24,6.55%
Sep 25,6.8%
Sep 26,7.17%
Sep 27,9.7%
Sep 28,5.74%
Sep 29,5.54%
Sep 30,6.64%
Oct 01,7.98%
Oct 02,7.76%
Oct 03,7.45%
Oct 04,10.9%
Oct 05,9.3%
Oct 06,6.82%
Oct 07,9.7%
Oct 08,15.3%
Oct 09,18.7%
Oct 10,13.4%
Oct 11,17.5%
Oct 12,14.9%
Oct 13,14.8%
Oct 14,12.5%
Oct 15,15.1%
Oct 16,19.6%
Oct 17,22.8%
Oct 18,20.7%
Oct 19,22.3%
Oct 20,16.9%
Oct 21,24.1%
Oct 22,21.9%
Oct 23,24.6%
Oct 24,21.9%
Oct 25,20.3%
Oct 26,24.6%
Oct 27,31%
Oct 28,29.6%
Oct 29,27.7%
Oct 30,36.6%
Oct 31,34.3%
Nov 01,23.9%
Nov 02,29.4%
Nov 03,35.7%
Nov 04,40.4%
Nov 05,32.6%
Nov 06,41.7%
Nov 07,40.5%
Nov 08,49.9%
Nov 09,46.5%
Nov 10,47.3%
Nov 11,39.6%
Nov 12,41.7%
Nov 13,45.5%
Nov 14,46.8%
Nov 15,59.3%
Nov 16,45.6%
Nov 17,34.8%
Nov 18,41.3%
Nov 19,40.8%
Nov 20,55.1%
Nov 21,43%
Nov 22,54.5%
Nov 23,30%
Nov 24,31.7%
Nov 25,37%
Nov 26,36.8%
Nov 27,36%
Nov 28,46.6%
Nov 29,22.7%
Nov 30,23.7%
Dec 01,32.8%
Dec 02,38.6%
Dec 03,32.4%
Dec 04,34.7%
Dec 05,38.4%
Dec 06,21.8%
Dec 07,27.5%
Dec 08,29.5%
Dec 09,35.7%
Dec 10,38.5%
Dec 11,34.4%
Dec 12,40.6%
Dec 13,24.5%
Dec 14,22.5%
Dec 15,29.5%
Dec 16,32.2%
Dec 17,32.4%
Dec 18,37.1%
Dec 19,38.7%
Dec 20,23.6%
Dec 21,24%
Dec 22,35.2%
Dec 23,36.7%
Dec 24,43.2%
Dec 25,34.6%
Dec 26,25.7%
Dec 27,19.3%
Dec 28,23.5%
Dec 29,34%
Dec 30,24.9%
Dec 31,23.5%
Jan 01 '21,25.1%
Jan 02 '21,19.3%
Jan 03 '21,17.4%
Jan 04 '21,15.7%
Jan 05 '21,22.9%
Jan 06 '21,25.7%
