Month,Unemployment rate
Dec 00,5.2%
Nov 00,5.3%
Oct 00,5.4%
Sep 00,5.3%
Aug 00,5.3%
Jul 00,5.3%
Jun 00,5.5%
May 00,5.6%
Apr 00,5.7%
Mar 00,5.8%
Feb 00,5.8%
Jan 00,5.9%
Dec 99,5.8%
Nov 99,5.8%
Oct 99,5.8%
Sep 99,5.9%
Aug 99,5.9%
Jul 99,6%
Jun 99,6%
May 99,6.1%
Apr 99,6.2%
Mar 99,6.2%
Feb 99,6.2%
Jan 99,6.2%
Dec 98,6.1%
Nov 98,6.2%
Oct 98,6.2%
Sep 98,6.2%
Aug 98,6.3%
Jul 98,6.3%
Jun 98,6.3%
May 98,6.3%
Apr 98,6.3%
Mar 98,6.4%
Feb 98,6.4%
Jan 98,6.4%
Dec 97,6.5%
Nov 97,6.6%
Oct 97,6.7%
Sep 97,6.8%
Aug 97,7.1%
Jul 97,7.3%
Jun 97,7.2%
May 97,7.2%
Apr 97,7.2%
Mar 97,7.3%
Feb 97,7.5%
Jan 97,7.7%
Dec 96,7.8%
Nov 96,8%
Oct 96,8.1%
Sep 96,8.1%
Aug 96,8.1%
Jul 96,8.2%
Jun 96,8.3%
May 96,8.3%
Apr 96,8.3%
Mar 96,8.2%
Feb 96,8.3%
Jan 96,8.4%
Dec 95,8.3%
Nov 95,8.6%
Oct 95,8.6%
Sep 95,8.6%
Aug 95,8.6%
Jul 95,8.7%
Jun 95,8.7%
May 95,8.8%
Apr 95,8.8%
Mar 95,8.9%
Feb 95,8.9%
Jan 95,8.9%
Dec 94,9%
Nov 94,9.1%
Oct 94,9.3%
Sep 94,9.4%
Aug 94,9.5%
Jul 94,9.6%
Jun 94,9.7%
May 94,9.7%
Apr 94,9.8%
Mar 94,9.9%
Feb 94,10.1%
Jan 94,10.3%
Dec 93,10.3%
Nov 93,10.2%
Oct 93,10.3%
Sep 93,10.2%
Aug 93,10.3%
Jul 93,10.4%
Jun 93,10.4%
May 93,10.5%
Apr 93,10.6%
Mar 93,10.6%
Feb 93,10.7%
Jan 93,10.5%
Dec 92,10.4%
Nov 92,10.2%
Oct 92,10.1%
Sep 92,9.9%
Aug 92,9.9%
Jul 92,9.9%
Jun 92,9.8%
May 92,9.8%
Apr 92,9.8%
Mar 92,9.7%
Feb 92,9.6%
Jan 92,9.5%
Dec 91,9.5%
Nov 91,9.4%
Oct 91,9.3%
Sep 91,9.2%
Aug 91,9%
Jul 91,8.8%
Jun 91,8.7%
May 91,8.5%
Apr 91,8.2%
Mar 91,8%
Feb 91,7.8%
Jan 91,7.6%
Dec 90,7.5%
Nov 90,7.3%
Oct 90,7.2%
Sep 90,7.1%
Aug 90,7%
Jul 90,6.9%
Jun 90,6.9%
May 90,6.9%
Apr 90,6.9%
Mar 90,6.9%
Feb 90,6.9%
Jan 90,7%
Dec 89,7%
Nov 89,7%
Oct 89,7.1%
Sep 89,7.1%
Aug 89,7.1%
Jul 89,7.2%
Jun 89,7.2%
May 89,7.3%
Apr 89,7.4%
Mar 89,7.6%
Feb 89,7.7%
Jan 89,7.9%
Dec 88,8%
Nov 88,8.2%
Oct 88,8.3%
Sep 88,8.4%
Aug 88,8.5%
Jul 88,8.6%
Jun 88,8.7%
May 88,8.9%
Apr 88,9%
Mar 88,9.2%
Feb 88,9.4%
Jan 88,9.5%
Dec 87,9.7%
Nov 87,9.9%
Oct 87,10%
Sep 87,10.2%
Aug 87,10.4%
Jul 87,10.6%
Jun 87,10.7%
May 87,10.9%
Apr 87,11%
Mar 87,11.1%
Feb 87,11.2%
Jan 87,11.2%
Dec 86,11.3%
Nov 86,11.3%
Oct 86,11.3%
Sep 86,11.4%
Aug 86,11.4%
Jul 86,11.4%
Jun 86,11.3%
May 86,11.3%
Apr 86,11.3%
Mar 86,11.3%
Feb 86,11.3%
Jan 86,11.3%
Dec 85,11.3%
Nov 85,11.3%
Oct 85,11.3%
Sep 85,11.3%
Aug 85,11.3%
Jul 85,11.3%
Jun 85,11.4%
May 85,11.4%
Apr 85,11.4%
Mar 85,11.5%
Feb 85,11.5%
Jan 85,11.6%
Dec 84,11.6%
Nov 84,11.7%
Oct 84,11.7%
Sep 84,11.7%
Aug 84,11.8%
Jul 84,11.8%
Jun 84,11.9%
May 84,11.9%
Apr 84,11.9%
Mar 84,11.8%
Feb 84,11.8%
Jan 84,11.7%
Dec 83,11.7%
Nov 83,11.6%
Oct 83,11.6%
Sep 83,11.5%
Aug 83,11.5%
Jul 83,11.5%
Jun 83,11.4%
May 83,11.3%
Apr 83,11.3%
Mar 83,11.3%
Feb 83,11.2%
Jan 83,11.2%
Dec 82,11.1%
Nov 82,11%
Oct 82,10.9%
Sep 82,10.8%
Aug 82,10.7%
Jul 82,10.6%
Jun 82,10.6%
May 82,10.5%
Apr 82,10.5%
Mar 82,10.4%
Feb 82,10.4%
Jan 82,10.3%
Dec 81,10.2%
Nov 81,10.1%
Oct 81,10%
Sep 81,9.9%
Aug 81,9.8%
Jul 81,9.7%
Jun 81,9.6%
May 81,9.4%
Apr 81,9.1%
Mar 81,8.9%
Feb 81,8.6%
Jan 81,8.3%
Dec 80,8%
Nov 80,7.7%
Oct 80,7.4%
Sep 80,7.1%
Aug 80,6.8%
Jul 80,6.5%
Jun 80,6.3%
May 80,6.1%
Apr 80,6%
Mar 80,5.8%
Feb 80,5.7%
Jan 80,5.6%
Dec 79,5.5%
Nov 79,5.4%
Oct 79,5.4%
Sep 79,5.4%
Aug 79,5.3%
Jul 79,5.3%
Jun 79,5.3%
May 79,5.3%
Apr 79,5.3%
Mar 79,5.4%
Feb 79,5.3%
Jan 79,5.3%
Dec 78,5.4%
Nov 78,5.4%
Oct 78,5.5%
Sep 78,5.5%
Aug 78,5.5%
Jul 78,5.5%
Jun 78,5.6%
May 78,5.6%
Apr 78,5.6%
Mar 78,5.6%
Feb 78,5.6%
Jan 78,5.7%
Dec 77,5.7%
Nov 77,5.7%
Oct 77,5.7%
Sep 77,5.7%
Aug 77,5.6%
Jul 77,5.6%
Jun 77,5.5%
May 77,5.5%
Apr 77,5.5%
Mar 77,5.5%
Feb 77,5.5%
Jan 77,5.5%
Dec 76,5.5%
Nov 76,5.5%
Oct 76,5.5%
Sep 76,5.5%
Aug 76,5.4%
Jul 76,5.4%
Jun 76,5.4%
May 76,5.4%
Apr 76,5.3%
Mar 76,5.3%
Feb 76,5.2%
Jan 76,5.1%
Dec 75,5%
Nov 75,4.9%
Oct 75,4.8%
Sep 75,4.7%
Aug 75,4.6%
Jul 75,4.5%
Jun 75,4.3%
May 75,4.2%
Apr 75,4.1%
Mar 75,4%
Feb 75,3.9%
Jan 75,3.8%
Dec 74,3.7%
Nov 74,3.7%
Oct 74,3.7%
Sep 74,3.7%
Aug 74,3.7%
Jul 74,3.6%
Jun 74,3.6%
May 74,3.6%
Apr 74,3.6%
Mar 74,3.6%
Feb 74,3.5%
Jan 74,3.4%
Dec 73,3.4%
Nov 73,3.5%
Oct 73,3.5%
Sep 73,3.6%
Aug 73,3.6%
Jul 73,3.7%
Jun 73,3.7%
May 73,3.8%
Apr 73,3.8%
Mar 73,3.9%
Feb 73,4%
Jan 73,4.1%
Dec 72,4.2%
Nov 72,4.2%
Oct 72,4.2%
Sep 72,4.3%
Aug 72,4.3%
Jul 72,4.4%
Jun 72,4.4%
May 72,4.5%
Apr 72,4.5%
Mar 72,4.5%
Feb 72,4.5%
Jan 72,4.5%
Dec 71,4.4%
Nov 71,4.4%
Oct 71,4.3%
Sep 71,4.2%
Aug 71,4.2%
Jul 71,4.1%
Jun 71,4.1%
May 71,4%
Apr 71,3.9%
Mar 71,3.8%
