place of contraction,Number of cases
"New Jersey Veterans Memorial Home at Menlo Park — Edison, N.J.",114
"Bayshore Healthcare Center nursing home — Holmdel, N.J.",113
"California Institution for Men — Chino, Calif.",111
"Heritage Specialty Care nursing home — Cedar Rapids, Iowa",111
"Oakland Rehabilitation and Healthcare Center — Oakland, N.J.",111
"Macomb Correctional Facility — Lenox Township, Mich.",110
"Biogen conference — Boston, Mass.",109
"Accordius Health nursing home — Harrisonburg, Va.",106
"Windermere Health and Rehabilitation Center — Augusta, Ga.",106
"Shapiro Developmental Center — Kankakee, Ill.",105
Grand Princess cruise in March,103
"Lompoc Prison Complex — Lompoc, Calif.",103
"Gateway Care and Rehabilitation Center — Hayward, Calif.",102
"JBS meatpacking plant — Greeley, Colo.",102
"Elkton Prison Complex — Lisbon, Ohio",100
"Wynne Unit prison — Huntsville, Texas",100
"Pleasant View Nursing Home — Mount Airy, Md.",99
"Brakley Park senior care facility — Phillipsburg, N.J.",98
"Crowne Health Care nursing home — Mobile, Ala.",98
"Durham Nursing and Rehabilitation Center — Durham, N.C.",97
"PruittHealth Macon nursing home — Macon, Ga.",97
"Los Angeles County prison — Lancaster, Calif.",94
"Sapphire of Tucson Nursing and Rehab — Tucson, Ariz.",94
"Tomoka Correctional Institution — Daytona Beach, Fla.",94
"Wayne Scott Unit prison — Angleton, Texas",94
"HudsonView Center for Rehab and Healthcare — North Bergen, N.J.",93
"Life Care Center nursing home — Richland, Wash.",93
"Plainfield Correctional Facility — Plainfield, Ind.",93
"Women's Huron Valley Correctional Facility — Ypsilanti, Mich.",92
"Crystal Lake Rehabilitation and Healthcare Center — Bayville, N.J.",90
"Hackensack Meridian Health Prospect Heights Care Center — Hackensack, N.J.",90
Saint Elizabeths psychiatric hospital — D.C.,90
"Tyson Foods plant — Goodlettsville, Tenn.",90
"Central Arkansas Community Correction Center — Little Rock, Ark.",89
Travel in Europe,88
"Arbor Terrace at Cascade senior living facility — Atlanta, Ga.",86
"Kane Community assisted living center at Glen Hazel — Pittsburgh, Pa.",86
"Milan Prison Complex — Milan, Mich.",84
"Hackensack Meridian Health Nursing and Rehab at Brick — Brick, N.J.",83
"The Resort at Texas City nursing home — Texas City, Texas",83
"Correctional Reception Center — Orient, Ohio",82
"Hampton Ridge Healthcare and Rehab — Toms River, N.J.",82
"Covenant Living at Windsor Park long-term care — Carol Stream, Ill.",81
"Life Care Center of Nashoba Valley — Littleton, Mass.",81
"Symphony of Joliet nursing home — Joliet, Ill.",81
"Joe-Anne Burgin Nursing Home — Cuthbert, Ga.",80
"Grace Living Center nursing home — Norman, Okla.",77
"Cherry Creek Nursing Center — Aurora, Colo.",76
"Dr. Lane Murray Unit prison — Gatesville, Texas",76
"Veranda Rehabilitation and Healthcare — Harlingen, Texas",76
"New Lisbon Developmental Center — New Lisbon, N.J.",75
"Oak Hill Center nursing home — Pawtucket, R.I.",75
"Southeast Nursing and Rehabilitation Center — San Antonio, Texas",75
"Edna Mahan Correctional Facility for Women — Clinton, N.J.",74
"Milford Center nursing home — Milford, Del.",74
"Altercare Alliance nursing home — Alliance, Ohio",73
"Augusta Health and Rehabilitation Center — Augusta, Maine",73
"Country Villa South Convalescent — Los Angeles, Calif.",73
"Stringfellow Unit prison — Rosharon, Texas",73
"Walter Reuther Psychiatric Hospital — Westland, Mich.",73
"Healthcare at Foster Creek assisted living facility — Portland, Ore.",71
"Horizon Health and Rehabilitation Center — Las Vegas, Nev.",71
"Garden Crest Rehabilitation Center — Los Angeles, Calif.",70
"Hospital Galveston — Galveston, Texas",70
"Multi-Service Center South homeless shelter — San Francisco, Calif.",70
"Abbott Terrace Health Center — Waterbury, Conn.",69
"CareOne at Evesham senior care facility — Marlton, N.J.",69
"Hunterdon Developmental Center — Clinton, N.J.",69
"Sunrise View Assisted Living — Everett, Wash.",69
"Telford Unit prison — New Boston, Texas",69
"Birchwood Terrace rehabilitation center — Burlington, Vt.",68
"East Jersey State Prison — Rahway, N.J.",68
"Golden Hill Rehab Pavilion — Milford, Conn.",67
"Haynesville Correctional Center — Haynesville, Va.",67
"Nassau jail — East Meadow, N.Y.",67
"Preakness Healthcare Center — Wayne, N.J.",67
"Summerset assisted living facility — Atlanta, Ga.",67
"Wayne Nursing & Rehabilitation Center — Wayne, W.Va.",66
"Bucks County jail — Doylestown, Pa.",65
"Dawson Health and Rehabilitation — Dawson, Ga.",65
"Juniper Village memory care — Aurora, Colo.",65
"Koester Pavilion nursing home and rehab — Troy, Ohio",65
"Louisiana State Penitentiary — Angola, La.",64
"Wedgwood Gardens Care Center — Freehold, N.J.",64
"Brighton Care Center — Pasadena, Calif.",63
"Burlington Health and Rehabilitation — Burlington, Vt.",63
"Deerfield Correctional Center — Capron, Va.",63
"Valley House Rehabilitation Center — Santa Clara, Calif.",63
"Central Gardens Covalescent — San Franciso, Calif.",62
"Adviniacare long-term care — Wilmington, Mass.",61
"Bergen County Healthcare Center — Rockleigh, N.J.",61
"Frontier Health and Rehabilitation — St. Charles, Mo.",60
"Early Memorial Nursing Facility — Blakely, Ga.",59
"Golden Crest Nursing Centre — North Providence, R.I.",59
"Crossview Care Center nursing home — Pineview, Ga.",58
"Encompass Health Rehabilitation Hospital of Toms River — Toms River, N.J.",58
"Grimes Center senior care facility — New Haven, Conn.",58
"Massachusetts Correctional Institution-Shirley — Shirley, Mass.",58
"Virginia Correctional Center for Women — Goochland, Va.",58
"Cedar Crest Nursing & Rehab — Sunnyvale, Calif.",57
"Rome Health and Rehabilitation Center — Rome, Ga.",57
"The Laurels of Chatham skilled nursing facility and rehabilitation center — Pittsboro, N.C.",57
"West Park Neurology and Rehabilitation Center — Cleveland, Ohio",57
"Autry State Prison — Pelham, Ga.",56
"Life Care Center of Raynham nursing home — Raynham, Mass.",56
"Mennonite Home personal care and skilled nursing — Lancaster, Pa.",56
"Powder Springs Transitional Care and Rehab — Powder Springs, Ga.",56
"Yazoo Prison Complex — Yazoo City, Miss.",56
"Blackwater River Correctional Facility — Milton, Fla.",55
"Cobble Hill Health Center assisted living — Brooklyn, N.Y.",55
"Pelham Parkway nursing home — Pelham, Ga.",55
"State Correctional Institution at Phoenix — Collegeville, Pa.",55
"Stollwood Convalescent Hospital — Woodland, Calif.",55
"Butner Prison Complex — Butner, N.C.",54
"Chateau Nursing and Rehabilitation Center — Willowbrook, Ill.",54
"Hollywood Premier Healthcare Center nursing home — Los Angeles, Calif.",54
"Memorial Care Center nursing home — Belleville, Ill.",54
"Louisburg Healthcare & Rehabilitation Center — Louisburg, N.C.",53
"Southern State Correctional Facility — Maurice River Township, N.J.",53
Travel in Egypt,53
"Centennial Healthcare Center nursing home — Greeley, Colo.",52
"Leisure Chateau Care and Rehabilitation Center — Lakewood, N.J.",52
"Regency Canyon Lakes rehabilitation and nursing — Kennewick, Wash.",52
"Sumter Correctional Institution — Bushnell, Fla.",52
"Victoria Manor long-term care — Cape May, N.J.",52
"Eldercare Health and Rehabilitation long-term care facility — Ripley, W.Va.",51
"Gardena Convalescent Center — Gardena, Calif.",51
"Reche Canyon Rehabilitation & Health Care Center — Colton, Calif.",51
"Sierra Rehabilitation and Care Community — Lakewood, Colo.",51
"Signature HealthCARE — Cookeville, Tenn.",51
"Suwannee Health and Rehabilitation — Live Oak, Fla.",51
"Fishkill Correctional Facility — Fishkill, N.Y.",50
"Pendleton Correctional Facility — Pendleton, Ind.",50
"Premier Estates assisted living — Toledo, Iowa",50
"PruittHealth - Carolina Point nursing home — Durham, N.C.",50
