Year,Number of cumulative cases
4/25/20,2901458
4/24/20,2819191
4/23/20,2735103
4/22/20,2650749
4/21/20,2569728
4/20/20,2494115
4/19/20,2418166
4/18/20,2341473
4/17/20,2264120
4/16/20,2176408
4/15/20,2080830
4/14/20,2003732
4/13/20,1919797
4/12/20,1849041
4/11/20,1729309
4/10/20,1654968
4/9/20,1569454
4/8/20,1482433
4/7/20,1399055
4/6/20,1329228
4/5/20,1256089
4/4/20,1183501
4/3/20,1125086
4/2/20,1041662
4/1/20,958601
3/31/20,875739
3/30/20,798890
3/29/20,733612
3/28/20,674360
3/27/20,607114
3/26/20,542053
3/25/20,479223
3/24/20,428205
3/23/20,387045
3/22/20,344194
3/21/20,309363
3/20/20,277361
3/19/20,246584
3/18/20,219535
3/17/20,199976
3/16/20,184032
3/15/20,169222
3/14/20,157952
3/13/20,146879
3/12/20,132492
3/11/20,126702
3/10/20,119041
3/9/20,114219
3/8/20,110047
3/7/20,106098
3/6/20,102003
3/5/20,98090
3/4/20,95279
3/3/20,92971
3/2/20,90377
3/1/20,88394
2/29/20,86013
2/28/20,84123
2/27/20,82736
2/26/20,81376
2/25/20,80399
2/24/20,79546
2/23/20,78982
2/22/20,78602
2/21/20,76841
2/20/20,76212
2/19/20,75652
2/18/20,75152
2/17/20,73270
2/16/20,71235
2/15/20,69051
2/14/20,66909
2/13/20,60382
2/12/20,45229
2/11/20,44811
2/10/20,42769
2/9/20,40160
2/8/20,37130
2/7/20,34396
2/6/20,30803
2/5/20,27643
2/4/20,23898
2/3/20,19887
2/2/20,16787
2/1/20,12038
1/31/20,9927
1/30/20,8235
1/29/20,6167
1/28/20,5578
1/27/20,2927
1/26/20,2118
1/25/20,1434
1/24/20,941
1/23/20,654
1/22/20,555
