Year,Number of new cases
7/20/20,66963
7/19/20,74354
7/18/20,71484
7/17/20,67165
7/16/20,60711
7/15/20,58720
7/14/20,60113
7/13/20,62369
7/12/20,66281
7/11/20,58975
7/10/20,64630
7/9/20,50263
7/8/20,46194
7/7/20,43686
7/6/20,57186
7/5/20,51933
7/4/20,53213
7/3/20,54271
7/2/20,43556
7/1/20,35757
6/30/20,41008
6/29/20,44580
6/28/20,44458
6/27/20,40526
6/26/20,37601
6/25/20,34191
6/24/20,26519
6/23/20,27575
6/22/20,32349
6/21/20,36617
6/20/20,23046
6/19/20,23139
6/18/20,27921
6/17/20,18514
6/16/20,21754
6/15/20,25314
6/14/20,22133
6/13/20,21745
6/12/20,20315
6/11/20,17235
6/10/20,17536
6/9/20,17848
6/8/20,28918
6/7/20,28922
6/6/20,20069
6/5/20,14583
6/4/20,24890
6/3/20,14692
6/2/20,26116
6/1/20,23482
5/31/20,17962
5/30/20,21214
5/29/20,19606
5/28/20,16362
5/27/20,24886
5/26/20,15253
5/25/20,26158
5/24/20,24151
5/23/20,20475
5/22/20,22787
5/21/20,23310
5/20/20,24417
5/19/20,13227
5/18/20,31967
5/17/20,22813
5/16/20,27090
5/15/20,20840
5/14/20,21424
5/13/20,18044
5/12/20,23767
5/11/20,26642
5/10/20,25870
5/9/20,30204
5/8/20,22119
5/7/20,22267
5/6/20,16200
5/5/20,29266
5/4/20,31839
5/3/20,26753
5/2/20,31774
5/1/20,31379
4/30/20,20517
4/29/20,22541
4/28/20,29218
4/27/20,32417
4/26/20,38509
4/25/20,30719
4/24/20,29127
4/23/20,24019
4/22/20,25634
4/21/20,27668
4/20/20,28252
4/19/20,30023
4/18/20,32549
4/17/20,28711
4/16/20,25802
4/15/20,24446
4/14/20,29308
4/13/20,31633
4/12/20,31606
4/11/20,35386
4/10/20,30859
4/9/20,31709
4/8/20,29510
4/7/20,26493
4/6/20,33510
4/5/20,32105
4/4/20,28103
4/3/20,26298
4/2/20,24103
4/1/20,22559
3/31/20,17987
3/30/20,19332
3/29/20,18093
3/28/20,16894
3/27/20,0
3/26/20,16420
3/25/20,0
3/24/20,20341
3/23/20,16354
3/22/20,0
3/21/20,0
3/20/20,4777
3/19/20,3351
3/18/20,3551
3/17/20,1822
3/16/20,0
3/15/20,36
3/14/20,414
3/13/20,277
3/12/20,291
3/11/20,0
3/10/20,224
3/9/20,259
3/8/20,0
3/7/20,0
3/6/20,84
3/5/20,0
3/4/20,21
3/3/20,44
3/2/20,2
3/1/20,0
2/29/20,0
2/28/20,3
2/27/20,0
2/26/20,6
2/25/20,0
2/24/20,18
2/23/20,0
2/22/20,1
2/21/20,19
2/20/20,0
2/19/20,0
2/18/20,0
2/17/20,0
2/16/20,0
2/15/20,0
2/14/20,0
2/13/20,2
2/12/20,0
2/11/20,1
2/10/20,0
2/9/20,0
2/8/20,0
2/7/20,0
2/6/20,1
2/5/20,0
2/4/20,0
2/3/20,3
2/2/20,0
2/1/20,1
1/31/20,1
1/30/20,1
1/29/20,0
1/28/20,0
1/27/20,0
1/26/20,3
1/25/20,0
1/24/20,1
1/23/20,0
1/22/20,0
1/21/20,0
1/20/20,5
