Year,Cases,Deaths
7/10/2020,330896,33526
7/9/2020,323802,32796
7/8/2020,316401,32014
7/7/2020,308574,31119
7/6/2020,300788,30639
7/5/2020,297835,30366
7/4/2020,294212,29843
7/3/2020,287196,29189
7/2/2020,280196,28510
7/1/2020,272653,27769
6/30/2020,265510,27121
6/29/2020,258048,26648
6/28/2020,255131,26381
6/27/2020,251502,25779
6/26/2020,245033,25060
6/25/2020,238802,24342
6/24/2020,232538,23377
6/23/2020,225964,22584
6/22/2020,219132,21825
6/21/2020,216701,20781
6/20/2020,213165,20394
6/19/2020,207092,19747
6/18/2020,201070,19080
6/17/2020,194976,18310
6/16/2020,188602,17580
6/15/2020,182078,17141
6/14/2020,179511,16872
6/13/2020,176460,16448
6/12/2020,170874,15944
6/11/2020,165511,15357
6/10/2020,159821,14649
6/9/2020,154088,14053
6/8/2020,147960,13699
6/7/2020,145637,13511
6/6/2020,142654,13170
6/5/2020,137641,12545
6/4/2020,132771,11728
6/3/2020,127855,10637
6/2/2020,123139,10167
6/1/2020,117890,9930
5/31/2020,115829,9779
5/30/2020,113116,9415
5/29/2020,108772,9044
5/28/2020,104569,8597
5/27/2020,100112,8134
5/26/2020,95798,7633
5/25/2020,91205,7394
5/24/2020,89344,7179
5/23/2020,87088,6989
5/22/2020,83125,6510
5/21/2020,79147,6090
5/20/2020,75253,5666
5/19/2020,71706,5332
5/18/2020,67708,5177
5/17/2020,66085,5045
5/16/2020,63934,4767
5/15/2020,60485,4477
5/14/2020,57435,4220
5/13/2020,54340,3926
5/12/2020,51437,3573
5/11/2020,48495,3465
5/10/2020,47093,3353
5/9/2020,45580,3160
5/8/2020,43187,2961
5/7/2020,40813,2704
5/6/2020,38548,2507
5/5/2020,36466,2271
5/4/2020,33959,2154
5/3/2020,32718,2061
5/2/2020,31366,1972
5/1/2020,29987,1859
4/30/2020,28222,1732
4/29/2020,26467,1569
4/28/2020,24670,1434
4/27/2020,22865,1351
4/26/2020,21873,1305
4/25/2020,20838,1221
4/24/2020,19241,1069
4/23/2020,17850,970
4/22/2020,16547,857
4/21/2020,15162,712
4/20/2020,13730,686
4/19/2020,13025,650
4/18/2020,12270,546
4/17/2020,11194,486
4/16/2020,10255,449
4/15/2020,9343,406
4/14/2020,8477,332
4/13/2020,7589,296
4/12/2020,7152,273
4/11/2020,6726,233
4/10/2020,6212,194
4/9/2020,5783,174
4/8/2020,5249,141
4/7/2020,4776,125
4/6/2020,4203,94
4/5/2020,3966,79
4/4/2020,3737,60
4/3/2020,3390,50
4/2/2020,3069,37
4/1/2020,2732,29
3/31/2020,2446,28
3/30/2020,2120,20
3/29/2020,1974,16
3/28/2020,1803,12
3/27/2020,1580,8
3/26/2020,1377,5
3/25/2020,1222,5
3/24/2020,1034,4
3/23/2020,899,2
3/22/2020,850,2
3/21/2020,782,2
3/20/2020,664,0
3/19/2020,516,0
3/18/2020,411,0
3/17/2020,314,0
3/16/2020,245,0
3/15/2020,209,0
3/14/2020,159,0
3/13/2020,98,0
3/12/2020,70,0
3/11/2020,42,0
3/10/2020,31,0
3/9/2020,29,0
3/8/2020,25,0
3/7/2020,24,0
3/6/2020,24,0
3/5/2020,22,0
3/4/2020,19,0
3/3/2020,16,0
3/2/2020,15,0
3/1/2020,15,0
2/29/2020,14,0
2/28/2020,11,0
2/27/2020,6,0
2/26/2020,6,0
2/25/2020,6,0
2/24/2020,4,0
2/23/2020,4,0
2/22/2020,3,0
2/21/2020,3,0
2/20/2020,3,0
2/19/2020,3,0
2/18/2020,3,0
2/17/2020,3,0
2/16/2020,3,0
2/15/2020,3,0
2/14/2020,3,0
2/13/2020,3,0
2/12/2020,3,0
2/11/2020,3,0
2/10/2020,2,0
2/9/2020,2,0
2/8/2020,2,0
2/7/2020,2,0
2/6/2020,2,0
2/5/2020,2,0
2/4/2020,2,0
2/3/2020,2,0
2/2/2020,2,0
2/1/2020,2,0
1/31/2020,2,0
1/30/2020,2,0
1/29/2020,1,0
1/28/2020,1,0
1/27/2020,1,0
1/26/2020,1,0
1/25/2020,1,0
1/24/2020,1,0
1/23/2020,1,0
1/22/2020,1,0
1/21/2020,1,0
1/20/2020,1,0
1/19/2020,1,0
1/18/2020,1,0
1/17/2020,1,0
1/16/2020,1,0
1/15/2020,1,0
1/14/2020,1,0
