Country,Theodore Roosevelt,William Howard Taft,Woodrow Wilson,Warren G. Harding,Calvin Coolidge,Franklin D. Roosevelt,Harry S. Truman,Dwight D. Eisenhower,John F. Kennedy,Lyndon B. Johnson,Richard Nixon,Gerald Ford,Jimmy Carter,Ronald Reagan,George H. W. Bush,Bill Clinton,George W. Bush,Barack Obama,Donald Trump,Unnamed: 20
Greece,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,1,1,-,-
Hungary,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,1,-,-,-
Iran,-,-,-,-,-,1,-,1,-,-,1,-,1,-,-,-,-,-,-,-
Palestine,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,1,-
South Africa,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,2,-,-
Venezuela,-,-,-,-,-,-,-,-,1,-,-,-,1,-,1,1,-,-,-,-
Bosnia & Herzegovina,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-
Croatia,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,1,-,-,-
Ghana,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-
Guatemala,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,1,-,-,-
Honduras,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,1,-,-,-,-
Jamaica,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,1,-,-
Latvia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-
Liberia,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,1,-,-,-
Malaysia,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,2,-,-
Malta,-,-,-,-,-,2,-,-,-,-,-,-,-,-,1,-,-,-,-,-
Martinique,-,-,-,-,-,1,-,-,-,-,-,1,-,-,1,-,-,-,-,-
Morocco,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,1,-,-,-,-
New Zealand,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,1,-,-,-,-
Nigeria,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,1,-,-,-
Peru,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,-,-
Serbia*,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-,-,-
Slovenia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-
Tanzania,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-
Tunisia,-,-,-,-,-,2,-,1,-,-,-,-,-,-,-,-,-,-,-,-
Algeria*,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Barbados,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-
Belarus*,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-
Botswana,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-
Bulgaria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-
Cuba,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
Estonia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-
Gambia,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Haiti,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-
Iceland,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-
Kosovo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-
Kuwait,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-
Myanmar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-
Nicaragua,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-
Norway,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-
Rwanda,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-
Sweden,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-
Syria,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-
Uganda,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-
Albania,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
Antigua & Barbuda*,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Bahrain,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
Bangladesh,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
Benin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
Brunei,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
Cambodia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
Ethiopia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
Georgia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
Grenada,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-
Guadeloupe,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
Kenya,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
Laos,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
Lithuania,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
Mongolia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
North Korea,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
North Macedonia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
Oman,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
Qatar,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
Saint Lucia,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Saint Martin,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
Slovakia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
Suriname,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-
Somalia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
Taiwan,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
United Arab Emirates,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
