Response,Total,Patients with symptoms,Patients with no symptoms
July 25,28786,-,-
July 24,27956,-,-
July 23,27029,-,-
July 22,26303,-,-
July 21,25736,-,-
July 20,25096,-,-
July 19,24642,-,-
July 18,24132,-,-
July 17,23473,-,-
July 16,22890,-,-
July 15,22508,-,-
July 14,22220,-,-
July 13,21868,-,-
July 12,21502,-,-
July 11,21129,-,-
July 10,20719,-,-
July 9,20371,-,-
July 8,20174,-,-
July 7,19981,-,-
July 6,19775,-,-
July 5,19522,-,-
July 4,19282,-,-
July 3,19068,-,-
July 2,18874,-,-
July 1,18723,-,-
June 30,18593,-,-
June 29,18476,-,-
June 28,18390,-,-
June 27,18297,-,-
June 26,18197,-,-
June 25,18110,-,-
June 24,18024,-,-
June 23,17968,-,-
June 22,17916,-,-
June 21,17864,-,-
June 20,17799,-,-
June 19,17740,-,-
June 18,17668,-,-
June 17,17628,-,-
June 16,17587,-,-
June 15,17502,-,-
June 14,17429,-,-
June 13,17382,-,-
June 12,17332,-,-
June 11,17292,-,-
June 10,17251,-,-
June 9,17210,-,-
June 8,17174,-,-
June 7,17141,-,-
June 6,17103,-,-
June 5,17064,-,-
June 4,17018,-,-
June 3,16986,-,-
June 2,16930,-,-
June 1,16884,-,-
May 31,16851,-,-
May 30,16804,-,-
May 29,16719,-,-
May 28,16683,-,-
May 27,16651,-,-
May 26,16623,-,-
May 25,16581,-,-
May 24,16550,-,-
May 23,16536,-,-
May 22,16513,-,-
May 21,16424,-,-
May 20,16385,-,-
May 19,16365,-,-
May 18,16305,-,-
May 17,16285,-,-
May 16,16237,-,-
May 15,16193,-,-
May 14,16079,-,-
May 13,16024,-,-
May 12,15874,-,-
May 11,15798,-,-
May 10,15747,-,-
May 9**,15649,-,-
May 8*,15547,9270,1143
May 7,15463,9200,1129
May 6,15354,9118,1121
May 5,15231,9053,1077
May 4,15057,8967,1069
May 3,14839,8848,1061
May 2,14544,8729,1053
May 1,14281,8642,1031
April 30,14088,8515,1011
April 29,13852,8352,975
April 28,13576,8223,956
April 27,13385,8097,940
April 26,13182,7941,907
April 25,12829,7787,820
April 24,12388,7577,805
April 23,11919,7315,778
April 22,11496,7096,760
April 21,11119,6869,733
April 20,10751,6656,704
April 19,10361,6353,685
April 18,9795,6056,660
April 17,9167,5738,634
April 16,8582,5354,608
April 15,8100,5036,581
April 14,7645,4794,561
April 13,7255,4552,531
April 12,6748,4302,507
April 11,6005,3914,450
April 10,5347,3485,424
April 9,4768,3109,396
April 8,4257,2806,360
April 7,3906,2586,348
April 6,3654,2429,340
April 5,3271,2239,324
April 4,2935,2051,311
April 3,2617,1838,287
April 2,2381,1723,272
April 1,2178,1623,244
March 31,1953,1494,233
March 30,1866,1446,210
March 29,1693,1378,182
March 28,1499,1277,154
March 27,1387,1212,148
March 26,1292,1140,144
March 25,1193,1055,130
March 24,1128,996,127
March 23,1089,960,126
March 22,1046,922,121
March 21,996,882,108
March 20,943,840,101
March 19,907,805,100
March 18,868,769,96
March 17,824,728,92
March 16,809,713,78
March 13,674,602,72
March 10,513,457,56
March 6,348,313,35
March 2,254,232,22
February 29,230,208,22
February 25,156,139,16
February 21,93,79,14
February 17,59,47,12
February 12,28,25,3
February 10,26,23,3
