Year,Total cases,Recoveries,Deaths
09/05/20,135894,62227,2846
09/04/20,133787,61649,2811
09/03/20,130951,60613,2761
09/02/20,128228,59676,2710
09/01/20,125798,58817,2656
08/31/20,123303,57802,2605
08/30/20,121215,57114,2557
08/29/20,119074,56734,2527
08/28/20,116978,56138,2492
08/27/20,114497,55083,2451
08/26/20,112059,54217,2403
08/25/20,110085,53454,2354
08/24/20,108415,52870,2318
08/23/20,106757,52524,2293
08/22/20,104958,52235,2271
08/21/20,102971,51735,2244
08/20/20,100643,51078,2207
08/19/20,98537,50441,2184
08/18/20,96403,49737,2144
08/17/20,94436,48925,2116
08/16/20,92820,48164,2089
08/15/20,91356,47822,2070
08/14/20,89719,47430,2044
08/13/20,87872,46797,2011
08/12/20,86140,46216,1992
08/11/20,84548,45686,1970
08/10/20,83115,44934,1951
08/09/20,81957,44359,1922
08/08/20,80949,43972,1897
08/07/20,79750,43655,1879
08/06/20,78261,43055,1852
08/05/20,76808,42524,1819
08/04/20,75490,41527,1788
08/03/20,74219,40613,1764
08/02/20,73158,39876,1738
08/01/20,72168,39543,1725
07/31/20,71056,39308,1709
07/30/20,69884,38752,1693
07/29/20,68794,38154,1673
07/28/20,67597,37394,1650
07/27/20,66575,36744,1629
07/26/20,65656,36122,1616
07/25/20,64849,35807,1605
07/24/20,63929,35497,1590
07/23/20,62823,34886,1571
07/22/20,61851,34000,1551
07/21/20,60995,33172,1534
07/20/20,60166,32199,1518
07/19/20,59493,31439,1498
07/18/20,58842,30879,1485
07/17/20,58111,30525,1477
07/16/20,57264,29769,1456
07/15/20,56455,28931,1445
07/14/20,55607,28131,1427
07/13/20,54771,27154,1412
07/12/20,54133,26503,1398
07/11/20,53521,26118,1383
07/10/20,52843,25661,1372
07/09/20,52043,24800,1345
07/08/20,51224,23784,1327
07/07/20,50414,23119,1306
07/06/20,49607,22193,1283
07/05/20,49043,21703,1262
07/04/20,48500,21376,1249
07/03/20,47677,21155,1227
07/02/20,46763,20558,1212
07/01/20,45889,20053,1185
06/30/20,44998,19548,1173
06/29/20,44334,19115,1159
06/28/20,43628,19027,1147
06/27/20,42982,18934,1129
06/26/20,42065,18701,1110
06/25/20,41117,18299,1086
06/24/20,40008,17758,1067
06/23/20,39014,17409,1051
06/22/20,38074,16956,1035
06/21/20,37241,16642,1012
06/20/20,36560,16509,1002
06/19/20,35825,16406,994
06/18/20,34984,16033,985
06/17/20,34063,15447,966
06/16/20,33234,14943,943
06/15/20,32476,14528,912
06/14/20,31810,14253,901
06/13/20,31154,14082,889
06/12/20,30506,13976,880
06/11/20,29753,13464,870
06/10/20,29070,13141,854
06/09/20,28381,12769,833
06/08/20,27856,12412,810
06/07/20,27462,12195,797
06/06/20,26999,12054,788
06/05/20,26514,11812,777
06/04/20,25964,11372,762
06/03/20,25411,11042,747
06/02/20,24823,10440,735
06/01/20,24340,10078,727
05/31/20,24012,9690,718
05/30/20,23672,9538,708
05/29/20,23204,9311,696
05/28/20,22811,8934,679
05/27/20,22872,8439,669
05/26/20,21905,7995,658
05/25/20,21584,7575,644
05/24/20,21245,7234,623
05/23/20,20986,7108,617
05/22/20,20580,6929,605
05/21/20,20148,6585,588
05/20/20,19706,6227,579
05/19/20,19230,5955,564
05/18/20,18876,5632,548
05/17/20,18616,5276,535
05/16/20,18291,5116,514
05/15/20,17858,4906,497
05/14/20,17330,4473,476
05/13/20,16847,4143,456
05/12/20,16425,3716,439
05/11/20,16023,3373,425
05/10/20,15648,3288,408
05/09/20,15232,3060,391
05/08/20,14710,2909,376
05/07/20,14195,2706,361
05/06/20,13691,2396,340
05/05/20,13184,2097,327
05/04/20,12697,1875,316
05/03/20,12331,1619,303
05/02/20,11913,1547,288
05/01/20,11411,1498,279
04/30/20,10861,1413,272
04/29/20,10406,1238,261
04/28/20,9866,1103,250
04/27/20,9410,992,239
04/26/20,9009,864,220
04/25/20,8617,840,209
04/24/20,8125,782,201
04/23/20,7647,601,193
04/22/20,7170,504,187
04/21/20,6592,424,174
04/20/20,6125,367,161
04/19/20,5710,359,151
04/18/20,5449,347,141
04/17/20,5106,275,133
04/16/20,4662,246,125
04/15/20,4161,186,116
04/14/20,3764,143,108
04/13/20,3372,119,98
04/12/20,3102,97,93
04/11/20,2777,89,83
04/10/20,2511,79,73
04/09/20,2203,61,69
04/08/20,1892,45,57
04/07/20,1668,35,52
04/06/20,1462,28,45
04/05/20,1319,28,38
04/04/20,1251,25,32
04/03/20,1096,23,26
04/02/20,942,19,23
04/01/20,804,13,20
03/31/20,669,10,17
03/30/20,549,8,13
03/29/20,480,6,2
03/28/20,418,5,-
03/27/20,311,5,-
03/26/20,218,4,-
03/25/20,156,1,-
03/24/20,114,1,-
03/23/20,106,1,-
03/22/20,99,1,-
03/21/20,86,1,-
03/20/20,70,-,-
03/19/20,49,-,-
03/18/20,33,-,-
03/17/20,22,-,-
03/16/20,20,-,-
03/15/20,17,-,-
03/14/20,13,-,-
03/13/20,10,-,-
03/12/20,6,-,-
03/10/20,4,-,-
03/06/20,3,-,-
02/29/20,1,-,-
