Year,Confirmed cases,Recoveries,Deaths
07/17/20,65782,57370,491
07/16/20,65623,56915,485
07/15/20,65443,56379,480
07/14/20,65269,55799,474
07/13/20,65114,55492,468
07/12/20,64932,55380,464
07/11/20,64767,54979,459
07/10/20,64604,54254,454
07/09/20,64411,53609,449
07/08/20,64224,52854,443
07/07/20,64003,51902,436
07/06/20,63804,51120,429
07/05/20,63554,50871,423
07/04/20,63270,50669,418
07/03/20,62997,49909,412
07/02/20,62698,48738,405
07/01/20,62424,47553,398
06/30/20,62118,46054,392
06/29/20,61790,45213,387
06/28/20,61475,45027,383
06/27/20,61095,44126,377
06/26/20,60713,42689,373
06/25/20,60382,41448,367
06/24/20,59945,40136,362
06/23/20,59487,38688,357
06/22/20,59023,37923,351
06/21/20,58505,37666,346
06/20/20,57936,36749,343
06/19/20,57333,35275,337
06/18/20,56657,34023,331
06/17/20,56032,32735,324
06/16/20,55369,31273,318
06/15/20,54680,30420,312
06/14/20,53973,30103,308
06/13/20,53421,29111,303
06/12/20,52520,27760,298
06/11/20,51816,26643,293
06/10/20,51066,25667,288
06/09/20,50265,24506,282
06/08/20,49453,23880,276
06/07/20,48630,23647,269
06/06/20,47751,23015,263
06/05/20,46868,22066,259
06/04/20,45981,21162,253
06/03/20,45116,20171,248
06/02/20,44255,19195,243
06/01/20,43403,18776,240
05/31/20,42556,18514,235
05/30/20,41658,17964,229
05/29/20,40764,17390,224
05/28/20,39858,16660,219
05/27/20,38956,15923,214
05/26/20,38059,15086,208
05/25/20,37144,14449,204
05/24/20,36198,14155,199
05/23/20,35244,13528,194
05/22/20,34303,12833,190
05/21/20,33371,12057,185
05/20/20,32426,11415,179
05/19/20,31508,10620,175
05/18/20,30572,10130,171
05/17/20,29650,9932,165
05/16/20,28681,9498,160
05/15/20,27730,8807,156
05/14/20,26772,8168,151
05/13/20,25825,7711,146
05/12/20,24873,6974,142
05/11/20,23906,6531,135
05/10/20,22973,6406,131
05/09/20,22052,6050,126
05/08/20,21101,5484,121
05/07/20,20168,5067,116
05/06/20,19255,4388,112
05/05/20,18350,3771,107
05/04/20,17489,3259,103
05/03/20,16705,3196,99
05/02/20,15828,3117,97
05/01/20,14917,2918,93
04/30/20,14027,2386,89
04/29/20,13181,2072,84
04/28/20,12208,1993,79
04/27/20,11289,1740,75
04/26/20,10463,1695,72
04/25/20,9590,1573,67
04/24/20,8773,1120,63
04/23/20,8022,938,60
04/22/20,7281,769,58
04/21/20,6723,577,55
04/20/20,6264,514,51
04/19/20,5807,494,47
04/18/20,5297,458,45
04/17/20,4779,342,42
04/16/20,4204,-,40
04/15/20,3728,-,36
04/14/20,3281,-,33
04/13/20,3151,203,29
04/12/20,2807,203,26
04/11/20,2226,172,23
04/10/20,1981,169,19
04/09/20,1486,139,16
04/08/20,1066,77,13
04/07/20,861,54,13
04/06/20,700,53,13
04/05/20,562,52,8
04/04/20*,440,41,5
04/03/20,351,-,4
04/02/20*,304,46,4
04/01/20,-,-,2
03/31/20,-,-,1
03/30/20,152,-,-
03/27/20,94,32,-
03/25/20,86,29,-
03/23/20,81,22,-
03/21/20,76,15,-
03/20/20,54,15,-
03/18/20,51,5,-
03/16/20,36,3,-
03/14/20,27,3,-
03/12/20,21,3,-
03/11/20,12,3,-
03/10/20,9,3,-
03/07/20,6,1,-
03/04/20,6,-,-
03/03/20,4,-,-
03/01/20,3,-,-
02/28/20,1,-,-
