Month,Chrome,Safari,Samsung internet,Firefox,Opera,UC Browser*,Android,Edge,Nokia,IE Mobile
Sep 16,42.55%,27.36%,18.24%,0.24%,0.86%,1.71%,6.39%,0.4%,0.03%,1.74%
Jul 16*,42.92%,27.94%,16.11%,0.28%,1.01%,1.68%,7.25%,0.36%,0.03%,1.91%
May 16,41.4%,28.28%,15.25%,0.3%,1.1%,2.47%,8.16%,0.28%,0.05%,2.16%
Mar 16,40.67%,27.5%,14.77%,0.29%,1.55%,2.48%,9.75%,0.17%,0.05%,2.25%
Jan 16,51.56%,28.67%,0%,0.3%,1.3%,2.06%,12.7%,0.11%,0.05%,2.46%
Nov 15,50.76%,28.09%,-,0.31%,1.24%,1.81%,14.44%,0.03%,0.06%,2.52%
Sep 15,47.83%,27.46%,-,1.27%,1.44%,1.87%,16.6%,0.02%,0.08%,2.69%
Jul 15,45.41%,27.72%,-,1.53%,1.25%,1.99%,18.71%,0.01%,0.1%,2.54%
May 15,44.48%,27.62%,-,1.65%,1.04%,1.6%,20.28%,0%,0.1%,2.51%
Mar 15,43.68%,26.94%,-,1.54%,0.98%,1.18%,22.37%,-,0.15%,2.44%
Jan 15,41.66%,27.44%,-,1.5%,0.9%,0.9%,24.41%,-,0.15%,2.28%
Nov 14,43.93%,25%,-,1.26%,0.66%,0.39%,25.63%,-,0.13%,2.25%
Sep 14,40.82%,24.19%,-,1.65%,0.77%,0.22%,29.35%,-,0.19%,2.05%
Jul 14,35.08%,26%,-,1.76%,0.95%,0.14%,32.92%,-,0.21%,2.14%
May 14,28.77%,28.47%,-,1.61%,0.86%,0.14%,36.47%,-,0.2%,2.03%
Mar 14,22.98%,30.07%,-,1.41%,1.29%,0.27%,40.6%,-,0.35%,2.5%
Jan 14,16.01%,31.5%,-,1.43%,1.29%,0.26%,45.64%,-,0.42%,2.63%
Nov 13,11.68%,32.25%,-,1.47%,1.39%,0.36%,49%,-,0.48%,2.4%
Sep 13,8.73%,32.15%,-,1.39%,1.81%,0.37%,51.54%,-,0.62%,2.25%
Jul 13,6.55%,34.04%,-,1.43%,1.89%,0.4%,51.17%,-,0.73%,2.27%
May 13,4.47%,34.66%,-,1.29%,3.16%,0.34%,"5,139%",-,0.92%,1.96%
Mar 13,3.19%,34.5%,-,1.21%,3.69%,0.29%,52.24%,-,0.99%,1.82%
Jan 13,2.03%,34.94%,-,1.22%,4.74%,0.28%,51.26%,-,1.12%,2.13%
Nov 12,1.08%,36.38%,-,1.13%,5.11%,0.25%,50.11%,-,1.32%,2.07%
Sep 12,0.89%,36.63%,-,1.07%,7.12%,0.16%,47.34%,-,1.61%,2.08%
Jul 12,1.13%,39.45%,-,0.56%,7.85%,0.14%,43.8%,-,1.8%,1.92%
May 12,0.14%,42.3%,-,0.71%,10.82%,0.16%,37.88%,-,2.27%,1.64%
Mar 12,0.1%,47.67%,-,0.73%,6.47%,0.13%,36.01%,-,3.04%,1.61%
Jan 12,-,47.48%,-,0.78%,5.67%,0.1%,36.46%,-,3.11%,1.45%
Nov 11,-,48.59%,-,0.44%,6.24%,0.11%,34.16%,-,3.73%,1.55%
Sep 11,-,49.64%,-,-,5.68%,0.03%,32.62%,-,4.5%,1.68%
Jul 11,-,53.37%,-,-,5.76%,0.01%,27.46%,-,4.77%,1.68%
May 11,-,56.16%,-,-,5.2%,-,24.73%,-,4.91%,1.52%
Mar 11,-,57.49%,-,-,5.63%,-,21.91%,-,5.79%,1.16%
Jan 11,-,58.78%,-,-,5.82%,-,19.72%,-,5.86%,0.67%
Nov 10,-,59.85%,-,-,6.46%,-,16.15%,-,7.03%,-
Sep 10,-,59.03%,-,-,7.91%,-,13.11%,-,8.18%,-
Jul 10,-,59.84%,-,-,9.27%,-,9.17%,-,9.23%,-
May 10,-,62.36%,-,-,8.69%,-,5.8%,-,12.44%,-
Mar 10,-,62.98%,-,-,6.95%,-,5.56%,-,12.12%,-
Jan 10,-,64.99%,-,-,6.32%,-,3.48%,-,12.6%,-
Nov 09,-,62.12%,-,-,6.82%,-,3.53%,-,14.81%,-
Sep 09,-,61.23%,-,-,8.29%,-,3.38%,-,14.82%,-
Jul 09,-,66.02%,-,-,8.29%,-,1.45%,-,13.07%,-
May 09,-,70.94%,-,-,6.37%,-,0.25%,-,11.66%,-
Mar 09,-,72.37%,-,-,5.14%,-,0.9%,-,11.23%,-
Jan 09,-,65.11%,-,-,7.04%,-,0.08%,-,13.43%,-
