Country,Confirmed deaths (absolute),Deaths in last 7 days,Daily increase (# deaths),Population (in millions),Deaths per million (total),Deaths per million (last 7 days)
Malaysia,422,29,3,31.95,13.21,0.91
Cuba,137,1,0,11.33,12.09,0.09
South Korea,612,48,12,51.71,11.84,0.93
Angola,372,14,0,31.83,11.69,0.44
Ghana,327,1,0,30.42,10.75,0.03
Mali,205,24,4,19.66,10.43,1.22
Malawi,187,1,0,18.63,10.04,0.05
Madagascar,259,4,0,26.97,9.6,0.15
Sierra Leone,75,1,0,7.81,9.6,0.13
Tajikistan,88,0,0,9.32,9.44,0.0
Togo,66,1,0,8.08,8.17,0.12
Mauritius,10,0,0,1.27,7.9,0.0
Somalia,121,0,0,15.44,7.84,0.0
Sri Lanka,154,10,0,21.8,7.06,0.46
Chad,102,0,0,15.95,6.4,0.0
Guinea,80,1,0,12.77,6.26,0.08
Nigeria,1200,16,3,200.96,5.97,0.08
South Sudan,62,0,0,11.06,5.6,0.0
Cote d'Ivoire,133,0,0,25.72,5.17,0.0
Singapore,29,0,0,5.7,5.08,0.0
New Zealand,25,0,0,4.92,5.08,0.0
Uganda,225,6,1,44.27,5.08,0.14
Mozambique,144,6,1,30.37,4.74,0.2
Rwanda,57,4,1,12.63,4.51,0.32
Congo (Kinshasa),358,8,2,86.79,4.12,0.09
Benin,44,0,0,11.8,3.73,0.0
Burkina Faso,73,4,2,20.32,3.59,0.2
Niger,82,3,0,23.31,3.52,0.13
China,4757,9,3,1397.72,3.4,0.01
Papua New Guinea,8,1,0,8.78,0.91,0.11
Thailand,60,0,0,69.63,0.86,0.0
Vietnam,35,0,0,96.46,0.36,0.0
Tanzania,21,0,0,58.01,0.36,0.0
Burundi,1,0,0,11.53,0.09,0.0
