Year,Confirmed cases,Deaths,Recoveries
Jun 27,248469,28342,-
Jun 26,247905,28338,-
Jun 25,247486,28330,-
Jun 24,247086,28327,-
Jun 23,246752,28325,-
Jun 22,246504,28324,-
Jun 21,246272,28323,-
Jun 20,245938,28322,-
Jun 19,245575,28315,-
Jun 18,245268,27136,-
Jun 17,244683,27136,-
Jun 16,244328,27136,-
Jun 15,244109,27136,-
Jun 14,243928,27136,-
Jun 13,243605,27136,-
Jun 12,243209,27136,-
Jun 11,242707,27136,-
Jun 10,242289,27136,-
Jun 9,241966,27136,-
Jun 8,241717,27136,-
Jun 7,241550,27136,-
Jun 6,241310,27135,-
Jun 5,240978,27134,-
Jun 4,240660,27133,-
Jun 3,240326,27128,-
Jun 2,239932,27127,-
Jun 1,239638,27127,-
May 31,239429,27127,-
May 30,239228,27125,-
May 29,238564,27121,-
May 28,237906,27119,-
May 27,236769,27118,-
May 26,236259,27117,-
May 25,235400,26834,-
May 24,235772,28752,-
May 23,235290,28678,-
May 21,233037,27940,-
May 20,232555,27888,-
May 19,232037,27778,-
May 18**,231606,27709,150376
May 17,231350,27650,149576
May 16,230698,27563,146446
May 15,230183,27459,144783
May 14,229540,27321,143374
May 13,228691,27104,140823
May 12,228030,26920,138930
May 11,227436,26744,137139
May 10,224390,26621,136166
May 9,223578,26478,133952
May 8,222857,26299,131148
May 7,221447,26070,128511
May 6,220325,25857,126002
May 5,219329,25613,123486
May 4,218011,25428,121343
May 3,217466,25264,118902
May 2,216582,25100,117248
May 1,215435,24824,114897
Apr 30,213435,24543,112050
Apr 29,212917,24275,108497
Apr 28,210773,23822,102548
Apr 27,209465,23521,100875
Apr 26,207634,23190,98732
Apr 25*,223759,22902,95708
Apr 24,219764,22524,92355
Apr 23,213024,22157,89250
Apr 22,208389,21717,85915
Apr 21,204178,21282,82514
Apr 20,200210,20852,80587
Apr 19,195944,20453,77357
Apr 18,191726,20043,74662
Apr 17,188068,19478,72963
Apr 16,182816,19130,74797
Apr 15,177633,18579,70853
Apr 14,172541,18056,67504
Apr 13,169496,17489,64727
Apr 12,166019,16972,62391
Apr 11,161852,16353,59109
Apr 10,157022,15843,55668
Apr 9,152446,15238,52165
Apr 8,146690,14555,48021
Apr 7,140510,13798,43208
Apr 6,135032,13055,40437
Apr 5,130759,12418,38080
Apr 4,124736,11744,34219
Apr 3,117710,10935,30513
Apr 2,110238,10003,26743
Apr 1,102136,9053,22647
Mar 31,94417,8189,19259
Mar 30,85195,7340,16780
Mar 29,78797,6528,14709
Mar 28,72248,5690,12285
Mar 27,64059,4858,9357
Mar 26,56188,4089,7015
Mar 25,47610,3434,5367
Mar 24,39673,2696,3794
Mar 23,33089,2182,3355
Mar 22,28572,1720,2575
Mar 21,24926,1326,2125
Mar 20,19980,1002,1588
Mar 19,17147,767,1107
Mar 18,13716,598,1081
Mar 17,11178,491,1028
Mar 16,9191,309,530
Mar 15,7753,288,517
Mar 14,5753,136,517
Mar 13,4231,121,193
Mar 12,2965,84,189
Mar 11,2140,48,183
Mar 10,1639,36,135
Mar 9,1204,28,23
Mar 6,365,5,-
Mar 5,237,3,-
Mar 4,197,1,-
Mar 3,114,-,-
Feb 28,31,-,-
Feb 27,16,-,-
Feb 26,7,-,-
Feb 25,3,-,-
Feb 12,2,-,-
