Month,Confirmed,Deaths,Recovered
Sep 8,495,7,475
Sep 7,494,7,475
Sep 6,493,7,473
Sep 5,492,7,473
Sep 4,490,7,471
Sep 3,489,7,471
Sep 2,489,7,471
Sep 1,488,7,462
Aug 31,488,7,462
Aug 30,488,7,462
Aug 29,488,7,462
Aug 28,487,7,462
Aug 27,487,7,462
Aug 26,487,7,462
Aug 25,487,7,457
Aug 24,487,7,457
Aug 23,487,7,457
Aug 22,487,7,457
Aug 21,487,7,457
Aug 20,486,7,457
Aug 19,486,7,-
Aug 18,486,7,450
Aug 17,485,7,450
Aug 16,484,7,450
Aug 15,482,7,450
Aug 14,481,7,450
Aug 13,481,7,450
Aug 12,481,7,450
Aug 11,477,7,441
Aug 10,477,7,441
Aug 9,477,7,441
Aug 8,477,7,441
Aug 7,477,7,441
Aug 6,477,7,441
Aug 5,477,7,441
Aug 4,476,7,441
Aug 3,475,7,441
Aug 2,474,7,441
Aug 1,474,7,441
Jul 31,467,7,441
Jul 30,467,7,440
Jul 29,467,7,440
Jul 28,467,7,440
Jul 27,462,7,440
Jul 26,458,7,440
Jul 25,458,7,440
Jul 24,458,7,440
Jul 23,455,7,440
Jul 22,455,7,440
Jul 21,455,7,440
Jul 20,455,7,440
Jul 19,455,7,440
Jul 18,454,7,440
Jul 17,454,7,440
Jul 16,452,7,440
Jul 15,451,7,440
Jul 14,451,7,440
Jul 13,451,7,440
Jul 12,451,7,438
Jul 11,451,7,438
Jul 10,451,7,438
Jul 9,449,7,438
Jul 8,449,7,438
Jul 7,449,7,438
Jul 6,449,7,438
Jul 5,449,7,438
Jul 4,449,7,438
Jul 3,449,7,438
Jul 2,448,7,438
Jul 1,447,7,438
Jun 30,447,7,437
Jun 29,447,7,435
Jun 28,447,7,435
Jun 27,447,7,435
Jun 26,447,7,435
Jun 25,447,7,435
Jun 24,446,7,435
Jun 23,446,7,435
Jun 22,446,7,435
Jun 21,446,7,434
Jun 20,446,7,434
Jun 19,446,7,434
Jun 18,446,7,434
Jun 17,445,7,434
Jun 16,445,7,433
Jun 15,443,7,433
Jun 14,443,7,431
Jun 13,443,7,431
Jun 12,443,7,431
Jun 11,443,7,431
Jun 10,443,7,431
Jun 9,443,7,431
Jun 8,443,7,430
Jun 7,443,7,430
Jun 6,443,7,429
Jun 5,443,7,429
Jun 4,443,7,428
Jun 3,443,7,428
Jun 2,443,7,427
Jun 1,443,7,427
May 31,442,7,423
May 30,442,7,421
May 29,441,7,420
May 28,441,7,420
May 27,441,7,419
May 26,441,7,416
May 25,441,7,415
May 24,441,7,414
May 23,441,7,411
May 22,441,7,408
May 21,441,7,407
May 20,440,7,402
May 19,440,7,401
May 18,440,7,398
May 17,440,7,395
May 16,440,7,389
May 15,440,7,387
May 14,440,7,383
May 13,440,7,375
May 12,440,7,372
May 11,440,7,368
May 10,440,6,366
May 9,440,6,361
May 8,440,6,355
May 7,440,6,347
May 6,439,6,339
May 5,438,6,334
May 4,438,6,334
May 3,436,6,332
May 2,432,6,324
May 1,429,6,324
Apr 30,429,6,322
Apr 29,429,6,311
Apr 28,429,6,307
Apr 27,429,6,290
Apr 26,429,6,281
Apr 25,429,6,275
Apr 24,428,6,264
Apr 23,427,6,253
Apr 22,426,6,236
Apr 21,425,6,217
Apr 20,422,6,203
Apr 19,420,6,189
Apr 18,398,6,178
Apr 17,395,6,166
Apr 16,395,6,155
Apr 15,395,6,124
Apr 14,393,6,124
Apr 13,393,6,114
Apr 12,388,6,109
Apr 11,385,6,99
Apr 10,382,6,91
Apr 9,380,5,80
Apr 8,379,5,67
Apr 7,376,5,61
Apr 6,373,5,57
Apr 5,363,5,54
Apr 4,355,5,50
Apr 3,348,5,50
Apr 2,339,5,45
Apr 1,329,5,39
Mar 31,322,5,39
Mar 30,306,5,39
Mar 29,298,3,39
Mar 28,283,2,30
Mar 27,267,2,30
Mar 26,252,2,29
Mar 25,235,2,29
Mar 24,216,2,29
Mar 23,195,2,29
Mar 22,169,2,28
Mar 21,153,2,28
Mar 20,135,2,28
Mar 19,108,1,26
Mar 18,100,1,22
Mar 17,77,1,22
Mar 16,67,1,22
Mar 15,59,1,20
Mar 14,53,1,20
Mar 13,50,1,20
Mar 12,49,1,20
Mar 11,48,1,17
Mar 10,47,1,17
Mar 9,45,1,15
Mar 8,45,1,15
Mar 7,45,1,13
Mar 6,45,1,12
Mar 5,44,1,12
Mar 4,42,1,12
Mar 3,42,1,12
Mar 2,41,1,12
Mar 1,40,1,12
Feb 29,39,1,9
Feb 28,34,1,9
Feb 27,32,1,6
Feb 26,32,1,5
Feb 25,31,1,5
Feb 24,30,1,5
Feb 23,28,1,5
Feb 22,26,1,2
Feb 21,24,1,2
Feb 20,24,1,2
Feb 19,24,1,2
Feb 18,22,1,2
Feb 17,22,1,2
Feb 16,20,1,2
Feb 15,18,0,2
Feb 14,18,0,1
Feb 13,18,0,1
Feb 12,18,0,1
Feb 11,18,0,1
Feb 10,18,0,1
Feb 9,18,0,1
Feb 8,17,0,1
Feb 7,16,0,1
Feb 6,16,0,1
Feb 5,11,0,0
Feb 4,11,0,0
Feb 3,10,0,0
Feb 2,10,0,0
Feb 1,10,0,0
Jan 31,10,0,0
Jan 30,9,0,0
Jan 29,8,0,0
Jan 28,8,0,0
Jan 27,5,0,0
Jan 26,4,0,0
Jan 25,3,0,0
Jan 24,3,0,0
Jan 23,1,0,0
Jan 22,1,0,0
