Month,Confirmed,Deaths,Recovered
Jun 29,1203,7,1105
Jun 28,1199,7,1104
Jun 27,1197,7,1095
Jun 26,1196,7,1091
Jun 25,1193,7,1088
Jun 24,1179,6,1086
Jun 23,1177,6,1083
Jun 22,1161,5,1078
Jun 21,1131,5,1078
Jun 20,1128,5,1077
Jun 19,1127,4,1074
Jun 18,1124,4,1072
Jun 17,1120,4,1071
Jun 16,1112,4,1069
Jun 15,1112,4,1067
Jun 14,1109,4,1067
Jun 13,1109,4,1061
Jun 12,1108,4,1060
Jun 11,1107,4,1055
Jun 10,1107,4,1051
Jun 9,1107,4,1050
Jun 8,1107,4,1049
Jun 7,1106,4,1049
Jun 6,1105,4,1048
Jun 5,1102,4,1045
Jun 4,1099,4,1042
Jun 3,1093,4,1039
Jun 2,1093,4,1038
Jun 1,1087,4,1037
May 31,1084,4,1037
May 30,1082,4,1036
May 29,1079,4,1035
May 28,1066,4,1035
May 27,1066,4,1034
May 26,1065,4,1033
May 25,1065,4,1030
May 24,1065,4,1030
May 23,1065,4,1029
May 22,1065,4,1029
May 21,1063,4,1029
May 20,1055,4,1026
May 19,1055,4,1025
May 18,1055,4,1025
May 17,1055,4,1024
May 16,1052,4,1022
May 15,1052,4,1019
May 14,1051,4,1009
May 13,1050,4,1008
May 12,1047,4,991
May 11,1047,4,985
May 10,1047,4,982
May 9,1044,4,967
May 8,1044,4,960
May 7,1044,4,944
May 6,1040,4,932
May 5,1040,4,920
May 4,1040,4,900
May 3,1039,4,879
May 2,1039,4,864
May 1,1039,4,859
Apr 30,1037,4,846
Apr 29,1037,4,830
Apr 28,1037,4,811
Apr 27,1037,4,787
Apr 26,1037,4,772
Apr 25,1037,4,753
Apr 24,1035,4,725
Apr 23,1035,4,699
Apr 22,1033,4,678
Apr 21,1029,4,650
Apr 20,1025,4,630
Apr 19,1025,4,602
Apr 18,1023,4,568
Apr 17,1021,4,533
Apr 16,1017,4,485
Apr 15,1016,4,459
Apr 14,1012,4,434
Apr 13,1009,4,397
Apr 12,1004,4,360
Apr 11,1000,4,336
Apr 10,989,4,309
Apr 9,973,4,293
Apr 8,960,4,264
Apr 7,935,4,236
Apr 6,914,4,216
Apr 5,890,4,206
Apr 4,862,4,173
Apr 3,845,4,173
Apr 2,802,4,147
Apr 1,765,4,147
Mar 31,714,4,128
Mar 30,682,4,124
Mar 29,641,4,118
Mar 28,582,4,118
Mar 27,518,4,111
Mar 26,453,4,110
Mar 25,410,4,106
Mar 24,386,4,102
Mar 23,356,4,101
Mar 22,317,4,100
Mar 21,273,4,100
Mar 20,256,4,98
Mar 19,208,4,98
Mar 18,192,4,95
Mar 17,167,4,92
Mar 16,157,4,88
Mar 15,149,4,84
Mar 14,141,4,81
Mar 13,137,4,78
Mar 12,131,3,75
Mar 11,129,3,67
Mar 10,120,3,65
Mar 9,115,3,60
Mar 8,114,3,59
Mar 7,109,2,55
Mar 6,107,2,51
Mar 5,105,2,46
Mar 4,105,2,43
Mar 3,100,2,37
Mar 2,100,2,36
Mar 1,98,2,36
Feb 29,95,2,33
Feb 28,94,2,30
Feb 27,93,2,26
Feb 26,91,2,24
Feb 25,85,2,18
Feb 24,81,2,19
Feb 23,74,2,12
Feb 22,69,2,11
Feb 21,68,2,6
Feb 20,68,2,5
Feb 19,65,2,5
Feb 18,62,1,4
Feb 17,60,1,2
Feb 16,57,1,2
Feb 15,56,1,1
Feb 14,56,1,1
Feb 13,53,1,1
Feb 12,50,1,1
Feb 11,49,1,0
Feb 10,42,1,0
Feb 9,36,1,0
Feb 8,26,1,0
Feb 7,26,1,0
Feb 6,24,1,0
Feb 5,21,1,0
Feb 4,18,1,0
Feb 3,15,0,0
Feb 2,15,0,0
Feb 1,14,0,0
Jan 31,13,0,0
Jan 30,12,0,0
Jan 29,10,0,0
Jan 28,8,0,0
Jan 27,8,0,0
Jan 26,8,0,0
Jan 25,5,0,0
Jan 24,5,0,0
Jan 23,2,0,0
Jan 22,1,0,0
