Month,Patients with symptoms,Need inpatient treatment,Already discharged from hospital/end of medical treatment,Number of deaths
July 18,-,3777,19366,985
July 19,-,4091,19576,985
July 20,-,4348,19757,985
July 21,-,4591,20155,988
July 22,-,4668,20651,989
July 23,-,5002,21035,990
July 24,-,5635,21328,992
July 25,-,6220,21567,993
July 26,-,6597,21762,996
July 27,-,6861,22116,996
July 28,-,7131,22811,998
July 29,-,7379,23507,1001
July 30,-,7846,24179,1004
July 31,-,8408,24929,1006
August 1,-,9294,25506,1011
August 2,-,9781,25906,1011
August 3,-,10783,26487,1012
August 4,-,11347,27197,1016
August 5,-,12055,28028,1022
August 6,-,12308,28877,1026
August 7,-,12568,30153,1033
August 8,-,12954,31307,1039
August 9,-,13435,32312,1040
August 10,-,14063,33058,1047
August 11,-,14160,33975,1052
August 12,-,14054,34888,1059
August 13,-,13712,36134,1063
August 14,-,13428,37479,1073
August 15,-,13338,38945,1085
August 16,-,13418,40080,1088
August 17,-,13320,41196,1099
August 18,-,13062,42284,1115
August 19,-,12357,43835,1128
August 20,-,11925,45266,1144
August 21,-,11922,46467,1155
August 22,-,11764,47622,1169
August 23,-,11873,48550,1176
August 24,-,11846,49340,1181
August 25,-,11330,50341,1196
August 26,-,10754,51688,1209
August 27,-,10418,52823,1226
August 28,-,10205,53995,1238
August 29,-,9783,55341,1255
August 30,-,9785,56164,1264
August 31,-,9743,56802,1279
September 1,-,9238,57823,1296
September 2,-,9219,58428,1307
September 3,-,8720,59524,1319
September 4,-,8483,60417,1330
September 5,-,8062,61445,1349
September 6,-,8015,62076,1357
September 7,-,7979,62536,1363
September 8,-,7555,63282,1377
September 9,-,7215,64100,1393
September 10,-,6959,64835,1406
September 11,-,6884,65590,1412
September 12,-,6814,66280,1423
September 13,-,6892,66899,1439
September 14,-,6962,67742,1442
September 15,-,6673,67831,1451
September 16,-,6433,68532,1461
September 17,-,6267,69253,1473
September 18,-,6115,69899,1482
September 19,-,6122,70495,1495
September 20,-,6121,71030,1500
September 21,-,6230,71404,1500
September 22,-,6273,71648,1508
September 23,-,6238,71981,1512
September 24,-,5989,72538,1520
September 25,-,5465,73490,1532
September 26,-,5349,74151,1540
September 27,-,5520,74607,1545
September 28,-,5579,74990,1548
September 29,-,5459,75459,1557
September 30,-,5409,76025,1564
October 1,-,5381,76590,1571
October 2,-,5406,77219,1578
October 3,-,5365,77807,1590
October 4,-,5411,78315,1597
October 5,-,5495,78609,1599
October 6,-,5351,79071,1602
October 7,-,5225,79676,1605
October 8,-,5157,80227,1613
October 9,-,5266,80733,1616
October 10,-,5230,81356,1624
October 11,-,5414,81824,1627
October 12,-,5570,82113,1629
October 13,-,5377,82621,1634
October 14,-,5296,83158,1638
October 15,-,5188,83837,1646
October 16,-,5310,84451,1650
October 17,-,5346,85030,1661
October 18,-,5471,85485,1670
October 19,-,5498,85941,1674
October 20,-,5285,86513,1676
October 21,-,5137,87107,1679
October 22,-,5137,87666,1685
October 23,-,5172,88245,1694
October 24,-,5322,88787,1706
October 25,-,5532,89282,1711
October 26,-,5601,89709,1718
October 27,-,5600,90148,1725
October 28,-,5542,90807,1730
October 29,-,5735,91322,1733
October 30,-,5937,91890,1744
October 31,-,6106,92475,1755
November 1,-,6349,92960,1766
November 2,-,6585,93383,1774
November 3,-,6576,93855,1780
November 4,-,6737,94295,1786
November 5,-,6815,95113,1794
November 6,-,7179,95756,1806
November 7,-,7601,96461,1809
November 8,-,8022,97197,1812
November 9,-,8480,97654,1818
November 10,-,8828,98274,1829
November 11,-,9162,99108,1841
November 12,-,9791,100005,1851
November 13,-,10376,101018,1867
November 14,-,11056,101989,1880
November 15,-,11903,102837,1883
November 16,-,12499,103674,1885
November 17,-,12698,104637,1903
November 18,-,13118,105697,1913
November 19,-,13965,106954,1922
November 20,-,14832,108423,1943
November 21,-,15751,109892,1963
November 22,-,16957,111163,1974
November 23,-,18019,112269,1981
November 24,-,18513,113340,1989
November 25,-,18517,114725,2001
November 26,-,18692,116378,2002
November 27,-,19227,118135,2051
November 28,-,19646,120259,2074
November 29,-,21144,121891,2106
November 30,-,21069,123445,2119
December 1,-,21056,125470,2139
December 2,-,20742,127304,2172
December 3,-,21180,129241,2213
December 4,-,21704,131176,2240
