Year,Brazil,Mexico,Russia,India,Indonesia,Italy,France,United States,United Kingdom
12-Jun,985,486,164,307,40,68,40,801,134
13-Jun,972,468,170,320,40,64,38,789,116
14-Jun,970,480,158,324,41,65,37,805,111
15-Jun,982,492,156,341,40,64,36,745,107
16-Jun,975,504,160,348,45,58,32,731,104
17-Jun,976,523,163,594,44,52,36,708,93
18-Jun,976,532,160,591,45,48,37,685,86
19-Jun,976,543,180,582,48,50,37,659,84
20-Jun,1018,564,180,581,46,48,35,635,78
21-Jun,1037,558,168,580,48,44,34,612,73
22-Jun,1041,669,166,597,47,41,33,606,73
23-Jun,1045,715,159,587,43,41,32,611,71
24-Jun,1058,724,154,368,43,39,25,609,67
25-Jun,1046,752,148,380,42,32,22,609,64
26-Jun,1032,759,116,390,40,28,21,855,69
27-Jun,1001,769,116,391,44,25,23,847,68
28-Jun,1013,800,138,406,42,20,21,831,63
29-Jun,1001,689,137,397,41,19,20,833,63
30-Jun,1006,648,137,412,44,17,21,820,64
1-Jul,993,627,137,418,49,18,18,883,58
2-Jul,972,595,146,420,52,21,19,869,60
3-Jul,988,590,154,416,52,20,18,618,51
4-Jul,1030,581,154,424,50,18,16,628,47
5-Jul,1028,569,151,453,53,20,16,591,46
6-Jul,1035,570,155,460,60,18,16,592,45
7-Jul,1025,571,161,467,62,18,15,595,43
8-Jul,1021,606,168,463,62,19,13,581,43
9-Jul,1047,612,162,471,61,18,15,607,38
10-Jul,1043,620,166,484,61,15,15,650,36
11-Jul,1032,621,165,495,62,15,16,666,34
12-Jul,1029,623,168,487,64,13,16,734,32
13-Jul,1033,624,168,497,62,13,16,751,30
14-Jul,1049,619,163,510,59,14,16,757,30
15-Jul,1056,616,160,524,57,12,14,712,29
16-Jul,1057,587,158,541,63,12,22,730,24
17-Jul,1072,578,156,571,65,13,23,724,23
18-Jul,1065,588,158,593,70,13,21,738,22
19-Jul,1043,594,149,592,69,14,21,758,21
20-Jul,1055,597,144,618,77,13,21,761,21
21-Jul,1041,577,141,622,83,13,19,757,21
22-Jul,1051,582,138,632,87,13,19,800,19
23-Jul,1058,612,139,707,95,12,7,824,17
24-Jul,1056,619,136,714,100,11,6,841,15
25-Jul,1055,619,132,726,101,10,6,897,16
26-Jul,1097,641,135,750,100,9,6,906,17
27-Jul,1074,642,132,753,91,9,6,914,17
28-Jul,1071,648,132,763,86,8,6,1015,16
29-Jul,1007,639,132,780,83,7,8,1027,15
30-Jul,1052,596,133,730,74,7,9,1075,17
31-Jul,1026,585,130,735,69,6,10,1118,16
1-Aug,1034,578,131,736,67,6,10,1110,14
2-Aug,1016,585,124,757,68,6,10,1141,14
3-Aug,1014,581,123,766,65,7,10,1132,14
4-Aug,1007,570,122,788,66,8,12,1056,13
5-Aug,1040,570,121,800,70,7,10,1079,13
6-Aug,1017,620,123,819,68,7,10,1078,10
7-Aug,1033,645,115,834,66,8,8,1148,13
8-Aug,1014,660,109,858,66,7,8,1149,12
9-Aug,988,648,114,859,66,8,8,1140,10
10-Aug,992,650,115,893,70,7,8,1154,10
11-Aug,1012,713,122,903,66,6,7,1151,13
12-Aug,1030,723,111,899,62,6,8,1104,12
13-Aug,992,710,104,905,64,6,9,1110,13
14-Aug,996,682,111,922,64,6,11,1001,13
15-Aug,993,657,110,931,61,6,12,1013,13
16-Aug,965,648,109,943,59,27,12,1008,13
17-Aug,972,637,108,934,61,27,12,1016,13
18-Aug,969,574,97,934,63,27,13,1005,10
19-Aug,980,549,106,971,65,27,14,1041,10
20-Aug,986,545,104,976,63,27,14,1021,10
21-Aug,977,545,102,973,64,27,13,1021,8
22-Aug,976,529,99,965,68,28,14,994,7
23-Aug,1003,530,99,961,75,5,15,983,9
24-Aug,985,532,100,946,76,6,15,965,9
25-Aug,968,540,101,942,79,6,14,969,9
26-Aug,956,525,99,937,83,6,13,952,10
27-Aug,938,514,99,944,85,7,11,934,10
28-Aug,906,498,101,954,92,6,14,938,11
29-Aug,878,505,104,965,96,6,13,910,12
30-Aug,887,509,102,970,95,6,13,917,11
31-Aug,869,525,101,990,95,6,13,895,10
1-Sep,867,516,104,977,94,6,15,903,10
2-Sep,859,542,104,983,92,7,17,886,8
3-Sep,874,534,104,986,96,6,20,861,7
4-Sep,852,534,103,992,98,6,16,853,7
5-Sep,860,529,105,1002,95,7,13,856,7
6-Sep,820,534,105,1018,97,9,14,823,7
7-Sep,832,486,104,1025,97,9,14,839,7
8-Sep,797,481,99,1078,102,10,13,801,8
9-Sep,695,463,99,1080,104,10,15,713,12
10-Sep,680,468,106,1098,103,11,15,724,11
11-Sep,701,474,105,1114,101,11,18,713,12
12-Sep,696,476,102,1130,102,11,30,750,11
13-Sep,715,436,104,1137,101,10,30,738,11
14-Sep,711,466,108,1154,100,10,31,734,11
15-Sep,721,467,109,1143,102,10,32,760,12
16-Sep,808,456,113,1168,105,10,34,894,11
17-Sep,795,412,109,1162,109,10,36,855,13
18-Sep,773,361,114,1157,109,10,40,835,14
19-Sep,771,374,119,1164,113,10,51,796,17
20-Sep,760,379,122,1167,114,13,52,794,19
21-Sep,753,382,120,1166,119,14,53,776,21
22-Sep,752,378,122,1166,119,14,55,764,22
23-Sep,713,381,123,1136,125,15,60,696,23
24-Sep,696,424,126,1136,125,16,59,730,25
25-Sep,696,466,127,1131,126,18,59,740,28
26-Sep,678,434,123,1109,126,19,59,741,29
27-Sep,696,426,127,1107,123,18,61,748,30
28-Sep,692,420,129,1094,119,18,63,750,30
29-Sep,684,415,128,1055,114,18,67,741,30
30-Sep,688,402,128,1068,109,20,68,742,35
1-Oct,711,385,132,1076,109,19,71,717,40
2-Oct,696,377,135,1069,107,20,73,714,43
3-Oct,693,378,146,1066,108,20,71,706,47
4-Oct,654,377,147,1040,107,21,71,700,49
5-Oct,659,380,148,1020,109,22,72,720,52
6-Oct,660,381,156,1036,111,22,70,732,53
7-Oct,653,364,160,1008,110,22,67,702,53
8-Oct,611,348,163,978,105,24,70,696,53
9-Oct,611,717,166,960,103,24,72,709,56
10-Oct,607,716,169,939,101,24,68,724,59
11-Oct,602,680,172,936,101,25,69,712,63
12-Oct,591,651,177,924,99,26,71,711,68
13-Oct,573,668,178,898,97,29,75,699,72
14-Oct,501,672,186,862,93,31,81,713,82
15-Oct,503,688,191,820,98,33,85,724,91
16-Oct,500,313,205,810,98,41,86,704,100
17-Oct,511,314,209,797,96,45,96,687,107
18-Oct,497,345,221,814,95,48,101,702,117
19-Oct,488,361,227,780,95,54,107,700,117
20-Oct,498,342,235,763,97,59,114,721,122
21-Oct,548,353,238,761,101,66,136,738,136
22-Oct,522,360,250,764,100,78,144,761,143
23-Oct,491,373,250,735,99,85,155,763,151
24-Oct,465,373,257,708,104,90,172,771,163
25-Oct,461,383,260,643,111,105,179,801,167
26-Oct,461,394,266,629,113,114,183,794,179
27-Oct,460,405,318,615,113,123,199,800,182
