Year,Asia,Europe,Africa,South America,Oceania,Middle East,North America
23-Feb,933,62,0,0,1,12,0
24-Feb,450,57,0,0,0,20,0
25-Feb,651,98,0,0,0,24,20
26-Feb,689,107,1,1,0,67,0
27-Feb,929,102,0,0,1,70,7
28-Feb,786,344,1,0,1,134,3
29-Feb,1369,312,0,0,2,155,10
1-Mar,1186,401,0,2,1,218,9
2-Mar,919,731,2,5,3,410,26
3-Mar,732,534,3,1,4,541,17
4-Mar,661,729,2,2,9,853,25
5-Mar,646,999,9,6,12,607,37
6-Mar,732,1568,8,10,8,620,86
7-Mar,704,2026,2,14,5,1270,113
8-Mar,492,2194,1,2,11,1130,101
9-Mar,364,2810,5,27,6,834,132
10-Mar,245,3586,6,9,20,665,222
11-Mar,385,3306,6,34,12,956,291
12-Mar,310,5645,12,45,14,1319,317
13-Mar,237,7275,20,68,30,1154,398
14-Mar,343,7489,31,80,42,1490,573
15-Mar,324,9319,37,105,54,1479,864
16-Mar,477,9239,68,163,49,1467,911
17-Mar,620,10693,64,244,77,1187,1045
18-Mar,463,12449,50,249,91,1477,1941
19-Mar,676,14283,110,370,122,1365,3175
20-Mar,793,22657,88,523,156,1461,5092
21-Mar,829,22520,185,788,194,1444,5597
22-Mar,1268,22491,135,690,243,1457,7567
23-Mar,1005,20820,150,981,650,1460,8852
24-Mar,949,27959,374,883,162,2000,11613
25-Mar,1074,26481,434,919,652,2743,9260
26-Mar,1049,31010,406,1136,454,3085,15610
27-Mar,1208,36319,550,1110,449,3002,17753
28-Mar,1307,37909,445,1382,290,3704,19740
29-Mar,1685,33346,338,1311,495,4027,21101
30-Mar,1524,29819,453,1144,361,3805,19673
31-Mar,2004,32957,460,1194,561,4019,23027
1-Apr,1108,38963,383,2118,151,4029,26594
2-Apr,2326,38481,700,2641,347,4012,28701
3-Apr,1984,36389,427,2239,297,4505,30706
4-Apr,2321,40195,579,2357,385,1176,34290
5-Apr,1915,35337,960,2410,188,7606,36074
6-Apr,3113,30551,601,2325,99,4046,27556
7-Apr,2455,31978,626,1972,132,3756,32217
8-Apr,2318,32947,473,3082,146,3657,32487
9-Apr,2324,37749,684,5225,123,3315,35437
10-Apr,2856,38908,695,4350,124,3398,36118
11-Apr,2709,39419,577,5744,107,3675,37723
12-Apr,4464,38203,569,3273,65,3622,30248
13-Apr,3309,30006,730,2979,50,3534,29535
14-Apr,3936,28205,644,1942,56,3840,26985
15-Apr,3688,34957,830,5561,58,3617,28923
16-Apr,3716,33115,807,5238,48,3569,32421
17-Apr,4619,35352,918,4608,59,3684,34150
18-Apr,4105,33629,1397,5548,44,3520,33704
19-Apr,4636,28934,972,5384,57,4049,35381
20-Apr,4330,29664,1134,4668,34,4109,27334
21-Apr,5409,29953,775,4235,20,4288,31065
22-Apr,4806,31047,1193,5137,29,4020,39788
23-Apr,3996,30254,1069,5639,8,4398,20766
24-Apr,6238,28786,1366,6888,15,4342,29859
25-Apr,4639,31040,1421,5416,24,4872,24763
26-Apr,6002,27032,1014,10738,20,4695,51299
27-Apr,4564,24142,1432,18175,11,4492,29636
28-Apr,4793,22871,951,7620,15,4630,25097
29-Apr,5250,22907,1510,10204,15,4308,27292
30-Apr,5249,25159,1577,10689,11,4793,30317
1-May,6004,26034,1846,12407,19,4677,33526
2-May,6736,27521,1549,13073,7,4779,37801
3-May,6130,25028,1721,10734,18,4349,32988
4-May,6578,23770,1387,12165,19,4701,29641
5-May,8189,23900,2339,12108,24,5036,25806
6-May,7087,25061,1698,13224,27,5688,26693
7-May,8362,32051,2082,13695,27,6091,27795
8-May,8207,28344,2036,17069,23,5880,32413
9-May,7782,26323,3235,14952,19,6807,30912
10-May,8689,26309,2313,16594,17,6453,29435
11-May,9021,22080,2318,12255,15,7290,23657
12-May,7725,22992,2773,9662,7,6967,20995
13-May,9512,23678,2647,16699,16,7635,25654
14-May,9031,22315,2691,19918,11,7807,24301
15-May,8854,22926,2748,22558,15,8498,31046
16-May,10410,22814,2354,24169,30,8364,29886
17-May,9638,20728,2512,23812,18,9068,28244
18-May,11158,19419,2871,15764,9,9014,22768
19-May,11017,17960,2734,20314,19,9080,26043
20-May,11503,18839,2560,27875,8,9732,24577
21-May,12570,15864,2875,31295,11,9929,27022
22-May,14018,19657,4096,29753,3,10086,30117
23-May,13355,19432,3074,30976,14,10357,29356
24-May,14732,18858,3612,27354,11,9774,26574
25-May,13393,15890,3106,27312,3,9474,24824
26-May,13484,16691,3153,23696,9,8451,23666
27-May,12228,18995,3128,28725,15,8476,24397
28-May,13695,17093,3941,34862,6,9002,24020
29-May,16548,20955,3622,40771,12,9910,26892
30-May,17696,18691,4579,40419,23,11147,30422
31-May,17454,17437,5106,49088,12,10681,27943
1-June,18333,16403,3838,33623,10,11075,24552
2-June,17737,15669,4090,26623,10,10958,25343
3-June,19823,15147,3813,36352,17,11237,26220
4-June,21357,17904,3646,47071,8,11701,25031
5-June,20814,18208,6496,43305,11,11685,27234
6-June,21569,17924,6038,44503,11,12426,31065
7-June,21770,16692,4921,41965,4,12530,27920
8-June,22051,16213,4504,33636,5,12436,27412
9-June,21124,16267,5607,27483,5,11978,23323
10-June,22453,16654,5187,44819,3,12179,24359
11-June,23814,16123,4778,48956,9,12191,27321
12-June,25016,18006,5805,45611,9,13806,29276
13-June,26377,18438,7042,46521,5,13337,32782
14-June,26187,18093,6657,39026,12,13168,30824
15-June,24599,17100,7684,34352,18,13175,25198
16-June,22894,15816,6461,34937,17,14091,24633
17-June,25171,17037,5893,49979,12,13500,29896
18-June,26828,17774,7142,78311,24,14024,32437
19-June,27889,17675,7161,37202,21,13707,35122
20-June,28477,16432,8253,75111,20,12447,36582
21-June,29355,16144,9358,50644,29,14970,41494
22-June,27908,14596,8039,33970,28,12265,33163
23-June,26000,17175,7618,33525,15,14195,37671
24-June,28821,17480,7799,55072,19,13683,42977
25-June,29956,15443,9304,62018,33,12759,41819
26-June,30270,16682,11094,58233,39,16184,49076
27-June,31476,18195,9674,62042,41,15058,52775
28-June,32524,14093,11202,60457,50,13878,49354
29-June,32636,13656,10017,44846,47,13831,45136
30-June,30226,17038,9148,41957,81,13878,47526
1-July,50946,15317,10075,49093,67,15164,51901
2-July,33898,15119,11735,64712,88,15111,59705
3-July,36133,14673,12901,65858,81,15369,62804
4-July,37196,15540,13400,60666,254,15536,63969
5-July,38635,12445,14585,53885,110,15458,54599
6-July,35892,14429,13432,44009,87,14067,56915
7-July,37830,14984,13730,35942,141,14983,57689
8-July,35431,13560,15176,62480,170,14380,65821
9-July,40939,15296,13518,62078,136,14998,68514
10-July,41569,15277,17816,66786,175,14052,72931
11-July,40854,14272,16139,66582,301,15341,76558
12-July,41667,14184,18205,58712,195,13708,71825
13-July,42721,15125,16089,43597,249,12566,64617
14-July,40703,15066,15314,37634,184,15858,65498
15-July,41654,13784,13991,58797,274,13807,78205
16-July,46148,16291,17261,59817,245,14582,77377
17-July,49040,16001,18845,73577,316,13775,86507
18-July,59352,21465,18590,60120,430,13009,81564
19-July,53280,13307,18451,49957,209,13224,75728
20-July,53031,11196,18161,46613,364,11527,71390
21-July,48748,15419,14870,45652,270,13050,65458
