Month,France,Germany,Italy,Spain,United Kingdom
Aug 3,30272,9148,35154,28445,41207
Aug 2,30268,9141,35146,28445,41202
Aug 1,30265,9141,35141,28445,41189
Jul 31,30254,9141,35132,28443,41169
Jul 30,30238,9134,35129,28441,41169
Jul 29,30223,9128,35123,28436,41135
Jul 28,30209,9122,35112,28436,41114
Jul 27,30200,9118,35107,28434,41111
Jul 26,30196,9118,35102,28432,41103
Jul 25,30192,9118,35097,28432,41088
Jul 24,30182,9111,35092,28432,41056
Jul 23,30172,9101,35082,28429,41047
Jul 22,30165,9095,35073,28426,41030
Jul 21,30165,9090,35058,28424,41005
Jul 20,30152,9086,35045,28422,40995
Jul 19,30152,9084,35042,28420,40984
Jul 18,30152,9083,35028,28420,40975
Jul 17,30138,9082,35017,28420,40949
Jul 16,30120,9078,34997,28416,40925
Jul 15,30029,9071,34984,28413,40899
Jul 14,30029,9068,34967,28406,40855
Jul 13,30004,9064,34954,28403,40845
Jul 12,30004,9063,34945,28403,40836
Jul 11,30004,9060,34938,28403,40819
Jul 10,29979,9054,34926,28403,40785
Jul 9,29965,9048,34914,28401,40754
Jul 8,29933,9036,34899,28392,40697
Jul 7,29920,9024,34869,28388,40643
Jul 6,29893,9016,34861,28388,40632
Jul 5,29893,9012,34854,28385,40613
Jul 4,29893,9010,34833,28385,40581
Jul 3,29875,9003,34818,28385,40532
Jul 2,29861,8994,34788,28368,40491
Jul 1,29843,8985,34767,28363,40394
Jun 30,29813,8973,34744,28355,40341
Jun 29,29778,8961,34738,28346,40320
Jun 28,29778,8957,34716,28343,40289
Jun 27,29778,8954,34708,28341,40249
Jun 26,29752,8948,34678,28338,40172
Jun 25,29731,8927,34644,28330,40073
Jun 24,29720,8914,34675,28327,39986
Jun 23,29663,8895,34657,28325,39892
Jun 22,29640,8885,34634,28324,39878
Jun 21,29633,8882,34610,28323,39847
Jun 20,29617,8882,34561,28322,39776
Jun 19,29603,8872,34514,28315,39692
Jun 18,29575,8856,34448,27136,39625
Jun 17,29547,8830,34405,27136,39515
Jun 16,29436,8800,34371,27136,39395
Jun 15,29407,8791,34345,27136,39366
Jun 14,29398,8787,34301,27136,39339
Jun 13,29374,8781,34223,27136,39232
Jun 12,29346,8763,34167,27136,39101
Jun 11,29319,8755,34114,27136,39025
Jun 10,29296,8729,34043,27136,38861
Jun 9,29209,8711,33964,27136,38666
Jun 8,29155,8674,33899,27136,38619
Jun 7,29142,8668,33846,27136,38565
Jun 6,29111,8646,33774,27135,38422
Jun 5,29065,8613,33689,27134,38164
Jun 4,29021,8581,33601,27133,38034
Jun 3,28940,8551,33530,27128,37780
Jun 2,28833,8522,33475,27127,37531
Jun 1,28802,8511,33415,27127,37445
May 31,28771,8500,33340,27127,37385
May 30,28714,8489,33229,27125,37231
May 29,28662,8450,33142,27121,36957
May 28,28596,8411,33072,27119,36614
May 27,28530,8349,32955,27118,36192
May 26,28432,8302,32877,27117,36061
May 25*,28367,8257,32785,26834,35957
May 24,28332,8247,32735,28752,35578
May 23,28289,8216,32616,28678,35358
May 22,28215,8174,32486,28628,35067
May 21,28132,8147,32330,27940,34794
May 20,28022,8090,32169,27888,34466
May 19,27897,8007,32007,27778,33966
May 18,28108,7935,31908,27709,33820
May 17,27625,7914,31763,27650,33753
May 16,27529,7881,31610,27563,33342
May 15,27425,7824,31368,27459,32992
May 14,27074,7723,31106,27321,32640
May 13,26991,7634,30911,27104,32193
May 12,26643,7533,30739,26920,31579
May 11,26380,7417,30550,26744,31392
May 10,26310,7395,30395,26621,31175
May 9,26230,7369,30201,26478,30900
May 8,25987,7266,29958,26251,30321
May 7,25809,7119,29684,26070,29863
May 6,25531,6996,29315,25857,29216
May 5,25201,6831,29079,25613,28490
May 4,24895,6692,28884,25428,28218
May 3,24760,6649,28710,25264,27965
May 2,24594,6575,28236,25100,27381
May 1,24376,6288,27967,24824,26683
Apr 30,24087,6288,27682,24543,26049
Apr 29,23660,6115,27359,24275,25280
Apr 28,23293,5913,26977,23822,24311
Apr 27,22856,5750,26644,23190,23991
Apr 26,22614,5640,26384,23190,23627
Apr 25,22245,5500,25969,22902,22812
Apr 24,21856,5321,25549,22524,21802
Apr 23,21340,5094,25085,22157,21120
Apr 22,20796,4879,24648,21717,20273
Apr 21,20265,4598,24114,21282,19049
Apr 20,19718,4404,23660,20852,18479
Apr 19,19323,4294,23227,20453,18047
Apr 18,18681,4110,22747,20043,16942
Apr 17,17920,3868,22172,19478,16029
Apr 16,17167,3569,21647,18893,14993
Apr 15,15729,3254,21069,18276,14113
Apr 14,14967,2969,20465,17489,13037
Apr 13,14393,2799,19901,16972,12313
Apr 12,13832,2673,19470,16353,11656
Apr 11,13197,2544,18851,15843,10813
Apr 10,12210,2373,18281,15238,9691
Apr 9,10869,2107,17669,14555,8575
Apr 8,10328,1861,17129,13798,7545
Apr 7,8911,1607,16525,13055,6440
Apr 6,8078,1434,15889,12418,5873
Apr 5,7560,1342,15362,11744,5274
Apr 4,6507,1158,14681,10935,4518
Apr 3,4503,1017,13917,10003,3782
Apr 2,4032,872,13157,9053,3125
Apr 1,3523,732,12430,8189,2453
Mar 31,3024,583,11591,7340,2050
Mar 30,2606,455,10781,6528,1676
Mar 29,2314,389,10023,5690,1464
Mar 28,1995,325,9136,4858,1172
Mar 27,1696,253,8165,4089,884
Mar 26,1331,198,7505,3434,703
Mar 25,1100,149,6820,2696,512
Mar 24,860,126,6077,2182,364
Mar 23,674,94,5476,1720,288
Mar 22,562,67,4827,1326,252
Mar 21,450,45,4032,1002,194
Mar 20,372,43,3407,767,162
Mar 19,244,13,2978,598,116
Mar 18,175,13,2505,491,82
Mar 17,148,13,2158,309,65
Mar 16,127,12,1811,288,43
Mar 15,91,8,1441,136,29
Mar 14,79,5,1268,121,10
Mar 13,61,5,1016,84,9
Mar 12,48,3,827,47,7
Mar 11,33,2,631,35,7
Mar 10,30,2,464,28,3
Mar 9,19,-,366,5,2
Mar 8,10,-,233,5,2
Mar 7,9,-,197,5,1
Mar 6,7,-,148,3,-
Mar 5,4,-,107,1,-
Mar 4,4,-,80,-,-
Mar 3,3,-,52,-,-
Mar 2,2,-,35,-,-
Mar 1,2,-,29,-,-
Feb 29,2,-,21,-,-
Feb 28,2,-,17,-,-
Feb 27,2,-,12,-,-
Feb 26,1,-,11,-,-
Feb 25,1,-,6,-,-
Feb 24,1,-,2,-,-
Feb 23,1,-,2,-,-
Feb 22,1,-,-,-,-
Feb 21,1,-,-,-,-
Feb 20,1,-,-,-,-
Feb 19,1,-,-,-,-
Feb 18,1,-,-,-,-
Feb 17,1,-,-,-,-
Feb 16,1,-,-,-,-
Feb 15,1,-,-,-,-
