Year,Confirmed cases,Active cases,Recoveries,Deaths
05/10/20,209688,173467,34306,1915
05/09/20,198676,164933,31916,1827
05/08/20,187859,159528,26608,1723
05/07/20,177160,151732,23803,1625
05/06/20,165929,143065,21327,1537
05/05/20,155370,134054,19865,1451
05/04/20,145268,125817,18095,1356
05/03/20,134687,116768,16639,1280
05/02/20,124054,107819,15013,1222
05/01/20,114431,100042,13220,1169
04/30/20,106498,93806,11619,1073
04/29/20,99399,88141,10286,972
04/28/20,93558,84238,8456,867
04/27/20,87147,79007,7346,794
04/26/20,80949,73438,6767,747
04/25/20,74588,67657,6250,681
04/24/20,68622,62439,5568,615
04/23/20,62773,57327,4891,555
04/22/20,57999,53066,4420,513
04/21/20,52763,48434,3873,456
04/20/20,47121,43270,3446,405
04/19/20,42853,39201,3291,361
04/18/20,36793,33423,3057,313
04/17/20,32008,29145,2590,273
04/16/20,27938,25402,2304,232
04/15/20,24490,22306,1986,198
04/14/20,21102,19238,1694,170
04/13/20,18328,16710,1470,148
04/12/20,15770,14349,1291,130
04/11/20,13584,12433,1045,106
04/10/20,11917,11028,795,94
04/09/20,10131,9357,698,76
04/08/20,8672,8029,580,63
04/07/20,7497,6945,494,58
04/06/20,6343,5890,406,47
04/05/20,5389,4989,355,45
04/04/20,4731,4355,333,43
04/03/20,4149,3834,281,34
04/02/20,3548,3283,235,40
04/01/20,2777,2563,190,24
03/31/20,2337,2199,121,17
03/30/20,1836,1761,66,9
03/29/20,1534,1462,64,8
03/28/20,1264,1211,49,4
03/27/20,1036,988,45,3
03/26/20,840,800,38,2
03/25/20,658,629,29,-
03/24/20,495,473,22,-
03/23/20,438,421,17,-
03/22/20,367,351,16,-
03/21/20,306,290,16,-
03/20/20,253,244,9,-
03/19/20,199,194,5,-
03/18/20,147,142,5,-
03/17/20,114,109,5,-
03/16/20,93,89,4,-
03/15/20,63,60,3,-
03/14/20,59,56,3,-
03/13/20,45,42,3,-
03/12/20,34,31,3,-
03/11/20,28,25,3,-
03/10/20,20,17,3,-
03/09/20,20,17,3,-
03/08/20,17,14,3,-
03/07/20,14,12,2,-
03/06/20,10,8,2,-
03/05/20,4,2,2,-
03/02/20,3,1,2,-
02/12/20,2,0,2,-
01/31/20,2,2,-,-
