month,Brazil,Peru,Colombia,Mexico,Argentina,Chile,Ecuador
7/24/2020,2287475,371096,226373,370712,141996,338759,78148
7/23/2020,2227514,366550,218428,362274,136214,336402,77257
7/22/2020,2159654,362087,211038,356255,130870,334683,76217
7/21/2020,2118646,357681,204005,349396,126851,333029,74620
7/20/2020,2098389,353590,197278,344224,122620,330930,74013
7/19/2020,2074860,349500,190700,338913,119397,328846,73382
7/18/2020,2046328,345537,182140,331298,114879,326539,72444
7/17/2020,2012151,341586,173206,324041,111256,323698,71365
7/16/2020,1966748,337724,165169,317635,107006,321205,70329
7/15/2020,1926824,333867,159898,311486,103361,319493,69570
7/14/2020,1884967,330123,154227,304435,103214,317657,68459
7/13/2020,1864681,326326,150445,299750,100262,315041,67870
7/12/2020,1839850,322710,145362,295268,97618,312029,67209
7/11/2020,1800827,319646,140776,289174,94156,309274,65801
7/10/2020,1755779,316448,133973,282283,90789,306216,65018
7/9/2020,1713160,312911,128638,275003,83522,303083,64221
7/8/2020,1668589,309278,124494,268008,80543,301019,63245
7/7/2020,1623284,305703,120281,261750,77911,298557,62380
7/6/2020,1603055,302718,117110,256848,75472,295532,61958
7/5/2020,1577004,299080,113389,252165,72882,291847,61535
7/4/2020,1539081,295599,109505,245251,72882,288089,60657
7/3/2020,1496858,292004,106110,238511,70037,284541,59468
7/2/2020,1448753,288477,102009,231770,67293,282043,58257
7/1/2020,1402041,285213,97846,226089,64626,279393,56432
6/30/2020,1368195,282365,95043,220657,62364,275999,55665
6/29/2020,1344143,279419,91769,216852,57840,271982,55255
6/28/2020,1313667,275989,88591,212802,57840,267766,54574
6/27/2020,1274974,272364,84442,208392,52553,263360,53856
6/26/2020,1228114,268602,80599,202951,52553,259064,53156
6/25/2020,1188631,264689,77113,196847,49947,254416,52334
6/24/2020,1145906,260810,73572,191410,45027,250767,51643
6/23/2020,1106470,254936,71183,185122,45027,246963,50640
6/22/2020,1085038,254936,68652,180545,42881,242355,50640
6/21/2020,1067579,251338,65633,175202,41300,236748,50183
6/20/2020,1032913,247925,63276,170485,39666,231393,49731
6/19/2020,978142,244388,60217,165455,35648,225103,49097
6/18/2020,955377,240908,57046,159793,35648,220628,48490
6/17/2020,923189,237156,54931,154863,34255,184449,47943
6/16/2020,888271,232992,53063,150264,32881,179436,47322
6/15/2020,867624,229736,50939,146837,31673,174293,46751
6/14/2020,850514,225132,48746,142690,30391,167355,46356
6/13/2020,828810,220749,46858,139196,28860,160846,45778
6/12/2020,802828,214788,43682,133974,27469,154092,44440
6/11/2020,772416,208823,43682,129184,26096,148496,44440
6/10/2020,739503,203736,42078,124301,24857,142759,43917
6/9/2020,707412,199696,40719,120102,23716,138846,43378
6/8/2020,691758,196515,39236,117103,22890,134150,43120
6/7/2020,672837,191758,38027,113619,22116,127745,42728
6/6/2020,645762,187400,36635,110026,21133,122499,41575
6/5/2020,614932,183198,35120,105680,19364,118292,40966
6/4/2020,584016,178914,33354,101238,19364,113628,40966
6/3/2020,555383,170039,31833,97326,18415,108686,40414
6/2/2020,526447,170039,30493,93435,17511,105159,39994
6/1/2020,514849,164476,29383,90664,16947,99688,39098
5/31/2020,498440,155671,28236,87512,16310,94858,38571
5/30/2020,465166,148285,26688,84627,15515,90638,38571
5/29/2020,438238,141779,25366,81400,14798,86943,38471
5/28/2020,411821,135905,24104,78023,14029,82289,38103
5/27/2020,391222,129751,23003,74560,13324,77961,37355
5/26/2020,374898,123979,21981,71105,12724,73997,37355
5/25/2020,363211,119959,21175,68620,12172,69102,36756
5/24/2020,347398,115754,20177,65856,11449,65393,36258
5/23/2020,330890,111698,19131,62527,10745,61857,35828
5/22/2020,310087,108769,18330,59567,10027,57581,35306
5/21/2020,291579,104020,17687,56594,9379,53617,34854
5/20/2020,271628,99483,16935,54346,8905,49579,34151
5/19/2020,254220,94933,16295,51633,8467,46059,33582
5/18/2020,241080,92273,15574,49219,7901,43781,33182
5/17/2020,233142,88541,14939,47144,7901,41428,32763
5/16/2020,218223,84495,14216,45032,7575,39542,31467
5/15/2020,202918,80604,13610,42595,7230,37040,30502
5/14/2020,188974,76306,12930,40186,6975,34381,30486
5/13/2020,177589,72059,12272,38324,6659,31721,30419
5/12/2020,168331,68822,11613,36327,6130,30063,29509
5/11/2020,162699,67307,11063,35022,5885,28866,29559
5/10/2020,155939,65015,10495,33460,5872,27219,29071
5/9/2020,145328,61847,10051,31522,5707,25972,28818
5/8/2020,135106,58526,9456,29616,5467,24581,30298
5/7/2020,125218,54817,8959,27634,5304,23048,29420
5/6/2020,114715,51189,8613,26025,5116,22016,31881
5/5/2020,107780,47372,7973,24905,4983,20643,31881
5/4/2020,101147,45928,7668,23471,4879,19663,29538
5/3/2020,96559,42534,7285,22088,4777,18435,27464
5/2/2020,91589,40459,7006,20739,4628,17008,26336
5/1/2020,85380,36976,6507,19224,4524,16023,24934
4/30/2020,78162,33931,6211,17799,4381,14885,24675
4/29/2020,71886,31190,5949,16752,4223,14365,24258
4/28/2020,66501,28699,5597,15529,4099,13813,23240
4/27/2020,61888,27517,5379,14677,3876,13331,22719
4/26/2020,58509,25331,5142,13842,3876,12858,11183
4/25/2020,52995,21648,4881,12872,3532,12306,11183
4/24/2020,49492,20914,4561,11633,3532,11812,11183
4/23/2020,45757,19250,4356,10544,3385,11296,10850
4/22/2020,43079,17837,4149,9501,3241,10832,10398
4/21/2020,40581,16325,3977,8772,3129,10507,10128
4/20/2020,38654,15628,3792,8261,3039,10088,9468
4/19/2020,36599,14420,3621,7497,2937,9730,9022
4/18/2020,33682,13489,3439,6875,2767,9252,8450
4/17/2020,30425,12491,3233,6297,2669,8807,8225
4/16/2020,28320,11475,3105,5847,2571,8273,7858
4/15/2020,25262,10303,2979,5399,2432,7917,7603
4/14/2020,23430,9784,2852,5014,2272,7525,7529
4/13/2020,22169,7519,2776,4661,2203,7213,7466
4/12/2020,20727,6848,2709,4219,2137,6927,7257
4/11/2020,19638,5897,2473,3844,1975,6501,7161
4/10/2020,17857,5256,2223,3441,1894,5972,4965
4/9/2020,15927,4342,2054,3181,1795,5546,4450
4/8/2020,13717,2954,1780,2785,1715,5116,3995
4/7/2020,12056,2561,1579,2439,1628,4815,3747
4/6/2020,11130,2281,1485,2143,1554,4471,3646
4/5/2020,10278,1746,1406,1890,1451,4161,3465
4/4/2020,9056,1595,1267,1688,1265,3737,3368
4/3/2020,7910,1414,1161,1378,1133,3404,3163
4/2/2020,6836,1323,1065,1378,1133,3031,2758
4/1/2020,5717,1065,906,1215,966,2738,2302
3/31/2020,4579,950,798,1094,966,2449,1966
3/30/2020,4256,852,702,993,820,2139,1890
3/29/2020,3904,671,608,848,745,1909,1835
3/28/2020,3417,635,539,717,690,1610,1627
3/27/2020,2915,580,491,585,589,1306,1403
3/26/2020,2433,558,470,475,502,1142,1211
3/25/2020,2201,416,378,405,387,922,1082
3/24/2020,1891,395,306,367,301,746,981
3/23/2020,1546,363,235,316,266,632,789
3/22/2020,1128,318,210,251,225,537,532
3/21/2020,904,263,158,203,158,434,426
3/20/2020,621,234,128,164,128,342,199
3/19/2020,428,145,102,118,97,238,168
3/18/2020,291,117,65,93,79,201,111
3/17/2020,234,86,57,82,65,156,58
3/16/2020,200,71,45,53,56,75,37
3/15/2020,121,43,34,41,45,61,28
3/14/2020,98,38,16,26,34,43,23
3/13/2020,77,22,9,16,31,33,17
3/12/2020,52,17,9,11,19,23,17
3/11/2020,34,11,3,7,19,17,17
3/10/2020,25,9,3,7,12,13,15
3/9/2020,25,7,1,7,12,10,14
3/8/2020,13,1,1,5,9,5,13
3/7/2020,13,1,1,5,8,5,13
3/6/2020,8,0,0,5,2,4,13
3/5/2020,3,0,0,5,1,3,10
3/4/2020,2,0,0,5,1,1,7
3/3/2020,2,0,0,5,0,0,7
3/2/2020,2,0,0,5,0,0,6
3/1/2020,2,0,0,4,0,0,1
