Number of days since reaching 50 cases,Moscow,Saint Petersburg,Moscow Oblast,Nizhny Novgorod Oblast,Sverdlovsk Oblast
134,238641,33047,64716,25878,23695
133,237947,32890,64555,25758,23546
132,237264,32730,64397,25635,23405
131,236616,32575,64238,25510,23255
130,235971,32418,64076,25382,23097
129,235363,32259,63915,25252,22943
128,234725,32103,63755,25128,22781
127,234123,31945,63598,25009,22614
126,233545,31785,63449,24889,22446
125,232954,31622,63299,24771,22267
124,232376,31461,63155,24654,22083
123,231801,31302,63018,24551,21905
122,231270,31140,62892,24446,21725
121,230642,30975,62753,24345,21542
120,230029,30807,62609,24236,21361
119,229357,30635,62461,24097,21179
118,228678,30460,62318,23951,20983
117,228000,30281,62173,23792,20784
116,227363,30100,62045,23647,20582
115,226795,29916,61896,23489,20372
114,226174,29730,61743,23335,20157
113,225545,29541,61572,23172,19934
112,224860,29346,61399,22984,19725
111,224210,29144,61233,22807,19473
110,223530,28906,61059,22623,19232
109,222871,28662,60886,22429,18981
108,222209,28406,60688,22227,18733
107,221598,28142,60492,22010,18484
106,220853,27861,60295,21814,18250
105,220071,27570,60107,21623,18023
104,219354,27277,59908,21405,17789
103,218604,26981,59716,21200,17544
102,217791,26681,59522,20984,17285
101,216906,26389,59345,20763,16984
100,216095,26094,59053,20534,16635
99,215014,25816,58766,20341,16372
98,213946,25536,58491,20129,16127
97,212978,25261,58193,19907,15909
96,211921,24990,57876,19684,15623
95,210785,24727,57570,19465,15343
94,209745,24469,57269,19241,15068
93,208680,24207,56934,19024,14792
92,207264,23954,56609,18826,14529
91,205905,23735,56243,18614,14303
90,204428,23518,55853,18397,14033
89,202935,23294,55386,18172,13767
88,201221,23071,54879,17943,13499
87,199785,22850,54375,17709,13272
86,198590,22632,53869,17481,13048
85,197018,22412,53320,17278,12792
84,195017,22195,52729,17060,12516
83,193061,21966,52083,16838,12302
82,191069,21734,51416,16624,12093
81,189214,21506,50736,16414,11877
80,187216,21275,50042,16197,11684
79,185374,21047,49353,15990,11492
78,183088,20813,48636,15774,11311
77,180791,20561,47911,15555,11129
76,178196,20305,47181,15328,10932
75,175829,20043,46457,15100,10725
74,173497,19769,45722,14881,10501
73,171443,19466,44983,14648,10247
72,169303,19153,44232,14410,10016
71,166473,18835,43478,14204,9789
70,163913,18509,42720,13995,9558
69,161397,18169,41958,13780,9325
68,158207,17822,41191,13562,9071
67,155219,17444,40455,13341,8826
66,152306,17069,39723,13038,8506
65,149607,16689,38995,12734,8194
64,146062,16313,38238,12442,7910
63,142824,15949,37503,12137,7668
62,138969,15580,36730,11820,7419
61,135464,15215,35956,11499,7179
60,130716,14846,35163,11169,6930
59,126004,14463,34346,10850,6679
58,121301,14076,33515,10503,6381
57,115909,13713,32653,10149,6024
56,109740,13339,31807,9834,5732
55,104189,12955,30983,9533,5449
54,98522,12592,30091,9244,5184
53,92676,12203,29188,8963,4923
52,85973,11795,28290,8735,4579
51,80115,11340,27369,8504,4425
50,74401,10887,26462,8276,4190
49,68606,10462,25525,8047,3983
48,62658,10011,24580,7826,3704
47,57300,9486,23662,7615,3614
46,53739,8945,22700,7413,3443
45,50646,8485,21637,7209,3308
44,48426,8050,20558,6952,3134
43,45351,7711,19425,6692,2999
42,42480,7404,18350,6413,2861
41,39509,6990,17432,6132,2731
40,36897,6565,16590,5903,2571
39,33940,6190,15761,5596,2466
38,31981,5884,14939,5358,2362
37,29433,5572,14136,5087,2298
36,26350,5346,13314,4733,2163
35,24324,5029,12507,4442,1952
34,20754,4734,11710,4180,1844
33,18105,4411,10917,3886,1705
32,16146,4062,10231,3610,1584
31,14776,3726,9708,3298,1429
30,13002,3436,9070,3026,1353
29,11513,3238,8489,2852,1277
28,10158,3077,7889,2695,1144
27,8852,2926,7278,2443,1091
26,7822,2711,6590,2123,1016
25,6698,2458,5959,1944,935
24,5841,2267,5241,1794,703
23,5181,2267,4663,1663,629
22,4484,1973,3954,1574,539
21,3893,1846,3526,1367,454
20,3357,1760,3054,1214,395
19,2923,1507,2587,1096,337
18,2475,1083,2315,1002,304
17,1880,929,1855,929,271
16,1613,799,1360,860,243
15,1226,678,1082,759,233
14,1014,557,930,646,149
13,817,488,748,517,141
12,703,408,549,458,126
11,546,373,454,404,115
10,410,329,387,339,111
9,290,295,305,292,105
8,262,226,260,224,93
7,191,191,211,194,85
6,137,171,177,152,78
5,131,156,134,119,74
4,98,147,119,87,61
3,86,125,119,80,59
2,56,98,112,56,56
1,53,50,85,56,51
