Year,Cases,Deaths
8/2/2020,357658,9533
8/1/2020,355667,9457
31/7/2020,353536,9377
7/30/2020,351575,9278
7/29/2020,349800,9240
7/28/2020,347923,9187
7/27/2020,345790,9112
7/26/2020,343592,9020
7/25/2020,341304,8914
7/24/2020,338759,8838
7/23/2020,336402,8722
7/22/2020,334683,8677
7/21/2020,333029,8633
7/20/2020,330930,8503
7/19/2020,326539,8347
7/18/2020,326539,8347
7/17/2020,323698,7290
7/16/2020,321205,7186
7/15/2020,319493,7069
7/14/2020,317657,7024
7/13/2020,315041,6979
7/12/2020,312029,6881
7/11/2020,309274,6781
7/10/2020,306216,6682
7/9/2020,303083,6573
7/8/2020,301019,6434
7/7/2020,298557,6384
7/6/2020,295532,6308
7/5/2020,291847,6192
7/4/2020,288089,6051
7/3/2020,284541,5920
7/2/2020,282043,5753
7/1/2020,279393,5688
6/30/2020,275999,5575
6/29/2020,271982,5509
6/28/2020,267766,5347
6/27/2020,263360,5068
6/26/2020,259064,4903
6/25/2020,254416,4731
6/24/2020,250767,4505
6/23/2020,246963,4502
6/22/2020,242355,4479
6/21/2020,236748,4295
6/20/2020,231393,4093
6/19/2020,225103,3841
6/18/2020,220628,3615
6/17/2020,184449,3383
6/16/2020,179436,3362
6/15/2020,174293,3323
6/14/2020,167355,3101
6/13/2020,160846,2870
6/12/2020,154092,2648
6/11/2020,148496,2475
6/10/2020,142759,2283
6/9/2020,138846,2264
6/8/2020,134150,2190
6/7/2020,127745,1541
6/6/2020,122499,1448
6/5/2020,118292,1356
6/4/2020,113628,1275
6/3/2020,108686,1188
6/2/2020,105159,1113
6/1/2020,99688,1054
5/31/2020,94858,997
5/30/2020,90638,944
5/29/2020,86943,890
5/28/2020,82289,841
5/27/2020,77961,806
5/26/2020,73997,761
5/25/2020,69102,718
5/24/2020,65393,673
5/23/2020,61857,630
5/22/2020,57581,589
5/21/2020,53617,544
5/20/2020,49579,509
5/19/2020,46059,478
5/18/2020,43781,450
5/17/2020,41428,421
5/16/2020,39542,394
5/15/2020,37040,358
5/14/2020,34381,346
5/13/2020,31721,335
5/12/2020,30063,323
5/11/2020,28866,312
5/10/2020,27219,304
5/9/2020,25972,294
5/8/2020,24581,285
5/7/2020,23048,281
5/6/2020,22016,275
5/5/2020,20643,270
5/4/2020,19663,260
5/3/2020,18435,247
5/2/2020,17008,234
5/1/2020,16023,227
4/30/2020,14885,216
4/29/2020,14365,207
4/28/2020,13813,198
4/27/2020,13331,189
4/26/2020,12858,181
4/25/2020,12306,174
4/24/2020,11812,168
4/23/2020,11296,160
4/22/2020,10832,147
4/21/2020,10507,139
4/20/2020,10088,133
4/19/2020,9730,126
4/18/2020,9252,116
4/17/2020,8807,105
4/16/2020,8273,94
4/15/2020,7917,92
4/14/2020,7525,82
4/13/2020,7213,80
4/12/2020,6927,73
4/11/2020,6501,65
4/10/2020,5972,57
4/9/2020,5546,48
4/8/2020,5116,43
4/7/2020,4815,37
4/6/2020,4471,34
4/5/2020,4161,27
4/4/2020,3737,22
4/3/2020,3404,18
4/2/2020,3031,16
4/1/2020,2738,12
3/31/2020,2449,8
3/30/2020,2139,7
3/29/2020,1909,6
3/28/2020,1610,5
3/27/2020,1306,4
3/26/2020,1142,3
3/25/2020,922,2
3/24/2020,746,2
3/23/2020,632,1
3/22/2020,537,0
3/21/2020,434,0
3/20/2020,342,0
3/19/2020,238,0
3/18/2020,201,0
3/17/2020,156,0
3/16/2020,75,0
3/15/2020,61,0
3/14/2020,43,0
3/13/2020,33,0
3/12/2020,23,0
3/11/2020,17,0
3/10/2020,13,0
3/9/2020,10,0
3/7/2020,5,0
3/6/2020,4,0
3/5/2020,3,0
3/4/2020,1,0
