Month,Patients within Japan,Airport quarantine,Returnees from Hunan on government charter flights
Jul 11 '20,20753,361,15
Jul 10 '20,20353,351,15
Jul 9 '20,20010,346,15
Jul 8 '20,19816,343,15
Jul 7 '20,19628,338,15
Jul 6 '20,19425,335,15
Jul 5 '20,19184,323,15
Jul 4 '20,18950,317,15
Jul 3 '20,18737,316,15
Jul 2 '20,18545,314,15
Jul 1 '20,18394,314,15
Jun 30 '20,18270,308,15
Jun 29 '20,18154,307,15
Jun 28 '20,18069,306,15
Jun 27 '20,17980,302,15
Jun 26 '20,17886,296,15
Jun 25 '20,17802,293,15
Jun 24 '20,17723,286,15
Jun 23 '20,17671,282,15
Jun 22 '20,17622,279,15
Jun 21 '20,17577,272,15
Jun 20 '20,17512,272,15
Jun 19 '20,17456,269,15
Jun 18 '20,17387,266,15
Jun 17 '20,17350,263,15
Jun 16 '20,17311,261,15
Jun 15 '20,17238,249,15
Jun 14 '20,17179,235,15
Jun 13 '20,17135,232,15
Jun 12 '20,17090,227,15
Jun 11 '20,17051,226,15
Jun 10 '20,17012,224,15
Jun 9 '20,16986,209,15
Jun 8 '20,16950,209,15
Jun 7 '20,16923,203,15
Jun 6 '20,16886,202,15
Jun 5 '20,16850,199,15
Jun 4 '20,16807,196,15
Jun 3 '20,16779,192,15
Jun 2 '20,16724,191,15
Jun 1 '20,16679,190,15
May 31 '20,16650,186,15
May 30 '20,16607,182,15
May 29 '20,16532,172,15
May 28 '20,16498,170,15
May 27 '20,16469,167,15
May 26 '20,16445,163,15
May 25 '20,16404,162,15
May 24 '20,16375,160,15
May 23 '20,16362,159,15
May 22 '20,16339,159,15
May 21 '20,16251,158,15
May 20 '20,16212,158,15
May 19 '20,16192,158,15
May 18 '20,16132,158,15
May 17 '20,16112,158,15
May 16 '20,16066,156,15
May 15 '20,16022,156,15
May 14 '20,15908,156,15
May 13 '20,15854,155,15
May 12 '20,15706,153,15
May 11 '20,15630,151,15
May 10 '20,15581,151,15
May 9 '20,15483,151,15
May 8 '20,15382,150,15
May 7 '20,15300,148,15
May 6 '20,15192,147,15
May 5 '20,15069,147,15
May 4 '20,14895,147,15
May 3 '20,14677,147,15
May 2 '20,14383,146,15
May 1 '20,14120,146,15
Apr 30 '20,13929,144,15
Apr 29 '20,13695,142,15
Apr 28 '20,13422,139,15
Apr 27 '20,13232,138,15
Apr 26 '20,13031,136,15
Apr 25 '20,12681,133,15
Apr 24 '20,12240,133,15
Apr 23 '20,11772,132,15
Apr 22 '20,11350,131,15
Apr 21 '20,10974,130,15
Apr 20 '20,10608,128,15
Apr 19 '20,10219,127,15
Apr 18 '20,9654,126,15
Apr 17 '20,9027,125,15
Apr 16 '20,8442,125,15
Apr 15 '20,7964,121,15
Apr 14 '20,7509,121,15
Apr 13 '20,7123,117,15
Apr 12 '20,6616,117,15
Apr 11 '20,5902,88,15
Apr 10 '20,5246,86,15
Apr 9 '20,4667,86,15
Apr 8 '20,4168,74,15
Apr 7 '20,3817,74,15
Apr 6 '20,3569,70,15
Apr 5 '20,3191,65,15
Apr 4 '20,2855,65,15
Apr 3 '20,2541,61,15
Apr 2 '20,2306,60,15
Apr 1 '20,2107,56,15
Mar 31 '20,1887,51,15
Mar 30 '20,1820,31,15
Mar 29 '20,1647,31,15
Mar 28 '20,1453,31,15
Mar 27 '20,1349,23,15
Mar 26 '20,1254,23,15
Mar 25 '20,1160,18,15
Mar 24 '20,1095,18,15
Mar 23 '20,1057,17,15
Mar 22 '20,1015,16,15
Mar 21 '20,981,-,15
Mar 20 '20,928,-,15
Mar 19 '20,892,-,15
Mar 18 '20,853,-,15
Mar 16 '20,794,-,15
Mar 13 '20,659,-,15
Mar 10 '20,498,-,15
Mar 6 '20,333,-,15
Mar 2 '20,239,-,15
Feb 29 '20,215,-,15
Feb 25 '20,140,-,15
Feb 21 '20,79,-,14
Feb 17 '20,46,-,13
Feb 12 '20,16,-,12
