Year,Embarked,Disembarked,Difference
1774,98492,84733,13759
1773,88732,75185,13547
1772,95546,81857,13689
1771,87474,75226,12248
1770,94912,80012,14900
1769,84179,72630,11549
1768,84513,73044,11469
1767,89940,75878,14062
1766,98293,82347,15946
1765,92244,79473,12771
1764,86407,74266,12141
1763,59890,51626,8264
1762,60222,50906,9316
1761,68257,56553,11704
1760,58717,50151,8566
1759,50990,44095,6895
1758,55197,48120,7077
1757,51067,43338,7729
1756,64981,56582,8399
1755,81896,70367,11529
1754,74558,62796,11762
1753,70524,61005,9519
1752,71891,61243,10648
1751,61575,52399,9176
1750,67985,56125,11860
1749,66912,56498,10414
1748,54805,46090,8715
1747,54007,45747,8260
1746,35213,30484,4729
1745,35145,30845,4300
1744,69908,59964,9944
1743,56702,49548,7154
1742,62856,53157,9699
1741,62485,53031,9454
1740,63557,53952,9605
1739,69089,57666,11423
1738,57117,47896,9221
1737,67337,56767,10570
1736,58282,48873,9409
1735,52589,44373,8216
1734,53974,46042,7932
1733,51670,43801,7869
1732,59619,49052,10567
1731,61309,51671,9638
1730,61971,52532,9439
1729,66272,54848,11424
1728,57236,48570,8666
1727,58342,49402,8940
1726,61914,52903,9011
1725,55999,47922,8077
1724,60447,51922,8525
1723,40366,34822,5544
1722,43102,36653,6449
1721,41162,35305,5857
1720,46981,39701,7280
1719,48441,41022,7419
1718,52274,43989,8285
1717,47813,40234,7579
1716,46923,39165,7758
1715,48819,41059,7760
1714,49716,41596,8120
1713,41913,35564,6349
1712,34247,29540,4707
1711,36282,31169,5113
1710,39207,33308,5899
1709,32118,27408,4710
1708,39726,33875,5851
1707,39852,34710,5142
1706,31547,27563,3984
1705,38452,30781,7671
1704,37195,31559,5636
1703,34476,29496,4980
1702,45714,38769,6945
1701,55754,47276,8478
1700,53003,43647,9356
1699,42970,35013,7957
1698,47542,40387,7155
1697,36580,31376,5204
1696,30008,25835,4173
1695,24294,20112,4182
1694,23881,19353,4528
1693,25983,21406,4577
1692,28448,23408,5040
1691,25752,21734,4018
1690,16710,14183,2527
1689,20220,16973,3247
1688,26078,21684,4394
1687,28959,23788,5171
1686,23051,18640,4411
1685,28499,23419,5080
1684,22751,18780,3971
1683,32149,25534,6615
1682,27925,22597,5328
1681,34222,27439,6783
1680,25636,21191,4445
1679,24662,20121,4541
1678,24274,19612,4662
1677,20373,17116,3257
1676,23210,19232,3978
1675,23323,19044,4279
1674,19246,16089,3157
1673,17737,14699,3038
1672,18452,15168,3284
1671,22892,18684,4208
1670,21928,18378,3550
1669,29304,24031,5273
1668,29970,24480,5490
1667,21599,18052,3547
1666,22620,18643,3977
1665,22164,18026,4138
1664,26451,21450,5001
1663,16649,13823,2826
1662,17548,14863,2685
1661,19845,16039,3806
1660,15728,13245,2483
1659,18929,15468,3461
1658,22684,18869,3815
1657,17135,13575,3560
1656,19695,15665,4030
1655,13224,11195,2029
1654,13371,10749,2622
1653,10622,8718,1904
1652,10899,8888,2011
1651,10982,8701,2281
1650,10170,8495,1675
1649,10396,8638,1758
1648,6992,5667,1325
1647,12010,9584,2426
1646,16388,13135,3253
1645,16507,12880,3627
1644,17579,14697,2882
1643,11783,9628,2155
1642,9739,7886,1853
1641,11511,9011,2500
1640,12159,9669,2490
1639,12569,9970,2599
1638,12372,9888,2484
1637,11948,9609,2339
1636,11771,9185,2586
1635,11730,9137,2593
1634,11730,9137,2593
1633,12458,9768,2690
1632,11730,9137,2593
1631,11730,9137,2593
1630,10616,8496,2120
1629,15117,12402,2715
1628,15258,12502,2756
1627,15401,12647,2754
1626,15117,12402,2715
1625,22397,17498,4899
1624,22397,17498,4899
1623,22397,17498,4899
1622,22397,17498,4899
1621,22397,17498,4899
1620,21825,17097,4728
1619,21150,16380,4770
1618,21206,16445,4761
1617,19624,15089,4535
1616,18945,14514,4431
1615,10721,8768,1953
1614,9522,7743,1779
1613,8983,7287,1696
1612,8818,7152,1666
1611,8021,6474,1547
1610,11827,9075,2752
1609,11430,8740,2690
1608,11063,8428,2635
1607,10858,8237,2621
1606,10949,8343,2606
1605,7598,5866,1732
1604,7661,5924,1737
1603,7074,5424,1650
1602,6842,5226,1616
1601,6625,5043,1582
1600,11193,8212,2981
1599,11006,8054,2952
1598,11115,8150,2965
1597,11677,8635,3042
1596,10526,7648,2878
1595,10388,7532,2856
1594,3769,2880,889
1593,3650,2780,870
1592,3539,2687,852
1591,3437,2600,837
1590,6338,4616,1722
1589,6250,4542,1708
1588,6169,4473,1696
1587,6092,4408,1684
1586,6022,4348,1674
1585,5270,3815,1455
1584,5209,3764,1445
1583,5390,3884,1506
1582,5100,3672,1428
1581,5051,3630,1421
1580,3191,2322,869
1579,2966,2130,836
1578,2942,2110,832
1577,2919,2091,828
1576,2898,2073,825
1575,2930,2093,837
1574,2911,2077,834
1573,2894,2062,832
1572,2877,2048,829
1571,2928,2086,842
1570,3044,2162,882
1569,3030,2150,880
1568,3486,2464,1022
1567,3429,2430,999
1566,2995,2120,875
1565,5226,3684,1542
1564,4817,3392,1425
1563,5108,3597,1511
1562,4799,3377,1422
1561,4791,3370,1421
1560,855,598,257
1559,855,598,257
1558,855,598,257
1557,855,598,257
1556,949,665,284
1555,275,192,83
1554,275,192,83
1553,275,192,83
1552,275,192,83
1551,275,192,83
1550,1886,1320,566
1549,1886,1320,566
1548,1886,1320,566
1547,1886,1320,566
1546,1886,1320,566
1545,3592,2514,1078
1544,3592,2514,1078
1543,3592,2514,1078
1542,3592,2514,1078
1541,3592,2514,1078
1540,1158,811,347
1539,1158,811,347
1538,1158,811,347
1537,1158,811,347
1536,1158,811,347
1535,1723,1206,517
1534,1723,1206,517
1533,1723,1206,517
1532,1723,1206,517
1531,1723,1206,517
1530,1794,1256,538
1529,1794,1256,538
1528,1794,1256,538
1527,1794,1256,538
1526,1794,1256,538
1525,404,283,121
1524,404,283,121
1523,404,283,121
1522,404,283,121
1521,404,283,121
1520,1571,1100,471
1519,1571,1100,471
1518,1571,1100,471
1517,1571,1100,471
1516,1571,1100,471
1515,190,134,56
1514,190,134,56
1513,190,134,56
1512,190,134,56
1511,190,134,56
1510,190,134,56
1509,190,134,56
1508,190,134,56
1507,190,134,56
1506,190,134,56
1505,190,134,56
1504,190,134,56
1503,190,134,56
1502,190,134,56
1501,190,134,56
