Year,Confirmed cases,Recoveries,Deaths
08/02/20,242713,181342,4485
08/01/20,242049,180581,4473
07/31/20,241359,179168,4460
07/30/20,240664,177908,4446
07/29/20,239986,176437,4434
07/28/20,239315,175812,4421
07/27/20,238641,174985,4411
07/26/20,237947,174721,4398
07/25/20,237264,174415,4389
07/24/20,236616,173854,4375
07/23/20,235971,173392,4364
07/22/20,235363,172939,4350
07/21/20,234725,171771,4331
07/20/20,234123,170918,4314
07/19/20,233545,170539,4299
07/18/20,232954,170180,4285
07/17/20,232376,169637,4271
07/16/20,231801,168955,4258
07/15/20,231270,167810,4234
07/14/20,230642,165966,4205
07/13/20,230029,164954,4168
07/12/20,229357,164560,4143
07/11/20,228678,164095,4116
07/10/20,228000,163093,4087
07/09/20,227363,162086,4059
07/08/20,226795,160913,4027
07/07/20,226174,159718,3999
07/06/20,225545,157652,3975
07/05/20,224860,157020,3953
07/04/20,224210,156459,3929
07/03/20,223530,154839,3904
07/02/20,222871,153248,3870
07/01/20,222209,152193,3831
06/30/20,221598,150397,3796
06/29/20,220853,148102,3761
06/28/20,220071,147095,3738
06/27/20,219354,146043,3714
06/26/20,218604,144191,3694
06/25/20,217791,142194,3669
06/24/20,216906,141268,3657
06/23/20,216095,139248,3643
06/22/20,215014,136670,3617
06/21/20,213946,135556,3597
06/20/20,212978,134549,3565
06/19/20,211921,132434,3531
06/18/20,210785,130431,3483
06/17/20,209745,128385,3434
06/16/20,208680,126114,3386
06/15/20,207264,123240,3334
06/14/20,205905,121691,3281
06/13/20,204428,119558,3231
06/12/20,202935,118024,3187
06/11/20,201221,115769,3138
06/10/20,199785,113533,3085
06/09/20,198590,109737,3029
06/08/20,197018,104347,2970
06/07/20,195017,102714,2919
06/06/20,193061,100431,2864
06/05/20,191069,97358,2806
06/04/20,189214,94715,2749
06/03/20,187216,91654,2685
06/02/20,185374,88269,2624
06/01/20,183088,82239,2553
05/31/20,180791,80179,2477
05/30/20,178196,78324,2408
05/29/20,175829,74725,2330
05/28/20,173497,71251,2254
05/27/20,171443,67458,2183
05/26/20,169303,61619,2110
05/25/20,166473,53586,2034
05/24/20,163913,49840,1993
05/23/20,161397,47413,1934
05/22/20,158207,43582,1867
05/21/20,155219,40682,1794
05/20/20,152306,36936,1726
05/19/20,149607,31496,1651
05/18/20,146062,28913,1580
05/17/20,142824,27490,1503
05/16/20,138969,26032,1432
05/15/20,135464,24562,1358
05/14/20,130716,23327,1290
05/13/20,126004,21506,1232
05/12/20,121301,19642,1179
05/11/20,115909,17822,1124
05/10/20,109740,13790,1068
05/09/20,104189,12779,1010
05/08/20,98522,10259,956
05/07/20,92676,9227,905
05/06/20,85973,8458,866
05/05/20,80115,7870,816
05/04/20,74401,7573,764
05/03/20,68606,7029,729
05/02/20,62658,6374,695
05/01/20,57300,5766,658
04/30/20,53739,5135,611
04/29/20,50646,4610,546
04/28/20,48426,4130,479
04/27/20,45351,3524,435
04/26/20,42480,3175,404
04/25/20,39509,3047,366
04/24/20,36897,2735,325
04/23/20,33940,2448,288
04/22/20,31981,2267,261
04/21/20,29433,2057,233
04/20/20,26350,1838,204
04/19/20,24324,1763,176
04/18/20,20754,1679,148
04/17/20,18105,1517,127
04/16/20,16146,1394,113
04/15/20,14776,1205,106
04/14/20,13002,1016,95
04/13/20,11513,837,82
04/12/20,10158,687,72
04/11/20,8852,499,58
04/10/20,7822,350,50
04/09/20,6698,313,38
04/08/20,5841,270,38
04/07/20,5181,222,31
04/06/20,4484,206,31
04/05/20,3893,198,29
04/04/20,3357,194,27
04/03/20,2923,168,24
04/02/20,2475,140,19
04/01/20,1880,115,15
03/31/20,1613,70,15
03/30/20,1226,28,10
03/29/20,1014,28,5
03/28/20,817,18,4
03/27/20,703,18,3
03/26/20,546,15,2
03/25/20,410,14,2
03/24/20,290,9,-
03/23/20,262,9,-
03/22/20,191,8,-
03/21/20,137,8,-
03/20/20,131,5,-
03/19/20,98,5,-
03/18/20,86,1,-
03/17/20,56,1,-
03/16/20,53,1,-
03/15/20,33,1,-
03/14/20,33,1,-
03/13/20,24,1,-
03/12/20,19,1,-
03/11/20,15,1,-
03/10/20,9,1,-
03/09/20,9,1,-
03/08/20,6,1,-
03/07/20,6,1,-
03/06/20,6,-,-
03/05/20,1,-,-
03/04/20,1,-,-
03/03/20,1,-,-
03/02/20,1,-,-
