Top goal scorer(s),Premier League,First Division
1961/62 Ray Crawford (Ipswich),-,32
1960/61 Jimmy Greaves (Chelsea),-,32
1959/60 Dennis Viollet (Man Utd),-,32
1958/59 Jimmy Greaves (Chelsea),-,36
1957/58 Bobby Smith (Tottenham),-,38
1956/57 John Charles (Leeds),-,33
1955/56 Nat Lofthouse (Bolton),-,27
1954/55 Ronnie Allen (West Brom),-,29
"1953/54 Jimmy Glazzard (Huddersfield), Johnny Nicholls (West Brom)",-,29
1952/53 Charlie Wayman (Preston),-,24
1951/52 George Robledo (Newcastle),-,33
1950/51 Stan Mortensen (Blackpool),-,30
1949/50 Dickie Davis (Sunderland),-,25
1948/49 Willie Moir (Bolton),-,25
1947/48 Ronnie Rooke (Arsenal),-,33
1946/47 Dennis Westcott (Wolves),-,37
1939/40 - 1945/46 Break due to Second World War,-,-
1938/39 Tommy Lawton (Everton),-,35
1937/38 Tommy Lawton (Everton),-,38
1936/37 Freddie Steele (Stoke),-,39
1935/36 W. G. Richardson (West Brom),-,31
1934/35 Ted Drake (Arsenal),-,42
1933/34 Jack Bowers (Derby),-,34
1932/33 Jack Bowers (Derby),-,35
1931/32 Dixie Dean (Everton),-,44
1930/31 Tom Waring (Aston Villa),-,49
1929/30 Vic Watson (West Ham),-,41
1928/29Dave Halliday (Sunderland),-,43
1927/28 Dixie Dean (Everton),-,60
1926/27 Jimmy Trotter (Sheffield Wed),-,37
1925/26 Ted Harper (Blackburn),-,43
1924/25 Frank Roberts (Man City),-,28
1923/24 Wilf Chadwick (Everton),-,28
1922/23 Charlie Buchan (Sunderland),-,30
1921/22 Andy Wilson (Middlesbrough),-,31
1920/21 Joe Smith (Bolton),-,38
1919/20 Fred Morris (West Brom),-,37
1915/16  - 1918/19Break due to First World War,-,-
1914/15 Bobby Parker (Everton),-,35
1913/14 George Elliot (Middlesbrough),-,32
1912/13 David McClean (Sheffield Wed),-,30
"1911/12  - David McClean (Sheffield Wed), George Holley (Sunderland), Harry Hampton (Aston Villa)",-,25
1910/11 Albert Shepherd (Newcastle),-,25
1909/10 Jack Parkinson (Liverpool),-,30
1908/09 Bert Freeman (Everton),-,38
1907/08 Enoch West (Forest),-,27
1906/07 Alex Young (Everton),-,28
1905/06 Albert Shepherd (Bolton),-,26
1904/05 Arthur Brown (Sheffield Utd),-,22
1903/04 Steve Bloomer (Derby County),-,20
1902/03 Sam Raybould (Liverpool),-,31
1901/02 Jimmy Settle (Everton),-,18
1900/01 Steve Bloomer (Derby County),-,23
1899/00Billy Garraty (Aston Villa),-,27
1898/99 Steve Bloomer (Derby County),-,23
1897/98 Fred Wheldon (Aston Villa),-,21
1896/97 Steve Bloomer (Derby County),-,22
"1895/96John J. Campbell (Aston Villa), Steve Bloomer (Derby)",-,20
1894/95 Johnny Campbell (Sunderland),-,22
1893/94 Jack Southworth (Everton),-,27
1892/93 Johnny Campbell (Sunderland),-,31
1891/92 Johnny Campbell (Sunderland),-,32
1890/91 Jack Southworth (Blackburn),-,26
1889/90 Jimmy Ross (Preston),-,21
1888/89 John Goodall (Preston),-,21
