Week starting on,Global,Spain,Hong Kong,Germany,Singapore,Italy,France,United Kingdom,Australia,Sweden,United Arab Emirates,South Korea,United States,India,China,Japan
"Jun 29, 2020",-56%,-75.3%,-90.7%,-76.2%,-91.8%,-72.4%,-73.3%,-85.3%,-76.4%,-76.2%,-72.3%,-49.5%,-57.4%,-30.4%,-21.2%,-40.6%
"Jul 6, 2020",-55.3%,-69.1%,-91.1%,-73.8%,-93.9%,-67.2%,-68.2%,-83.1%,-74.3%,-74.7%,-72.6%,-49.9%,-53.1%,-64.7%,-22.5%,-39.8%
"Jul 13, 2020",-52.4%,-60.6%,-91.3%,-71.1%,-94.6%,-64.4%,-63%,-76%,-74.9%,-73.4%,-68%,-48.7%,-51.9%,-63.4%,-14.6%,-39%
"Jul 20, 2020",-51.1%,-57.6%,-91.5%,-69.2%,-95.1%,-62.9%,-59.3%,-75.4%,-74%,-74%,-68.6%,-46.7%,-51.8%,-61.3%,-10.7%,-33.1%
"Jul 27, 2020",-50%,-52.7%,-91.2%,-66.8%,-93%,-57.6%,-53.4%,-72.1%,-75.5%,-74%,-66.2%,-42.3%,-49.7%,-61.7%,-10.9%,-32%
"Aug 3, 2020",-47.9%,-45.5%,-91.5%,-62.7%,-92.7%,-50.3%,-49.5%,-66.1%,-75.7%,-70.9%,-64.6%,-41.5%,-47.5%,-58.7%,-10.8%,-26.8%
"Aug 10, 2020",-47.9%,-44.6%,-91.6%,-62.9%,-91.8%,-50.1%,-48.4%,-64.9%,-76.1%,-72.8%,-66%,-41.1%,-47.2%,-60.8%,-10.5%,-27.5%
"Aug 17, 2020",-47.5%,-45.3%,-91.1%,-63.9%,-92.2%,-50.2%,-49.3%,-64.1%,-75.1%,-71.3%,-63.3%,-40.2%,-46.5%,-58.8%,-8%,-32%
"Aug 24, 2020",-47.4%,-46.3%,-90.8%,-65.6%,-94.3%,-50.4%,-49.2%,-63.2%,-74.7%,-71.1%,-62.8%,-40.2%,-44.3%,-60.5%,-6.6%,-35.8%
"Aug 30, 2020",-47%,-52.5%,-89.4%,-63.1%,-93.8%,-56.3%,-50.6%,-64.8%,-74.1%,-72.6%,-60.1%,-43.8%,-45.7%,-56.1%,-6.2%,-37.7%
"Sep 7, 2020",-47.9%,-56.5%,-89.2%,-64.6%,-93.6%,-56.1%,-52.5%,-65.9%,-74.1%,-72.2%,-59.9%,-52%,-49.3%,-56%,-3.3%,-39.4%
"Sep 14, 2020",-47.9%,-61%,-89%,-65.7%,-93.5%,-58.7%,-52.5%,-65.6%,-74%,-72.2%,-67.8%,-48.7%,-50.2%,-50.3%,-4.2%,-36.3%
"Sep 21, 2020",-48%,-61.4%,-89.4%,-66.4%,-93.5%,-58.3%,-55.1%,-65%,-74.1%,-71.4%,-68.7%,-46.4%,-50%,-49.9%,-2.3%,-35.8%
"Sep 28, 2020",-46.8%,-64.2%,-89.1%,-67.5%,-92.3%,-62%,-59.2%,-66.8%,-73.1%,-71.5%,-65.2%,-36%,-48.6%,-47.7%,1.1%,-38%
"Oct 5, 2020",-46.3%,-64.8%,-89.1%,-67.9%,-92.1%,-60.5%,-60.2%,-66.5%,-71.8%,-70.1%,-64.2%,-40.9%,-47.4%,-50.8%,2.1%,-37.9%
"Oct 12, 2020",-46.4%,-64.7%,-88.4%,-68.3%,-93.1%,-60.8%,-58.9%,-69.5%,-71.1%,-71.1%,-64.8%,-42.1%,-46.6%,-49.2%,-0.2%,-37.8%
"Oct 19, 2020",-47%,-66.6%,-88.1%,-68.7%,-92.9%,-62.4%,-58.2%,-70.9%,-70.4%,-70.7%,-64.6%,-40.2%,-47.2%,-44.9%,-1.5%,-37.7%
"Oct 26, 2020",-45.8%,-64.3%,-87.6%,-66.9%,-92.8%,-58.9%,-55.2%,-68.1%,-70.1%,-66.3%,-64.3%,-39.4%,-47%,-39.8%,-3.5%,-37.3%
"Nov 2, 2020",-45.8%,-64.2%,-87.8%,-72.2%,-91.8%,-60.9%,-61.1%,-72.1%,-68.6%,-67.9%,-64.1%,-38.7%,-46.2%,-46.5%,-3%,-36.2%
"Nov 9, 2020",-46.5%,-69.1%,-86.9%,-78.7%,-92%,-70.5%,-75.9%,-81.6%,-67.8%,-69.4%,-62.3%,-45.3%,-44.3%,-43.7%,-3.2%,-36.9%
"Nov 16, 2020",-46.3%,-71.7%,-86.4%,-81.5%,-91.9%,-77.1%,-78.2%,-86.7%,-66.4%,-73.1%,-62%,-40.9%,-42.3%,-44%,-1.9%,-35.7%
"Nov 23, 2020",-45.3%,-72.2%,-86.6%,-82.3%,-92.1%,-82.2%,-78.5%,-87.4%,-63.8%,-74.7%,-62.2%,-40.2%,-37.1%,-41.3%,-2.1%,-35.3%
"Nov 30, 2020",-45.8%,-69.1%,-87.7%,-82.8%,-89.8%,-81.2%,-77.7%,-84.9%,-56.9%,-76.9%,-60.2%,-43.9%,-43.3%,-39.4%,-2.2%,-33.4%
"Dec 7, 2020",-46.1%,-67.9%,-87.3%,-82.2%,-89.2%,-80.1%,-77.4%,-80.9%,-51%,-75.9%,-59.7%,-48.3%,-45.9%,-38.3%,-2.2%,-35.2%
"Dec 14, 2020",-43.5%,-61.8%,-87.7%,-76.6%,-89%,-69.5%,-61.5%,-73.5%,-45.5%,-69%,-60.7%,-50.3%,-42.2%,-36.4%,-3%,-36.4%
"Dec 22, 2020",-40.5%,-60.8%,-88.8%,-72.1%,-89.1%,-65.6%,-49.7%,-68%,-38%,-60.5%,-57.2%,-48.4%,-37.8%,-34.2%,-3.8%,-36.5%
