Year,Brazil,China,Germany,Italy,South Korea,United States,World
7-June,5.34%,5.51%,4.71%,14.41%,2.32%,5.72%,5.84%
6-June,5.42%,5.51%,4.71%,14.4%,2.33%,5.75%,5.89%
5-June,5.53%,5.51%,4.7%,14.4%,2.34%,5.78%,5.94%
4-June,5.57%,5.51%,4.7%,14.37%,2.35%,5.79%,5.98%
3-June,5.62%,5.51%,4.69%,14.36%,2.36%,5.8%,6.01%
2-June,5.69%,5.51%,4.68%,14.35%,2.36%,5.81%,6.04%
1-June,5.69%,5.51%,4.68%,14.34%,2.36%,5.83%,6.09%
31-May,5.78%,5.51%,4.68%,14.33%,2.35%,5.86%,6.15%
30-May,5.99%,5.51%,4.68%,14.31%,2.35%,5.89%,6.21%
29-May,6.1%,5.51%,4.68%,14.3%,2.36%,5.9%,6.26%
28-May,6.22%,5.51%,4.68%,14.31%,2.37%,5.91%,6.31%
27-May,6.27%,5.51%,4.65%,14.29%,2.39%,5.88%,6.33%
26-May,6.26%,5.51%,4.64%,14.28%,2.4%,5.91%,6.37%
25-May,6.24%,5.52%,4.62%,14.26%,2.38%,5.95%,6.41%
24-May,6.34%,5.52%,4.63%,14.27%,2.38%,5.98%,6.5%
23-May,6.36%,5.52%,4.62%,14.26%,2.38%,6%,6.55%
22-May,6.46%,5.52%,4.61%,14.25%,2.37%,6%,6.59%
21-May,6.47%,5.52%,4.61%,14.22%,2.37%,6.02%,6.63%
20-May,6.62%,5.52%,4.6%,14.19%,2.37%,6.01%,6.67%
19-May,6.61%,5.52%,4.57%,14.17%,2.37%,5.99%,6.69%
18-May,6.69%,5.52%,4.54%,14.15%,2.38%,6.02%,6.75%
17-May,6.71%,5.52%,4.54%,14.13%,2.37%,6.05%,6.8%
16-May,6.79%,5.52%,4.54%,14.12%,2.37%,6.07%,6.85%
15-May,6.9%,5.52%,4.52%,14.06%,2.36%,6.06%,6.88%
14-May,6.96%,5.52%,4.48%,14.01%,2.37%,6.05%,6.91%
13-May,6.98%,5.52%,4.46%,13.97%,2.36%,6.01%,6.93%
12-May,6.84%,5.52%,4.42%,13.98%,2.36%,5.99%,6.93%
11-May,6.84%,5.52%,4.37%,13.95%,2.35%,5.98%,6.96%
10-May,6.81%,5.52%,4.37%,13.93%,2.35%,6.02%,7.01%
9-May,6.81%,5.52%,4.37%,13.91%,2.36%,6.01%,7.05%
8-May,6.77%,5.52%,4.34%,13.88%,2.37%,6.02%,7.08%
7-May,6.82%,5.52%,4.29%,13.84%,2.37%,5.98%,7.1%
6-May,6.9%,5.52%,4.24%,13.76%,2.36%,5.9%,7.11%
5-May,6.79%,5.52%,4.17%,13.72%,2.35%,5.84%,7.1%
4-May,6.95%,5.52%,4.1%,13.71%,2.33%,5.84%,7.14%
3-May,6.99%,5.52%,4.09%,13.72%,2.32%,5.86%,7.19%
2-May,6.91%,5.52%,4.07%,13.61%,2.32%,5.9%,7.22%
1-May,6.91%,5.52%,4.03%,13.61%,2.3%,5.89%,7.24%
30-Apr,6.99%,5.52%,3.95%,13.6%,2.29%,5.86%,7.26%
29-Apr,6.98%,5.52%,3.88%,13.58%,2.29%,5.76%,7.23%
28-Apr,6.83%,5.52%,3.78%,13.53%,2.27%,5.69%,7.19%
27-Apr,6.79%,5.53%,3.71%,13.48%,2.26%,5.68%,7.18%
26-Apr,6.86%,5.53%,3.66%,13.51%,2.26%,5.66%,7.25%
25-Apr,6.93%,5.53%,3.61%,13.46%,2.24%,5.73%,7.29%
24-Apr,6.69%,5.53%,3.54%,13.45%,2.24%,5.75%,7.29%
23-Apr,6.35%,5.53%,3.44%,13.39%,2.24%,5.55%,7.22%
22-Apr,6.36%,5.53%,3.35%,13.4%,2.23%,5.46%,7.17%
21-Apr,6.35%,5.53%,3.21%,13.31%,2.22%,5.4%,7.13%
20-Apr,6.37%,5.53%,3.11%,13.22%,2.21%,5.36%,7.12%
19-Apr,6.41%,5.53%,3.07%,13.2%,2.19%,5.29%,7.12%
18-Apr,6.36%,5.53%,2.99%,13.19%,2.18%,5.28%,7.09%
17-Apr,6.32%,5.54%,2.89%,13.12%,2.16%,4.96%,6.96%
16-Apr,6.13%,4.01%,2.74%,13.11%,2.16%,4.84%,6.83%
15-Apr,6.06%,4.01%,2.55%,12.97%,2.12%,4.28%,6.57%
14-Apr,5.67%,4.02%,2.37%,12.83%,2.1%,4.06%,6.43%
13-Apr,5.52%,4.02%,2.28%,12.73%,2.06%,3.97%,6.36%
12-Apr,5.42%,4.02%,2.22%,12.79%,2.04%,3.89%,6.31%
11-Apr,5.38%,4.03%,2.16%,12.77%,1.99%,3.74%,6.23%
10-Apr,5.27%,4.03%,2.09%,12.73%,1.99%,3.58%,6.14%
9-Apr,5.02%,4.03%,1.95%,12.67%,1.96%,3.43%,6.01%
8-Apr,4.86%,4.03%,1.8%,12.63%,1.93%,3.23%,5.9%
7-Apr,4.59%,4.03%,1.62%,12.47%,1.86%,2.98%,5.68%
6-Apr,4.37%,4.04%,1.5%,12.32%,1.81%,2.86%,5.58%
5-Apr,4.2%,4.04%,1.46%,12.33%,1.79%,2.72%,5.5%
4-Apr,3.96%,4.04%,1.35%,12.25%,1.74%,2.57%,5.35%
3-Apr,3.78%,4.03%,1.28%,12.08%,1.73%,2.47%,5.13%
2-Apr,3.53%,4.02%,1.19%,11.9%,1.69%,2.37%,5.02%
1-Apr,3.52%,4.02%,1.09%,11.75%,1.67%,2.15%,4.89%
31-Mar,3.47%,4.02%,0.94%,11.39%,1.67%,1.93%,4.77%
30-Mar,3.2%,4.02%,0.79%,11.04%,1.64%,1.75%,4.65%
29-Mar,2.92%,4.03%,0.74%,10.84%,1.59%,1.76%,4.57%
28-Mar,2.69%,4.03%,0.67%,10.56%,1.52%,1.63%,4.46%
27-Mar,2.64%,4.03%,0.6%,10.14%,1.49%,1.51%,4.36%
26-Mar,2.34%,4.03%,0.54%,10.09%,1.42%,1.52%,4.33%
25-Mar,2.09%,4.02%,0.47%,9.86%,1.38%,1.45%,4.26%
24-Mar,1.8%,4.02%,0.43%,9.51%,1.33%,1.27%,4.14%
23-Mar,1.62%,4.02%,0.38%,9.26%,1.26%,1.34%,4.14%
22-Mar,1.6%,4.01%,0.31%,9.01%,1.17%,1.27%,4.06%
21-Mar,1.22%,4.01%,0.25%,8.57%,1.17%,1.32%,3.95%
20-Mar,0.97%,4%,0.3%,8.3%,1.16%,1.05%,3.9%
19-Mar,0.93%,4%,0.16%,8.34%,1.06%,1.59%,3.97%
18-Mar,0.34%,4%,0.18%,7.95%,1.02%,1.68%,3.89%
17-Mar,0%,3.98%,0.22%,7.71%,0.97%,1.82%,3.81%
16-Mar,0%,3.97%,0.25%,7.55%,0.91%,1.83%,3.77%
15-Mar,0%,3.95%,0.21%,6.81%,0.92%,1.93%,3.59%
14-Mar,-,3.94%,0.16%,7.18%,0.89%,2.16%,3.64%
13-Mar,-,3.93%,0.21%,6.72%,0.84%,2.41%,3.6%
12-Mar,-,3.92%,0.19%,6.64%,0.84%,2.29%,3.59%
11-Mar,-,3.91%,0.15%,6.22%,0.77%,2.73%,3.55%
10-Mar,-,3.88%,0.18%,5.06%,0.72%,3.45%,3.47%
9-Mar,-,3.86%,-,4.96%,0.69%,3.79%,3.44%
8-Mar,-,3.83%,-,3.96%,0.7%,3.93%,3.36%
7-Mar,-,3.8%,-,4.25%,0.65%,4.14%,3.39%
6-Mar,-,3.77%,-,3.84%,0.67%,5.15%,3.43%
5-Mar,-,3.74%,-,3.46%,0.61%,6.92%,3.43%
4-Mar,-,3.71%,-,3.2%,0.6%,7.2%,3.43%
3-Mar,-,3.67%,-,2.55%,0.58%,5.83%,3.43%
2-Mar,-,3.64%,-,2.07%,0.52%,2.25%,3.42%
1-Mar,-,3.59%,-,2.57%,0.48%,1.45%,3.42%
29-Feb,-,3.58%,-,2.36%,0.55%,-,3.43%
28-Feb,-,3.53%,-,2.62%,0.64%,-,3.43%
27-Feb,-,3.49%,-,3%,0.75%,-,3.41%
26-Feb,-,3.48%,-,3.42%,0.96%,-,3.41%
25-Feb,-,3.43%,-,2.62%,0.9%,-,3.37%
