Month,Total,Patients in Japan,Airport quarantine,Returnees from China on government charter flights
Jul 29 '20,765346,648773,115744,829
Jul 28 '20,746229,630687,114713,829
Jul 27 '20,720501,606505,113167,829
Jul 26 '20,715283,602720,111734,829
Jul 25 '20,704400,593190,110381,829
Jul 24 '20,697512,587495,109188,829
Jul 23 '20,688036,579185,108022,829
Jul 22 '20,670619,562828,106962,829
Jul 21 '20,657535,550714,105992,829
Jul 20 '20,639821,534755,104237,829
Jul 19 '20 ***,634997,531493,102675,829
Jul 18 '20 ***,626149,524327,100993,829
Jul 17 '20,617049,516470,99750,829
Jul 16 '20,599239,499787,98623,829
Jul 15 '20,586706,488444,97433,829
Jul 14 '20,574432,477290,96313,829
Jul 13 '20,562105,466738,94538,829
Jul 12 '20,558622,464900,91893,829
Jul 11 '20,551658,459538,91291,829
Jul 10 '20,540411,449671,89911,829
Jul 9 '20,527546,438166,88551,829
Jul 8 '20,518210,430047,87334,829
Jul 7 '20,509993,422948,86216,829
Jul 6 '20,499898,414720,84349,829
Jul 5 '20,495164,412102,82233,829
Jul 4 '20,490287,408968,80490,829
Jul 3 '20,481877,402371,78677,829
Jul 2 '20,475308,396911,77568,829
Jul 1 '20,467444,390347,76268,829
Jun 30 '20,461446,385696,74921,829
Jun 29 '20,454609,380186,73594,829
Jun 28 '20,451772,378673,72270,829
Jun 27 '20,446589,375140,70620,829
Jun 26 '20,440739,370382,69528,829
Jun 25 '20,435495,365927,68739,829
Jun 24 '20,429481,360948,67704,829
Jun 23 '20,424767,357226,66712,829
Jun 22 '20,417951,351850,65272,829
Jun 21 '20,412669,347723,64117,829
Jun 20 '20,409022,345249,62944,829
Jun 19 '20,403380,340426,62125,829
Jun 18 '20,396433,334250,61354,829
Jun 17 '20,348051,286739,60483,829
Jun 16 '20,344526,284092,59605,829
Jun 15 '20,340918,281697,58392,829
Jun 14 '20,338758,280720,57209,829
Jun 13 '20,336161,279184,56148,829
Jun 12 '20,332207,276032,55346,829
Jun 11 '20,328730,273204,54697,829
Jun 10 '20,324675,269976,53870,829
Jun 9 '20,321053,267069,53155,829
Jun 8 '20,316848,263962,52057,829
Jun 7 '20,314483,262642,51012,829
Jun 6 '20,311447,260551,50067,829
Jun 5 '20,307462,257330,49303,829
Jun 4 '20,303633,254229,48575,829
Jun 3 '20,300277,251808,47640,829
Jun 2 '20,296383,248662,46892,829
Jun 1 '20,292569,246100,45640,829
May 31 '20,290436,244824,44783,829
May 30 '20,287754,242734,44191,829
May 29 '20,284763,240334,43600,829
May 28 '20,281293,237367,43097,829
May 27 '20,278642,235422,42391,829
May 26 '20,276170,233399,41942,829
May 25 '20,272688,230562,41297,829
May 24 '20,271201,229669,40703,829
May 23 '20,268477,227445,40203,829
May 22 '20,265502,224972,39701,829
May 21 '20,261572,221397,39346,829
May 20 '20,258277,218744,38704,829
May 19 '20,255675,216624,38222,829
May 18 '20,250151,211832,37490,829
May 17 '20,244452,206790,36833,829
May 16 '20,240368,203284,36255,829
May 15 '20,230882,194323,35730,829
May 14 '20,233144,196816,35499,829
May 13 '20,223667,188031,34807,829
May 12 '20,223649,188646,34174,829
May 11 '20,218204,183845,33530,829
May 10 '20,214256,180478,32949,829
May 9 '20,211997,179043,32125,829
May 8 '20 **,202013,169546,31638,829
May 7 '20,190030,157563,31638,829
May 6 '20,188927,156866,31232,829
May 5 '20,186343,154646,30868,829
May 4 '20,184586,153581,30176,829
May 3 '20,183251,153047,29375,829
May 2 '20,181527,152029,28669,829
May 1 '20,174150,145243,28078,829
Apr 30 '20,165609,137338,27442,829
Apr 29 '20,164255,136695,26731,829
Apr 28 '20,160546,133578,26139,829
Apr 27 '20,150692,124456,25407,829
Apr 26 '20,149074,123633,24612,829
Apr 25 '20,147454,122700,23925,829
Apr 24 '20,141600,117367,23404,829
Apr 23 '20,135983,112108,23046,829
Apr 22 '20,130587,107430,22328,829
Apr 21 '20,124550,101818,21903,829
Apr 20 '20,116725,94826,21070,829
Apr 19 '20,112816,91695,20292,829
Apr 18 '20,111531,91256,19446,829
Apr 17 '20,106372,86800,18743,829
Apr 16 '20,100703,81825,18049,829
Apr 15 '20,94236,76425,16982,829
Apr 14 '20,89551,72801,15921,829
Apr 13 '20,78702,63132,14741,829
Apr 12 '20,77381,63132,13420,829
Apr 11 '20,74891,61991,12071,829
Apr 10 '20,68771,57125,10817,829
Apr 9 '20,64387,54284,9274,829
Apr 8 '20,61498,52901,7768,829
Apr 7 '20,55311,48357,6152,829
Apr 6 '20,46172,40481,4862,829
Apr 5 '20,44639,40263,3547,829
Apr 4 '20,42882,39992,2061,829
Apr 3 '20,39446,36687,1930,829
Apr 2 '20,34510,32002,1679,829
Apr 1 '20,34508,32002,1677,829
Mar 31 '20,32497,30088,1580,829
Mar 30 '20,28966,26607,1530,829
Mar 29 '20,28760,26401,1530,829
Mar 28 '20,28464,26105,1530,829
Mar 27 '20,27005,24663,1513,829
Mar 23 '20,20340,18322,1189,829
Mar 20 '20,18844,18015,-,829
Mar 19 '20*,14901,14072,-,829
Mar 18 '20,15354,14525,-,829
Mar 16 '20,13068,12239,-,829
Mar 13 '20,12060,11231,-,829
Mar 10 '20,9600,8771,-,829
Mar 6 '20,7476,6647,-,829
Mar 2 '20,2613,1784,-,829
Feb 29 '20,2339,1510,-,829
Feb 25 '20,1846,1017,-,829
Feb 21 '20,1522,693,-,829
Feb 17 '20,1251,487,-,764
Feb 12 '20,954,190,-,764
